,AXIN2,BMP4,CHD,FOXB1A,FOXD5,NDR2,OTX1A,SOX3,SZL,VOX
,BAMBIA,BMP7A,EVE1,FOXD3,HES6,NOTO,OTX1B,SP5L,VED,WNT11
6,7,8,15,16,23,24,32,40,21,31
13,6,14,31,5,13,22,30,3,21,7
18,63,64,20,28,49,57,17,18,42,36
61,56,21,22,30,54,33,4,5,12,13
70,17,18,1,2,9,10,19,25,26,34
80,40,39,22,30,37,6,7,8,14,15
81,61,59,53,62,54,55,51,60,56,63
144,19,11,20,27,28,29,3,21,36,4
154,42,53,56,34,43,59,60,54,50,58
169,33,20,28,36,17,18,4,12,41,1
178,59,60,51,52,50,58,44,49,57,42
185,19,11,20,27,28,17,18,3,41,4
186,19,3,21,22,30,17,18,4,5,12
190,33,34,35,41,17,18,42,3,21,36
196,6,7,8,14,15,16,23,24,32,5
207,6,14,4,5,12,13,3,21,22,30
212,19,17,18,11,20,27,28,29,1,2
220,49,57,59,50,58,61,42,51,48,53
240,20,28,49,57,17,18,42,36,52,4
241,7,8,15,16,23,24,32,31,21,22
244,42,49,57,34,43,41,50,58,35,36
266,19,17,18,11,20,27,28,3,1,2
273,1,2,9,10,3,17,18,4,5,12
274,17,18,1,2,9,10,19,25,26,33
285,21,5,13,31,29,17,18,3,22,30
299,19,36,17,18,11,20,27,28,29,35
303,33,41,25,26,34,22,30,27,35,17
304,59,50,58,51,43,60,49,57,35,42
309,7,8,15,16,23,24,32,19,22,30
314,4,5,12,13,3,21,11,20,28,29
316,7,8,15,16,23,24,32,40,21,31
323,19,17,18,11,20,27,28,3,1,2
339,17,18,1,2,9,10,19,25,26,11
351,17,18,1,2,9,10,19,25,26,11
357,36,44,17,18,42,49,57,1,2,9
359,17,18,1,2,9,10,19,25,26,11
362,22,30,17,18,3,21,6,7,8,14
365,17,18,1,2,9,10,19,25,26,11
370,59,60,50,58,51,62,63,64,36,52
382,17,18,36,1,2,9,10,19,25,26
393,17,18,1,2,9,10,19,25,26,33
404,19,11,20,27,28,35,17,18,63,64
455,34,33,35,17,18,42,36,41,37,1
466,50,58,59,49,57,42,51,34,43,60
472,48,7,8,15,16,23,24,32,22,30
479,17,18,1,2,9,10,19,25,26,3
485,63,64,56,62,50,58,59,60,7,8
500,42,34,43,41,50,58,35,36,33,37
511,29,22,30,21,6,7,8,14,15,16
516,43,49,57,35,42,51,36,41,50,58
521,3,21,19,4,5,12,13,11,20,27
523,59,60,51,52,50,58,61,43,49,57
527,43,35,42,41,3,21,36,22,30,19
536,36,52,59,60,4,12,44,50,58,20
537,21,29,31,5,13,22,30,6,7,8
558,33,17,18,41,1,2,9,10,19,25
566,5,13,21,6,7,8,14,15,16,23
583,7,8,15,16,23,24,32,31,22,30
596,60,52,43,59,37,44,45,35,50,58
608,17,18,1,2,9,10,19,25,26,11
613,49,57,51,43,59,48,41,50,58,22
631,17,18,33,31,1,2,9,10,19,25
647,7,8,15,16,23,24,32,48,31,22
654,1,2,9,10,11,17,18,3,33,19
682,19,43,59,60,41,11,20,27,28,35
687,5,13,21,6,14,29,4,12,37,22
690,40,39,48,7,8,15,16,23,24,32
705,59,60,51,52,61,53,62,54,50,58
718,7,8,15,16,23,24,32,40,56,31
735,19,17,18,11,20,27,28,3,1,2
740,5,13,3,21,6,7,8,14,15,16
745,21,5,13,29,17,18,3,1,2,9
752,4,5,12,13,1,2,9,10,17,18
753,36,44,20,28,52,19,43,4,12,37
755,46,47,54,45,38,55,48,53,56,31
757,49,57,51,50,58,43,59,35,42,34
758,33,17,18,1,2,9,10,19,25,26
759,60,52,54,59,55,44,49,57,53,62
782,21,48,56,63,64,7,8,15,16,23
788,3,19,4,12,44,11,20,27,28,17
798,34,42,35,33,25,26,43,41,50,58
805,39,37,45,38,40,46,47,31,48,44
812,21,20,28,29,4,5,12,13,22,30
828,27,19,25,26,11,20,28,35,50,58
841,21,7,8,15,16,23,24,32,29,31
