,AXIN2,BMP4,CDX4,EVE1,FOXD3,HES6,OTX1A,SP5L,TBX16,VOX
,BAMBIA,BMP7A,CHD,FOXB1A,FOXD5,NOTO,SOX3,SZL,VED,WNT11
33,20,28,19,29,17,18,4,12,21,11
54,33,41,27,35,29,19,25,26,34,43
75,21,29,30,20,28,4,12,19,5,13
84,41,33,17,18,42,1,2,9,10,19
86,17,18,20,28,4,12,21,33,1,2
90,19,21,30,17,18,31,3,29,11,20
91,17,18,1,2,9,10,19,25,26,33
95,19,11,20,27,28,17,18,3,29,36
119,43,41,56,35,42,48,53,49,57,36
122,7,8,15,16,22,23,24,32,37,30
133,1,2,9,10,3,17,18,11,4,12
143,1,2,9,10,4,12,11,20,28,17
155,21,30,40,7,8,15,16,22,23,24
162,4,12,21,1,2,9,10,5,13,17
179,17,18,36,1,2,9,10,19,25,26
200,1,2,9,10,11,17,18,3,4,12
206,21,30,40,29,7,8,15,16,22,23
209,35,34,43,42,56,63,64,33,30,3
216,19,11,20,27,28,17,18,3,1,2
236,1,2,9,10,17,18,11,33,3,36
246,33,17,18,29,41,21,1,2,9,10
251,21,30,29,7,8,15,16,22,23,24
254,17,18,1,2,9,10,19,25,26,3
259,19,11,20,27,28,17,18,3,36,1
267,19,3,17,18,11,20,27,28,4,12
284,43,35,42,36,19,34,44,11,20,27
295,33,17,18,1,2,9,10,19,25,26
302,59,60,62,51,63,64,52,61,50,58
310,49,57,50,58,42,51,34,43,59,60
318,36,44,19,43,37,45,48,11,20,27
325,7,8,15,16,22,23,24,32,6,14
346,34,33,35,17,18,42,3,36,41,50
363,52,43,59,60,44,35,41,42,51,53
367,7,8,15,16,22,23,24,32,56,6
377,30,7,8,15,16,22,23,24,32,21
385,21,7,8,15,16,22,23,24,32,5
391,60,35,37,36,52,19,34,43,59,33
392,17,18,36,1,2,9,10,19,25,26
402,21,30,40,3,29,19,7,8,15,16
407,56,63,64,62,54,55,46,61,38,51
412,47,46,45,48,38,39,29,31,37,62
413,49,57,17,18,42,36,41,44,50,56
430,5,13,1,2,9,10,3,6,14,31
461,19,11,20,27,28,17,18,3,1,2
462,6,14,5,13,3,7,8,15,16,22
476,17,18,1,2,9,10,19,25,26,11
477,59,60,52,51,19,43,49,57,11,20
489,19,11,20,27,28,17,18,3,29,36
490,51,19,43,59,60,11,20,27,28,35
496,17,18,21,1,2,9,10,19,25,26
513,51,49,57,43,59,60,41,50,58,27
518,3,11,1,2,9,10,19,4,12,17
533,5,13,6,14,4,12,21,3,29,7
541,19,3,17,18,4,12,21,11,20,27
545,49,57,59,50,58,51,48,61,43,60
546,40,48,7,8,15,16,22,23,24,32
553,36,19,11,20,27,28,35,37,17,18
580,56,63,64,62,61,54,55,50,58,53
587,45,47,46,38,39,29,52,61,31,21
590,3,36,19,4,12,21,30,40,11,20
602,33,25,26,27,41,17,18,1,2,9
617,17,18,1,2,9,10,19,25,26,11
630,3,11,4,12,5,13,1,2,9,10
642,61,62,59,60,54,55,51,52,53,46
646,49,57,59,60,27,50,58,51,62,52
648,20,28,30,19,4,12,21,17,18,3
677,3,19,4,12,21,11,20,27,28,17
692,63,64,62,61,56,59,53,50,58,54
693,59,60,51,52,61,49,57,45,53,62
697,56,63,64,62,54,55,61,50,58,59
698,62,61,54,55,56,63,64,46,37,45
701,6,14,30,40,11,35,7,8,15,16
704,62,61,63,64,49,57,53,52,59,60
710,63,64,62,56,61,59,54,55,50,58
726,41,25,26,33,27,49,57,47,17,18
730,17,18,1,2,9,10,19,25,26,11
734,56,63,64,54,55,53,62,43,60,7
736,7,8,15,16,22,23,24,32,6,14
739,19,3,17,18,11,20,27,28,4,12
741,7,8,15,16,22,23,24,32,21,5
756,42,41,34,43,33,35,50,58,25,26
761,62,61,59,60,54,55,56,63,64,51
770,7,8,15,16,22,23,24,32,38,29
835,33,1,2,9,10,25,26,11,27,41
839,27,19,25,26,30,40,33,49,57,11
