,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
14,40,7,8,15,16,23,24,32,39,31
15,54,61,53,56,55,62,60,42,59,63
21,61,53,54,62,56,63,64,55,17,18
39,50,58,59,49,57,52,61,51,53,42
42,1,2,9,10,11,3,4,12,17,18
57,17,18,28,3,1,2,9,10,19,20
62,41,17,18,28,36,1,2,9,10,19
66,17,18,36,1,2,9,10,19,20,25
68,45,37,48,47,40,7,8,15,16,23
99,20,28,36,19,27,4,12,11,37,17
109,28,36,20,29,17,18,44,4,12,21
129,5,13,41,21,33,34,35,3,29,42
140,44,60,52,53,51,59,61,43,54,41
142,33,34,41,17,18,1,2,9,10,19
147,59,60,51,52,61,54,62,53,44,55
171,17,18,28,36,1,2,9,10,19,20
175,53,54,43,56,63,64,52,61,55,35
188,60,61,52,59,54,62,53,51,44,55
189,51,60,59,52,61,44,43,49,57,54
192,21,29,5,13,30,37,22,17,18,28
228,29,21,37,5,13,45,30,22,38,61
237,34,35,36,49,57,33,30,42,59,22
243,5,13,21,22,6,14,3,29,19,20
249,49,57,59,60,50,58,52,51,61,42
250,7,8,15,16,23,24,32,31,40,39
253,41,28,36,44,61,20,42,49,57,43
256,59,61,53,51,50,58,54,62,60,49
281,41,33,42,34,35,43,25,26,27,17
300,59,60,62,51,52,61,53,63,64,55
307,30,21,22,6,14,29,7,8,15,16
311,17,18,1,2,9,10,19,25,26,33
312,40,7,8,15,16,23,24,32,39,31
324,17,18,28,1,2,9,10,19,20,25
332,21,5,13,29,28,22,20,6,14,4
353,22,6,14,30,21,5,13,7,8,15
355,33,25,26,27,41,17,18,1,2,9
364,49,57,50,58,60,51,42,59,43,52
379,47,55,48,56,63,64,62,39,46,40
387,17,18,28,1,2,9,10,19,20,25
428,48,30,46,47,40,22,38,7,8,15
431,36,35,28,44,37,43,19,20,27,11
436,43,54,53,41,42,59,61,56,35,50
439,49,57,17,18,28,36,44,1,2,9
448,6,14,30,22,21,3,29,5,13,28
457,42,41,43,36,44,1,2,9,10,11
487,52,28,36,44,20,51,59,4,12,43
492,35,36,43,34,42,28,44,37,19,20
502,25,26,27,30,33,22,41,6,14,34
503,21,29,28,36,5,13,30,4,12,20
512,1,2,9,10,11,17,18,3,33,19
517,59,49,57,61,60,51,52,50,58,56
542,21,45,5,13,37,29,22,53,6,14
557,49,57,50,58,42,59,41,43,51,53
567,41,29,17,18,5,13,30,21,22,1
568,6,14,22,30,5,13,21,29,31,38
581,40,48,56,63,64,7,8,15,16,23
585,7,8,15,16,23,24,32,31,22,53
589,49,57,50,58,41,51,61,42,59,43
597,1,2,9,10,4,12,11,17,18,3
606,49,57,51,59,27,50,58,43,41,35
609,1,2,9,10,11,17,18,3,19,25
611,28,20,4,12,21,3,29,19,27,5
634,44,60,52,61,53,59,28,36,45,43
655,63,64,56,55,62,61,54,50,58,53
670,33,34,35,30,29,40,22,38,41,17
674,7,8,15,16,23,24,32,31,40,48
676,7,8,15,16,23,24,32,31,40,39
678,47,48,39,51,46,43,31,38,40,42
688,21,41,29,5,13,30,45,22,37,6
714,59,43,52,49,57,51,35,42,36,44
725,59,61,51,60,62,52,53,49,57,43
728,21,29,5,13,30,22,41,6,14,7
729,43,28,36,44,19,20,27,42,41,35
731,5,13,3,4,12,21,1,2,9,10
763,21,30,22,6,14,29,5,13,42,37
774,61,53,52,54,62,59,56,63,64,60
778,21,29,5,13,4,12,3,6,14,37
783,28,19,20,27,11,17,18,36,3,4
796,45,37,36,44,29,52,21,59,43,49
800,60,49,57,61,50,58,53,17,18,28
802,7,8,15,16,23,24,32,31,22,21
815,7,8,15,16,23,24,32,31,22,21
819,7,8,15,16,23,24,32,31,22,6
821,21,5,13,29,22,7,8,15,16,23
833,43,42,41,35,36,44,34,3,28,4
