,AXIN2,BMP4,CDX4,CST3,FOXB1A,FOXD5,NOTO,SOX3,SZL,VED
,BAMBIA,BMP7A,CHD,EVE1,FOXD3,HES6,OTX1A,SP5L,TBX16,VOX
2,27,29,30,19,25,26,7,8,15,16
8,3,1,2,9,10,4,12,11,17,18
31,33,17,18,41,1,2,9,10,19,25
32,17,18,1,2,9,10,19,25,26,11
43,19,11,20,27,28,17,18,3,29,1
48,30,29,7,8,15,16,22,23,24,32
74,7,8,15,16,22,23,24,32,21,5
76,17,18,1,2,9,10,19,25,26,11
78,21,5,13,29,7,8,15,16,22,23
88,17,18,1,2,9,10,19,25,26,34
98,21,29,36,37,20,28,4,12,56,63
112,33,25,26,34,41,17,18,42,27,35
117,59,51,43,60,50,58,49,57,42,35
118,39,31,30,40,21,7,8,15,16,22
124,49,57,48,41,50,58,42,47,25,26
127,17,18,33,1,2,9,10,19,25,26
150,17,18,36,1,2,9,10,19,25,26
153,59,50,58,51,49,57,60,61,42,62
181,5,13,21,7,8,15,16,22,23,24
198,30,21,7,8,15,16,22,23,24,32
208,21,5,13,29,7,8,15,16,22,23
215,62,46,61,51,38,45,47,59,60,53
218,63,64,62,20,27,28,49,57,51,4
224,25,26,17,18,33,27,41,1,2,9
276,31,7,8,15,16,22,23,24,32,39
280,49,57,63,64,59,60,62,50,58,52
290,21,30,29,7,8,15,16,22,23,24
296,51,43,59,60,50,58,35,36,52,42
313,1,2,9,10,29,17,18,5,11,13
327,17,18,29,1,2,9,10,19,25,26
328,33,17,18,1,2,9,10,19,25,26
354,19,11,20,27,28,17,18,3,1,2
369,5,13,11,3,29,1,2,9,10,19
374,49,57,33,34,59,35,41,50,58,42
378,50,58,59,60,52,49,57,42,51,56
381,51,62,59,60,50,58,61,49,57,52
386,59,61,62,53,54,55,51,50,58,56
416,51,49,57,59,60,50,58,52,44,61
423,7,8,15,16,22,23,24,32,21,5
425,61,59,60,45,62,46,53,54,55,51
437,17,18,3,4,12,21,1,2,9,10
440,17,18,33,1,2,9,10,19,25,26
442,41,33,17,18,42,1,2,9,10,19
443,33,17,18,41,1,2,9,10,19,25
453,21,17,18,3,29,33,1,2,9,10
470,5,13,21,7,8,15,16,22,23,24
494,61,47,62,46,53,54,55,38,39,31
507,63,64,43,59,50,58,42,51,49,57
509,29,51,21,48,56,61,63,64,49,57
514,7,8,15,16,22,23,24,32,21,48
524,19,17,18,11,20,27,28,33,3,29
526,1,2,9,10,17,18,11,33,3,19
544,6,14,5,13,33,7,8,15,16,22
559,61,62,59,53,54,55,51,56,63,64
565,33,41,25,26,34,27,35,17,18,42
570,1,2,9,10,17,18,11,33,3,29
571,30,40,37,7,8,15,16,22,23,24
573,40,21,48,17,18,41,39,37,45,47
574,17,18,3,33,1,2,9,10,19,25
577,17,18,3,1,2,9,10,19,25,26
578,17,18,36,1,2,9,10,19,25,26
582,7,8,15,16,22,23,24,32,17,18
595,21,29,5,13,30,17,18,7,8,15
620,1,2,9,10,11,17,18,3,19,25
624,41,42,34,43,33,35,50,58,56,25
625,49,57,33,1,2,9,10,25,26,34
629,21,29,5,13,30,40,4,12,20,28
637,3,19,43,59,60,30,49,57,4,12
643,7,8,15,16,22,23,24,32,30,21
644,29,21,37,17,18,5,13,30,40,1
651,56,61,63,64,62,53,54,55,50,58
652,30,17,18,21,7,8,15,16,22,23
660,30,21,7,8,15,16,22,23,24,32
668,5,13,21,7,8,15,16,22,23,24
713,49,57,51,61,43,59,60,62,41,50
743,34,50,58,35,42,37,36,49,57,43
767,30,40,21,56,63,64,7,8,15,16
771,29,30,40,7,8,15,16,22,23,24
780,17,18,1,2,9,10,19,25,26,33
789,7,8,15,16,22,23,24,32,6,14
790,7,8,15,16,22,23,24,32,21,5
791,63,64,62,17,18,52,53,54,55,41
811,27,19,25,26,33,11,20,28,35,17
824,61,60,52,62,53,54,55,59,45,51
838,21,29,5,13,30,7,8,15,16,22
