,AXIN2,BMP4,CDX4,EVE1,FOXD3,GATA2A,NOTO,SOX3,SZL,VOX
,BAMBIA,BMP7A,CHD,FOXB1A,FOXD5,HES6,OTX1A,SP5L,VED,WNT11
1,40,7,8,15,16,22,23,24,32,39
9,3,19,28,35,4,12,33,41,11,20
24,59,60,50,58,61,52,56,63,64,37
25,59,60,49,57,19,51,11,20,27,36
28,31,7,8,15,16,22,23,24,32,30
55,51,49,57,43,59,60,50,58,35,36
58,21,17,18,3,1,2,9,10,19,25
69,3,1,2,9,10,4,12,11,21,36
83,59,60,52,51,61,44,45,53,62,49
87,59,60,51,52,61,50,58,43,44,45
92,11,5,13,3,1,2,9,10,19,28
94,21,56,30,40,46,37,45,48,7,8
104,11,1,2,9,10,19,3,17,18,20
106,21,28,29,5,13,20,7,8,15,16
110,25,26,27,49,57,3,17,18,4,12
113,33,17,18,34,1,2,9,10,19,25
149,36,44,19,28,35,51,11,20,27,17
152,28,29,20,21,27,30,7,8,15,16
157,17,18,1,2,9,10,19,25,26,28
161,17,18,1,2,9,10,19,25,26,28
187,4,12,1,2,5,9,10,13,3,17
217,44,36,52,51,45,59,60,50,58,28
255,43,35,42,41,36,52,56,34,59,60
261,7,8,15,16,22,23,24,32,6,14
269,33,17,18,34,1,2,9,10,19,25
283,51,49,57,43,59,41,50,58,35,27
298,21,52,41,42,28,29,44,45,53,17
305,27,19,25,26,28,29,35,33,41,11
306,17,18,1,2,9,10,19,25,26,28
336,60,62,61,54,55,52,59,53,51,56
340,42,50,58,34,43,59,60,35,49,57
352,6,14,5,13,21,7,8,15,16,22
358,1,2,9,10,11,17,18,3,19,25
375,21,3,17,18,4,12,1,2,9,10
390,56,63,64,29,30,48,7,8,15,16
396,1,2,9,10,11,17,18,3,19,25
397,56,42,37,45,48,53,34,43,47,54
401,51,59,60,61,52,44,45,53,62,47
419,52,43,59,60,41,44,45,53,35,42
424,50,58,42,49,57,56,34,43,59,35
429,33,41,17,18,34,1,2,9,10,19
450,17,18,21,30,3,1,2,9,10,19
454,62,54,55,61,46,52,56,63,64,38
467,27,19,25,26,28,11,20,17,18,3
474,34,36,42,37,35,21,17,18,43,30
478,41,33,42,34,43,25,26,35,27,49
483,49,57,41,50,58,33,42,51,17,18
488,36,17,18,34,37,1,2,9,10,19
493,6,14,7,8,15,16,22,23,24,32
528,59,60,61,51,52,53,62,50,58,54
534,19,17,18,3,11,20,27,4,12,1
552,4,12,20,5,13,19,28,3,17,18
560,49,57,59,41,50,58,56,63,64,33
562,7,8,15,16,22,23,24,32,21,6
563,56,43,30,40,41,48,35,42,7,8
586,33,41,25,26,27,49,57,42,17,18
598,49,57,43,59,35,42,51,41,50,58
599,19,28,35,11,20,27,36,33,51,3
600,3,1,2,9,10,4,12,17,18,11
604,19,11,20,27,17,18,3,1,2,9
607,21,28,29,30,17,18,20,36,4,12
621,3,5,13,11,4,12,1,2,9,10
663,21,29,30,7,8,15,16,22,23,24
665,40,48,39,21,47,29,30,46,37,45
673,31,7,8,15,16,22,23,24,32,39
680,17,18,1,2,9,10,19,25,26,3
694,21,5,13,3,29,4,12,11,6,14
707,11,27,3,1,2,9,10,19,25,26
712,7,8,15,16,22,23,24,32,5,13
723,27,33,19,25,26,17,18,11,20,41
754,6,14,21,5,13,30,40,7,8,15
760,56,63,64,35,6,14,34,43,7,8
766,63,64,62,56,30,46,50,58,59,60
795,62,21,63,64,30,40,48,7,8,15
797,6,14,5,13,21,7,8,15,16,22
799,33,3,17,18,4,12,1,2,9,10
801,7,8,15,16,22,23,24,32,48,5
809,31,7,8,15,16,22,23,24,32,45
813,60,52,59,62,49,57,61,51,63,64
834,17,18,1,2,9,10,19,25,26,28
837,19,28,11,20,27,36,3,41,44,17
845,21,19,28,29,3,17,18,4,11,12
846,4,12,3,1,2,9,10,28,17,18
851,43,35,41,27,56,48,53,47,54,55
