,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
12,43,41,35,51,28,36,44,60,61,19
26,36,21,37,30,34,35,5,13,3,29
45,49,57,51,59,27,50,58,43,33,41
51,62,63,64,49,57,61,53,60,50,58
67,11,3,4,12,1,2,9,10,19,20
73,52,59,54,41,43,44,53,51,35,55
77,17,18,28,1,2,9,10,19,20,25
85,49,57,50,58,45,37,51,42,59,43
101,56,63,64,61,55,54,62,60,53,50
103,42,34,35,41,3,17,18,28,36,43
105,61,53,54,62,56,63,64,55,49,57
107,51,49,57,59,43,50,58,41,35,27
132,27,35,43,49,57,28,36,44,52,41
136,35,43,36,42,41,34,3,28,44,30
141,44,51,28,36,59,19,20,27,43,11
166,17,18,28,1,2,9,10,19,20,25
168,19,33,11,3,17,18,4,12,1,2
170,5,13,4,12,28,36,3,1,2,9
180,21,22,5,13,29,6,14,30,17,18
182,61,62,56,63,64,60,55,59,54,53
197,28,44,45,20,37,29,36,4,12,21
211,61,53,49,57,60,54,62,50,58,56
214,35,28,36,43,19,20,27,11,34,42
219,49,57,33,34,35,17,18,28,36,60
235,3,17,18,28,4,12,21,1,2,9
239,1,2,9,10,4,12,11,17,18,3
245,61,53,55,54,62,45,56,63,64,60
247,17,18,28,1,2,9,10,19,20,25
257,19,11,17,18,28,3,1,2,9,10
260,22,6,14,30,7,8,15,16,23,24
268,59,52,61,51,53,35,45,36,44,60
270,49,57,51,59,61,50,58,43,52,35
279,20,4,12,5,13,28,36,19,27,11
315,53,21,45,30,22,54,37,6,14,61
322,49,57,51,50,58,59,43,61,53,35
331,42,49,57,41,34,35,43,25,26,27
338,35,29,28,36,21,19,20,27,37,33
350,21,29,30,40,5,13,37,22,7,8
403,40,43,48,56,63,64,7,8,15,16
405,17,18,1,2,9,10,19,20,25,26
411,50,58,49,57,51,42,59,61,53,43
415,19,11,3,17,18,28,4,12,1,2
421,21,30,22,29,6,14,5,13,7,8
427,21,5,13,29,22,6,14,7,8,15
447,48,7,8,15,16,23,24,32,47,31
465,61,45,53,60,52,59,55,37,44,54
475,17,18,28,1,2,9,10,19,20,25
480,17,18,3,1,2,9,10,19,25,26
481,59,54,62,61,53,55,51,46,50,58
486,41,42,17,18,28,43,1,2,9,10
531,6,14,5,13,28,22,4,12,21,20
543,7,8,15,16,23,24,32,31,40,22
551,21,28,29,20,5,13,4,12,36,3
554,21,43,28,60,3,29,19,20,27,5
561,17,18,33,1,2,9,10,19,25,26
572,4,12,3,20,11,28,36,1,2,9
584,21,36,5,13,37,3,29,19,20,27
593,17,18,28,1,2,9,10,19,20,25
601,51,50,58,59,60,61,52,53,49,57
612,31,45,22,7,8,15,16,23,24,32
614,22,7,8,15,16,23,24,32,6,14
615,40,48,7,8,15,16,23,24,32,39
623,29,21,5,13,28,37,30,22,20,6
628,6,14,30,7,8,15,16,23,24,32
640,1,2,9,10,11,3,29,5,13,17
641,46,38,54,62,56,63,64,59,61,30
650,21,30,22,35,6,14,3,29,43,49
656,51,59,43,49,57,52,61,35,28,36
664,28,19,20,27,11,3,17,18,36,4
675,22,36,6,14,7,8,15,16,23,24
684,30,22,6,14,40,7,8,15,16,23
691,61,56,63,64,55,54,62,53,60,50
695,27,19,20,25,26,11,5,13,3,29
709,3,4,12,11,33,5,13,6,14,1
716,17,18,3,1,2,9,10,19,25,26
722,21,5,13,3,29,19,20,27,4,12
733,30,7,8,15,16,23,24,32,22,31
748,52,5,13,21,45,37,43,22,51,28
769,7,8,15,16,23,24,32,40,31,30
772,42,34,35,41,43,17,18,28,36,1
779,43,49,57,51,35,36,44,42,59,50
829,33,41,34,17,18,1,2,9,10,19
832,29,39,21,45,47,28,31,40,38,37
842,61,54,62,60,53,59,56,63,64,55
