,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
3,60,59,61,43,52,35,54,62,51,36
4,40,7,8,15,16,23,24,32,39,31
16,36,34,35,42,17,18,28,44,41,43
23,29,28,36,21,37,20,38,5,13,4
34,1,2,9,10,25,26,27,33,11,34
38,21,30,22,6,14,29,5,13,38,37
44,30,46,22,38,54,62,6,14,48,56
56,1,2,9,10,11,3,29,17,18,28
64,36,3,19,20,27,4,12,35,43,11
82,42,41,34,35,43,36,30,21,33,22
108,21,5,13,29,30,31,45,22,53,17
111,59,43,52,49,57,51,35,36,44,60
114,42,41,43,49,57,33,34,35,54,50
126,17,18,28,36,1,2,9,10,19,20
131,49,57,51,59,50,58,43,52,35,36
138,61,54,62,56,63,64,55,5,13,53
163,17,18,28,1,2,9,10,19,20,25
164,40,48,39,47,7,8,15,16,23,24
165,44,28,36,41,43,19,20,27,11,51
174,4,12,17,18,28,36,1,2,9,10
201,17,18,1,2,9,10,19,25,26,33
204,30,21,22,6,14,29,5,13,7,8
205,3,4,12,11,1,2,9,10,19,17
213,41,53,42,29,43,21,45,54,33,37
222,55,59,56,63,64,62,61,60,31,47
232,44,36,45,51,52,59,28,60,43,49
252,6,14,7,8,15,16,23,24,32,22
265,61,45,37,46,38,54,62,53,55,44
275,41,49,57,42,59,50,58,61,43,54
282,25,26,27,33,41,34,35,17,18,28
286,17,18,33,1,2,9,10,19,20,25
288,1,2,9,10,49,57,11,34,35,3
293,29,21,17,18,28,5,13,30,22,1
294,60,52,54,62,61,59,49,57,55,50
297,49,57,17,18,28,36,3,4,12,21
329,21,30,29,22,38,41,45,5,13,6
341,7,8,15,16,23,24,32,40,31,21
342,50,58,51,42,59,43,52,49,57,34
345,60,51,59,43,52,49,57,35,28,36
356,40,48,7,8,15,16,23,24,32,39
373,17,18,3,4,12,1,2,9,10,19
384,28,44,20,17,18,36,4,12,45,41
389,7,8,15,16,23,24,32,31,40,48
398,28,36,59,19,20,27,11,3,52,4
418,41,43,49,57,51,35,3,42,59,50
420,36,21,42,30,34,35,41,37,22,49
426,51,50,58,59,43,49,57,27,35,42
432,1,2,9,10,11,3,4,12,17,18
433,43,42,11,35,41,3,36,44,4,12
441,60,52,44,61,53,59,51,45,50,58
449,46,37,36,44,48,38,47,19,20,27
451,49,57,17,18,1,2,9,10,19,20
463,25,26,27,33,17,18,41,1,2,9
464,60,59,61,54,62,53,52,56,63,64
482,61,54,62,60,53,52,59,55,46,56
505,28,19,20,27,43,11,3,41,4,12
519,61,53,59,54,62,60,51,52,45,37
529,60,59,49,57,52,61,53,50,58,41
547,30,7,8,15,16,23,24,32,22,31
548,49,57,50,58,34,35,36,51,42,59
569,49,57,59,34,35,43,51,50,58,33
579,28,36,20,42,41,34,35,43,17,18
592,43,35,51,49,57,36,44,42,59,50
603,60,52,59,49,57,61,51,62,53,44
632,30,46,22,38,54,6,14,29,48,56
638,22,6,14,61,5,13,53,30,21,45
653,41,49,57,42,43,50,58,33,34,35
659,50,58,42,41,43,49,57,51,34,35
661,21,29,5,13,22,7,8,15,16,23
669,5,13,21,22,6,14,29,30,37,7
702,17,18,28,1,2,9,10,19,20,25
703,7,8,15,16,23,24,32,31,40,22
719,40,48,7,8,15,16,23,24,32,39
727,17,18,28,33,1,2,9,10,19,20
732,21,45,37,30,29,22,6,14,5,13
746,17,18,1,2,9,10,19,25,26,11
750,17,18,1,2,9,10,19,20,25,26
751,3,4,12,11,5,13,1,2,9,10
764,4,12,3,20,11,28,36,5,13,43
765,59,54,62,61,43,49,57,53,30,46
784,49,57,51,59,60,50,58,27,61,43
820,22,6,14,30,7,8,15,16,23,24
822,36,44,52,59,28,49,57,20,51,34
827,29,21,5,13,59,49,57,52,45,30
848,40,48,7,8,15,16,23,24,32,39
850,17,18,28,1,2,9,10,19,20,25
