,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
11,35,41,43,27,33,34,42,28,36,19
17,3,11,4,12,1,2,9,10,19,25
19,17,18,1,2,9,10,19,25,26,11
22,17,18,1,2,9,10,19,20,25,26
27,30,22,6,14,21,7,8,15,16,23
29,1,2,9,10,11,17,18,3,19,25
46,49,57,34,35,42,36,50,58,43,33
52,50,58,59,49,57,51,34,35,42,43
59,17,18,28,36,1,2,9,10,19,20
60,49,57,17,18,28,36,44,1,2,9
65,59,33,52,41,34,35,51,17,18,28
71,42,41,43,34,35,36,44,30,46,49
93,36,61,52,59,21,35,37,43,28,44
96,7,8,15,16,23,24,32,31,22,21
100,29,21,30,37,22,38,17,18,28,36
116,49,57,50,58,42,34,35,41,43,54
134,34,35,49,57,36,42,43,50,58,33
135,30,22,6,14,21,41,7,8,15,16
148,30,41,42,22,6,14,21,34,35,43
151,48,56,63,64,47,40,55,7,8,15
176,27,35,28,33,19,20,25,26,11,34
177,36,44,52,42,41,49,57,30,43,28
191,21,30,29,22,6,14,5,13,37,45
193,48,56,63,64,47,40,55,30,46,7
195,33,17,18,1,2,9,10,19,20,25
221,30,22,7,8,15,16,23,24,32,6
223,17,18,28,36,41,1,2,9,10,19
231,60,51,59,43,49,57,52,61,35,50
234,53,61,54,52,59,60,55,62,56,63
238,36,6,14,30,22,28,4,12,21,5
264,50,58,59,49,57,51,34,35,42,36
272,35,43,41,42,27,34,30,22,28,36
278,34,35,42,17,18,28,36,41,43,1
287,36,34,35,17,18,28,44,33,3,41
292,41,42,43,49,57,33,53,34,35,17
317,7,8,15,16,23,24,32,31,40,22
330,21,29,30,22,5,13,28,36,6,14
335,53,61,54,59,51,62,45,60,55,46
343,62,59,63,64,61,52,54,53,29,51
348,28,19,20,27,52,11,51,35,3,29
349,28,60,51,19,20,27,59,11,3,30
380,17,18,1,2,9,10,19,25,26,11
399,1,2,9,10,11,17,18,28,3,29
408,41,17,18,28,1,2,9,10,19,20
434,52,49,57,28,36,44,20,50,58,41
468,3,4,12,11,1,2,9,10,19,21
473,41,21,33,34,35,5,13,3,29,42
491,21,30,22,29,6,14,5,13,7,8
499,35,33,36,38,43,19,20,27,34,30
525,44,50,58,52,61,49,57,36,60,53
530,40,55,48,56,63,64,39,47,7,8
532,3,11,4,12,1,2,9,10,19,5
535,39,31,40,7,8,15,16,23,24,32
539,21,29,30,28,22,5,13,37,3,19
550,31,7,8,15,16,23,24,32,39,40
564,7,8,15,16,23,24,32,31,22,6
575,17,18,1,2,9,10,19,25,26,33
588,63,64,56,62,55,61,54,7,8,15
591,63,64,7,8,15,16,23,24,32,31
635,43,41,49,57,51,35,42,59,50,58
636,37,61,51,38,53,35,29,59,21,45
645,7,8,15,16,23,24,32,31,40,48
671,22,7,8,15,16,23,24,32,6,14
672,3,28,4,12,21,19,20,27,11,5
685,33,52,41,34,35,17,18,28,36,1
696,54,62,51,61,55,60,59,56,63,64
708,7,8,15,16,23,24,32,31,40,48
720,49,57,51,50,58,59,43,61,52,53
721,17,18,1,2,9,10,19,25,26,11
737,43,19,20,27,11,35,42,3,17,18
738,30,21,22,29,6,14,5,13,37,45
747,63,64,56,55,62,61,54,48,7,8
768,40,7,8,15,16,23,24,32,39,48
777,7,8,15,16,23,24,32,31,40,39
785,21,28,29,20,4,12,5,13,17,18
803,4,12,25,26,3,17,18,28,41,1
804,22,21,6,14,29,30,5,13,7,8
806,56,63,64,54,55,48,47,62,40,30
807,21,5,13,22,28,3,29,6,14,19
808,22,6,14,21,5,13,30,37,17,18
817,61,60,59,53,51,54,62,52,55,56
826,41,21,40,42,30,7,8,15,16,23
836,7,8,15,16,23,24,32,31,22,5
840,21,5,13,37,29,22,45,6,14,36
844,28,20,4,12,11,36,3,52,1,2
847,7,8,15,16,23,24,32,31,40,48
