0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
5,7,8,15,16,6,5,14,13,4,12
7,15,16,21,23,24,14,13,12,22,20
20,28,21,29,20,19,27,22,30,18,11
35,35,36,27,28,34,43,37,26,44,29
36,9,1,2,17,25,33,10,18,41,26
49,42,34,43,35,44,36,27,50,26,51
53,34,35,42,26,18,27,19,10,25,33
63,63,53,52,54,61,60,62,55,51,59
72,55,63,53,56,64,54,62,61,52,60
89,17,34,9,1,25,33,41,26,49,18
102,7,8,15,16,6,5,4,14,13,12
115,20,19,11,12,21,13,22,14,18,10
120,17,9,1,34,33,25,41,49,57,26
121,23,24,21,22,20,29,30,28,31,19
125,43,42,34,35,51,50,44,52,58,59
128,27,28,35,36,34,20,26,19,29,18
130,42,41,34,50,58,49,57,51,59,33
139,7,8,15,16,6,5,14,4,13,12
145,27,34,35,28,42,26,18,19,10,25
146,9,1,10,2,17,25,33,41,49,57
158,60,43,52,51,53,59,61,54,62,55
159,29,37,31,38,28,30,27,36,35,20
172,52,59,60,51,61,58,50,62,53,54
194,1,41,34,18,17,25,9,26,10,33
226,27,34,35,18,26,19,10,17,25,11
227,7,8,15,16,6,5,4,14,13,12
242,43,42,51,52,59,50,53,60,44,58
258,13,5,14,15,6,7,16,12,4,8
277,42,41,34,43,50,58,49,57,51,33
291,59,60,51,52,50,61,58,62,53,54
301,20,21,27,19,11,12,18,10,13,3
319,44,45,52,53,43,46,54,51,47,55
333,34,27,35,26,18,42,25,33,17,41
337,21,13,14,12,22,15,20,23,16,11
344,5,13,6,7,8,4,14,15,16,12
360,42,41,35,34,26,33,25,18,17,49
366,35,27,36,28,34,43,42,26,37,29
368,43,44,35,42,36,34,51,45,52,50
371,43,42,44,51,52,59,50,58,60,53
372,43,42,44,51,52,59,50,60,58,53
376,41,1,25,17,33,9,49,26,18,57
383,41,42,34,33,49,25,57,17,9,1
394,9,1,17,25,33,41,49,57,18,26
395,9,1,34,33,25,41,17,49,57,26
400,34,42,50,41,49,33,57,58,25,17
409,7,8,15,16,6,5,14,13,4,12
414,7,8,15,16,6,5,4,14,13,12
435,34,10,9,1,26,18,25,17,33,41
438,34,27,35,42,43,26,18,25,33,19
452,27,28,35,36,34,20,26,19,29,18
456,30,40,28,35,36,21,29,46,47,45
459,41,42,34,49,57,50,33,58,25,17
471,21,20,29,28,22,30,23,19,31,27
484,21,19,11,20,12,18,10,27,13,26
495,41,42,34,50,49,57,58,33,25,17
497,42,34,43,35,41,50,51,26,58,33
504,42,43,44,51,50,58,59,52,60,53
506,42,41,58,50,59,51,57,49,60,33
510,7,8,15,16,6,5,4,14,13,12
549,21,22,13,14,20,23,12,15,24,16
594,27,35,28,36,20,26,19,34,18,29
610,7,8,15,16,6,5,4,14,13,12
618,20,11,10,3,2,12,18,19,4,13
627,36,44,35,43,27,37,45,38,46,39
633,7,8,15,16,6,5,4,14,13,12
649,42,41,34,50,58,49,57,51,59,33
667,13,21,14,22,12,20,15,23,16,24
679,20,27,19,11,12,21,18,13,22,10
681,20,13,14,12,15,21,22,16,11,23
683,34,35,26,18,27,19,10,25,17,33
689,13,5,14,12,15,16,6,4,7,11
700,15,16,7,8,14,13,12,5,6,4
715,21,29,28,20,22,30,23,31,19,24
724,43,44,35,36,42,45,51,52,46,37
742,1,41,17,25,9,33,18,26,10,49
744,53,52,45,44,54,55,56,46,61,47
749,3,2,10,4,11,12,18,19,5,13
781,28,34,19,27,18,20,26,11,10,21
793,27,28,35,36,34,29,19,26,37,30
814,28,27,20,36,29,30,19,21,22,31
818,21,22,20,23,13,12,14,24,15,19
823,27,35,34,28,36,42,43,26,18,19
831,2,1,41,10,18,9,17,25,26,33
843,48,46,47,45,44,54,55,53,56,52
849,42,34,43,41,50,58,51,49,57,33
