0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
11,42,34,41,50,33,49,25,57,26,17
17,20,27,21,28,19,11,18,12,26,10
19,9,1,10,17,25,33,41,49,57,18
22,1,41,17,9,25,33,49,57,18,10
27,21,20,28,22,23,24,30,29,31,32
29,18,10,11,2,19,26,27,20,34,28
46,42,43,59,58,51,50,60,52,61,57
52,20,27,28,35,36,1,2,51,59,50
59,27,35,28,34,36,20,26,19,18,29
60,1,41,17,9,25,33,49,57,18,10
65,42,43,59,58,51,60,50,52,61,53
71,42,43,35,36,34,50,51,44,26,58
93,35,36,43,37,28,44,42,27,34,26
96,5,7,6,8,4,15,14,16,13,12
100,43,35,44,36,42,34,45,37,51,46
116,42,43,34,35,41,44,50,51,58,49
134,34,42,41,33,26,25,49,17,57,9
135,21,22,28,29,30,20,19,23,12,13
148,20,28,21,29,19,27,22,30,23,11
151,15,12,13,11,14,4,20,5,3,21
176,34,1,26,18,25,17,33,9,41,10
177,28,20,29,30,31,21,22,32,23,24
191,20,28,22,21,23,24,30,29,31,32
193,23,24,21,20,22,19,12,28,13,29
195,27,28,35,20,36,29,19,26,30,21
221,14,13,6,5,7,8,15,16,12,4
223,1,17,25,9,33,41,49,57,18,26
231,43,35,42,34,36,27,44,50,26,51
234,52,61,62,53,54,60,63,55,64,56
238,28,29,20,21,27,30,22,19,31,23
264,42,41,50,58,49,57,33,51,59,25
272,42,34,41,43,50,49,58,33,57,51
278,34,27,35,42,26,18,25,33,19,17
287,43,35,44,36,42,34,27,45,37,51
292,41,1,42,49,33,57,25,17,9,50
317,7,8,15,16,6,5,4,14,13,12
330,36,28,35,27,37,29,38,30,39,31
335,52,53,59,60,51,58,61,50,62,54
343,41,42,43,28,35,36,44,59,51,60
348,34,41,42,26,25,33,18,17,9,49
349,43,35,42,34,44,36,27,50,26,51
380,9,1,10,17,25,33,18,26,41,49
399,20,11,10,3,12,2,19,18,4,13
408,1,41,17,25,9,33,49,57,18,26
434,43,42,35,44,34,36,51,50,45,52
468,3,11,4,12,2,10,5,13,19,18
473,27,34,18,10,19,26,11,2,17,9
491,28,35,36,41,42,43,34,12,13,4
499,43,44,35,36,42,45,51,52,46,37
525,42,43,34,44,50,51,58,59,52,60
530,48,39,40,47,46,45,44,38,55,54
532,3,2,11,12,4,13,10,5,19,14
535,7,8,15,16,6,5,14,13,4,12
539,34,42,35,43,41,27,26,50,33,25
550,23,15,24,16,22,14,21,13,20,12
564,6,5,14,13,7,8,4,15,16,12
575,17,9,1,18,25,33,41,49,57,26
588,41,42,43,21,29,37,28,62,61,63
591,7,8,15,16,6,5,4,14,13,12
635,42,43,41,50,51,58,34,59,49,52
636,45,52,53,44,54,46,51,43,55,47
645,7,8,6,15,16,5,4,14,13,12
671,6,5,14,7,8,4,13,15,16,12
672,28,20,27,29,30,21,22,31,23,32
685,42,34,43,35,41,50,51,58,26,49
696,52,61,60,53,62,54,63,55,59,51
708,7,8,15,16,6,5,4,14,13,12
720,34,42,35,43,41,26,50,33,25,49
721,17,9,1,18,10,25,33,41,49,26
737,27,20,28,19,18,21,26,11,29,10
738,21,20,28,22,30,23,31,29,24,32
747,64,63,62,61,56,55,54,60,53,52
768,23,24,31,32,22,21,30,20,29,28
777,8,7,15,16,6,5,4,14,13,12
785,28,35,36,34,41,42,43,4,5,3
803,34,2,18,26,10,19,17,25,9,33
804,13,21,20,14,15,16,12,22,23,24
806,28,35,36,41,42,43,21,54,53,55
807,20,21,28,27,19,22,12,11,13,23
808,28,20,27,29,21,19,30,22,31,23
817,52,60,43,53,42,51,59,50,58,61
826,41,34,25,33,17,26,9,49,18,1
836,5,13,6,7,4,14,8,15,12,16
840,20,28,22,21,23,24,29,30,31,32
844,3,4,2,11,12,10,5,13,19,18
847,7,8,5,6,4,13,14,12,15,16
