0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
10,36,28,35,27,37,29,38,30,39,31
30,41,1,34,25,33,17,9,49,57,26
37,34,42,35,43,27,36,26,50,51,44
40,44,43,52,53,51,45,54,46,55,47
41,34,42,41,35,26,33,25,50,49,17
47,28,20,27,29,30,21,31,22,23,19
50,30,31,29,22,23,21,32,24,28,20
79,28,35,36,41,42,43,20,11,3,10
97,2,3,10,4,1,9,11,18,12,5
123,43,42,44,51,52,59,50,58,60,53
137,44,52,53,51,60,54,61,59,62,55
156,43,44,35,42,36,34,51,45,52,50
160,28,35,36,41,42,43,20,60,59,61
167,20,28,21,19,22,12,23,13,11,29
173,6,14,5,13,7,15,8,16,4,12
183,21,29,28,22,23,30,20,31,24,32
184,34,41,42,26,25,18,33,17,9,49
199,29,28,21,30,31,32,22,23,20,24
202,42,43,34,35,41,44,50,51,58,26
203,21,29,22,23,20,24,13,14,12,30
210,43,35,42,34,36,44,50,51,26,45
225,41,42,33,25,49,34,17,57,26,50
229,1,9,17,25,33,41,49,57,10,18
230,27,20,28,34,35,19,18,26,10,11
233,21,29,28,20,22,23,30,19,24,31
248,41,1,42,34,33,49,25,57,17,9
262,34,42,35,43,41,27,26,50,33,25
263,43,42,34,35,44,36,27,50,51,26
271,41,1,42,49,33,57,25,17,9,50
289,27,28,35,34,20,36,26,19,18,29
308,35,43,44,51,52,45,42,50,53,46
320,28,36,27,35,29,37,30,38,31,39
321,1,34,25,33,17,41,9,49,26,57
326,27,34,35,42,28,36,43,26,18,19
334,7,8,15,16,6,5,4,14,13,12
347,41,42,34,50,49,57,58,33,25,17
361,53,44,45,46,43,52,47,51,54,36
388,34,35,10,26,18,27,19,25,17,42
406,42,43,50,58,51,59,52,60,49,57
410,34,42,35,41,27,26,33,25,18,17
417,41,42,49,57,33,25,17,50,9,58
422,43,42,34,35,44,36,50,51,26,52
444,29,28,21,30,31,32,22,23,24,38
445,34,35,26,27,18,42,25,33,19,17
446,15,16,7,23,14,13,12,6,22,5
458,1,34,18,10,26,17,9,25,33,2
460,44,51,50,43,42,52,59,58,53,60
469,28,27,20,35,36,29,19,30,21,31
498,43,35,44,42,36,34,51,45,50,37
501,3,4,11,2,12,10,5,6,13,14
508,34,35,42,27,43,36,26,18,33,25
515,1,41,17,25,9,33,49,57,18,26
520,9,1,2,10,17,18,25,33,26,41
522,42,34,43,35,41,50,26,51,33,49
538,13,21,12,14,20,22,15,23,11,16
540,43,44,42,35,34,36,51,52,50,45
555,52,63,62,64,61,60,54,55,53,56
556,41,42,43,28,35,36,44,60,59,52
576,43,44,42,35,34,51,52,50,45,53
605,15,7,16,13,12,14,5,4,6,11
616,5,4,13,8,7,6,16,15,14,12
619,44,43,52,53,51,54,55,60,45,61
622,7,8,15,16,6,5,4,14,13,12
626,5,6,13,14,4,7,12,15,8,16
639,18,10,11,2,17,26,19,27,34,20
657,27,34,35,28,42,36,26,18,19,10
658,52,43,44,42,51,53,59,50,60,54
662,34,41,42,26,25,33,18,17,9,49
666,27,28,20,35,34,19,26,18,29,10
686,40,7,8,15,16,23,24,28,29,27
699,15,6,16,7,8,14,13,5,12,4
706,61,60,54,53,55,62,63,64,56,52
711,5,13,7,6,8,4,15,14,16,12
717,17,9,1,34,41,33,49,25,57,42
762,50,59,60,51,52,61,53,62,58,54
773,53,61,62,60,54,63,52,55,64,56
775,28,35,36,34,20,27,21,13,12,14
776,43,42,44,35,34,36,51,50,52,45
786,28,21,20,27,29,30,31,22,32,23
787,1,41,17,25,9,33,49,57,18,26
792,34,42,35,43,41,27,26,33,50,25
794,34,35,42,27,43,36,26,18,33,50
810,21,28,29,20,19,22,12,27,11,23
816,2,3,10,11,18,4,12,1,9,19
825,20,21,27,19,11,12,18,13,22,10
830,28,35,36,41,42,43,34,5,4,6
