0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
14,29,21,23,30,28,31,32,22,20,27
15,42,41,43,58,50,59,51,57,49,60
21,41,1,42,49,33,57,25,17,9,50
39,43,42,44,51,52,59,50,58,60,53
42,17,9,1,18,10,25,33,41,49,57
57,27,20,28,19,18,10,11,26,12,2
62,41,34,33,25,17,49,9,57,1,26
66,35,42,50,43,51,34,58,44,52,59
68,20,28,21,22,19,23,12,13,29,11
99,20,12,13,21,14,11,19,22,15,23
109,41,1,34,25,17,33,9,26,18,10
129,28,35,36,41,42,43,20,10,2,18
140,44,41,42,43,28,35,36,52,53,60
142,34,9,33,25,41,17,49,26,57,42
147,42,43,50,58,51,59,52,60,49,57
171,41,34,1,25,33,17,9,49,26,57
175,35,34,36,43,27,42,28,26,44,37
188,28,35,36,41,42,43,20,52,51,60
189,52,43,51,59,60,53,50,58,61,54
192,27,20,34,18,19,10,11,26,2,12
228,34,50,42,58,51,43,49,59,41,57
237,35,34,42,43,27,36,28,26,50,44
243,5,13,6,7,4,14,8,15,12,16
249,42,43,51,50,59,58,52,60,53,44
250,6,7,8,15,16,5,14,4,13,12
253,35,36,27,43,34,28,44,42,37,26
256,59,51,42,60,52,43,58,50,57,49
281,41,1,42,49,33,57,25,17,9,50
300,59,52,51,60,61,62,53,63,58,54
307,29,28,37,36,30,31,32,38,39,40
311,9,1,17,25,33,41,49,57,18,26
312,15,16,23,24,14,13,22,12,21,20
324,34,41,42,25,33,26,17,9,49,18
332,20,21,22,23,13,14,12,24,15,19
353,21,29,20,28,22,30,23,31,24,32
355,41,1,26,18,34,25,17,33,9,10
364,34,49,41,57,33,50,25,42,58,17
379,31,40,39,32,30,38,29,37,28,36
387,34,50,42,49,41,57,33,58,25,17
428,20,27,28,19,21,18,11,26,29,12
431,27,35,28,34,36,26,19,18,29,37
436,42,43,35,44,50,34,51,58,26,52
439,43,44,35,42,34,36,51,45,50,52
448,21,20,22,23,13,12,19,14,24,15
457,41,42,34,33,49,25,57,17,9,1
487,28,36,27,35,29,37,30,38,31,39
492,36,35,28,27,43,34,37,38,29,44
502,1,34,25,33,17,41,9,49,57,26
503,20,12,11,13,19,14,21,3,4,10
512,1,9,17,2,10,25,33,41,49,57
517,41,42,43,28,35,36,44,61,60,62
542,21,29,28,22,20,23,24,30,19,31
557,42,43,34,44,35,50,51,58,52,59
567,28,20,29,30,31,21,22,32,23,24
568,20,12,19,21,11,13,22,14,23,15
581,7,8,15,16,6,5,14,4,13,12
585,7,6,8,15,14,16,5,4,13,12
589,34,42,41,33,25,26,49,17,57,9
597,2,10,3,18,1,9,11,17,25,33
606,42,41,34,50,49,33,57,25,58,17
609,17,9,1,25,33,41,49,57,18,26
611,35,34,43,36,27,42,28,26,44,37
634,44,43,35,36,42,45,46,37,51,52
655,63,64,62,61,55,56,60,54,53,52
670,34,41,26,18,25,17,33,9,10,1
674,7,8,15,6,5,14,13,4,16,12
676,7,8,15,16,6,5,4,14,13,12
678,28,27,20,35,36,19,29,30,21,26
688,21,29,28,22,23,20,24,30,31,32
714,43,44,51,52,59,60,50,53,58,61
725,42,43,52,44,51,50,59,58,60,53
728,21,28,29,20,22,23,19,30,27,24
729,34,41,42,33,25,26,17,49,9,18
731,3,4,11,2,10,5,12,6,13,14
763,27,28,35,34,20,19,26,18,29,10
774,43,51,52,59,60,53,50,61,58,54
778,41,42,43,34,28,35,36,11,12,19
783,27,34,35,28,26,18,19,10,42,25
796,44,36,43,35,45,37,46,38,47,39
800,42,43,51,59,50,58,52,60,53,61
802,14,13,5,6,21,22,7,15,12,16
815,5,13,6,7,8,4,14,15,16,12
819,7,6,8,15,14,16,5,4,13,12
821,21,13,22,14,23,15,20,12,24,16
833,27,28,35,34,36,20,26,19,18,29
