0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
11,42,34,41,33,25,26,50,49,57,17
17,19,27,11,21,28,12,20,18,26,10
19,9,17,1,25,10,18,33,41,49,57
22,17,9,1,18,25,33,41,49,57,10
27,22,21,20,30,29,28,23,24,31,32
29,19,10,11,2,18,26,27,20,34,28
46,42,43,59,58,51,50,60,52,61,57
52,51,50,58,43,42,59,52,60,53,44
59,27,35,28,19,18,36,20,26,34,29
60,17,9,25,1,18,10,33,41,49,57
65,42,43,59,58,51,60,50,52,61,53
71,42,43,34,35,36,50,51,44,26,58
93,35,36,34,43,37,28,42,27,26,44
96,7,8,15,16,6,5,4,14,13,12
100,35,36,42,34,43,44,45,37,51,46
116,42,43,34,35,41,49,50,51,58,44
134,34,42,33,41,17,26,25,49,57,9
135,21,22,28,29,13,30,20,19,23,12
148,21,27,30,20,19,28,29,22,23,11
151,15,12,13,11,14,4,20,5,3,21
176,34,33,41,26,18,25,17,9,10,1
177,28,21,20,29,30,31,22,32,23,24
191,22,21,30,28,23,20,24,29,31,32
193,22,23,24,21,20,19,12,28,13,29
195,27,28,35,20,36,29,19,26,30,21
221,15,16,7,8,14,13,12,6,5,4
223,17,25,9,1,18,26,33,41,49,57
231,43,35,36,27,42,34,44,50,26,51
234,52,61,62,53,54,60,63,55,64,56
238,28,29,20,21,30,27,22,19,31,23
264,42,41,33,25,50,58,49,57,51,59
272,42,34,41,43,50,49,58,33,57,51
278,34,27,18,35,19,17,26,42,25,33
287,43,35,44,36,42,34,45,37,51,27
292,41,33,17,1,49,57,25,9,42,50
317,7,8,15,16,6,5,4,14,13,12
330,36,28,35,30,37,27,29,38,39,31
335,59,60,51,52,53,58,61,50,62,54
343,36,28,43,35,20,27,19,59,51,60
348,28,19,20,27,35,3,11,26,34,25
349,43,35,42,36,27,34,44,50,26,51
380,17,25,18,26,9,33,1,41,10,49
399,10,3,12,2,4,20,11,19,18,13
408,17,25,9,1,18,26,33,41,49,57
434,43,42,35,44,34,36,52,51,50,45
468,3,11,4,12,2,10,19,5,13,18
473,19,27,18,10,26,11,2,17,34,9
491,3,12,13,4,5,14,11,6,15,7
499,43,35,36,42,44,45,51,52,46,37
525,50,51,58,42,43,52,34,44,59,60
530,48,55,40,47,46,45,44,39,38,54
532,11,12,3,4,10,2,19,13,5,14
535,7,8,15,16,6,5,14,13,4,12
539,27,34,42,35,26,43,50,33,41,25
550,23,15,24,16,22,14,21,13,20,12
564,7,8,5,15,13,16,6,4,14,12
575,17,25,9,33,1,18,41,49,57,26
588,63,64,56,62,61,54,53,60,55,52
591,7,8,15,16,6,5,4,14,13,12
635,42,43,34,41,50,51,58,59,49,52
636,52,43,55,53,44,45,54,46,51,47
645,7,8,15,16,6,5,4,14,13,12
671,6,7,8,14,15,16,5,4,13,12
672,28,20,27,29,30,21,22,31,23,32
685,35,41,42,50,34,43,51,58,26,49
696,52,61,60,53,62,54,63,55,59,51
708,7,8,15,16,6,5,4,14,13,12
720,34,42,35,43,41,26,50,33,25,49
721,17,25,9,1,18,26,10,33,41,49
737,19,27,20,28,18,11,21,26,29,10
738,30,21,29,20,28,22,23,31,24,32
747,64,63,62,61,56,55,54,60,53,52
768,23,24,31,32,22,21,30,20,29,28
777,8,7,15,16,6,5,4,14,13,12
785,4,3,12,11,5,6,13,14,7,15
803,26,19,25,18,10,17,9,34,2,33
804,14,13,22,21,15,16,12,23,24,20
806,63,56,64,54,53,55,62,61,52,60
807,20,21,12,28,13,19,22,11,27,23
808,28,21,19,22,20,29,27,30,31,23
817,51,59,52,60,43,53,42,50,58,61
826,33,41,34,25,17,26,9,49,18,1
836,5,6,7,4,13,14,8,15,12,16
840,22,21,28,23,20,24,29,30,31,32
844,3,11,4,12,2,10,5,13,19,18
847,7,15,8,16,5,6,4,13,14,12
