0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
3,43,44,42,35,34,51,52,50,45,53
4,23,24,31,32,15,22,21,30,29,20
16,35,34,42,26,33,41,25,50,18,43
23,34,35,27,36,26,42,18,43,33,25
34,1,17,9,25,33,41,49,57,18,10
38,28,29,36,37,35,27,30,38,31,39
44,41,1,34,42,33,25,49,17,57,9
56,10,2,9,1,18,26,11,19,17,25
64,2,1,10,18,11,26,19,9,17,25
82,27,28,35,36,20,34,29,19,26,37
108,20,28,27,19,21,29,22,30,18,23
111,43,42,44,34,51,50,52,58,59,60
114,34,42,35,27,43,26,18,33,25,50
126,41,1,42,34,33,49,25,57,17,9
131,42,43,58,59,50,51,60,52,57,49
138,41,42,49,57,33,50,25,58,17,34
163,1,34,33,25,41,17,49,9,57,26
164,7,8,15,16,6,5,4,14,13,12
165,35,43,36,44,34,42,27,37,45,51
174,9,1,25,17,33,41,49,57,26,18
201,17,9,1,18,25,33,41,49,57,26
204,20,12,13,14,21,22,11,15,19,23
205,11,3,12,10,4,2,19,13,18,20
213,41,34,25,33,17,9,49,1,57,26
222,60,52,53,59,51,61,62,54,63,55
232,35,43,34,42,36,44,27,26,50,51
252,21,19,20,11,12,13,22,14,18,10
265,44,36,37,43,35,45,46,38,47,39
275,43,42,59,51,60,58,50,52,61,53
282,35,27,34,36,42,28,43,26,18,19
286,27,35,26,34,18,19,25,42,33,17
288,1,41,9,17,25,33,49,10,57,18
293,1,41,17,9,25,33,49,18,57,10
294,41,42,43,28,35,36,44,60,52,61
297,28,27,36,35,20,29,30,37,31,19
329,44,43,36,45,46,47,37,52,53,38
341,31,32,39,40,30,29,38,37,28,36
342,41,42,49,57,33,25,50,58,17,9
345,42,34,43,41,50,58,51,49,57,33
356,7,8,15,16,6,5,4,14,13,12
373,10,9,17,1,2,18,25,26,33,41
384,34,42,35,41,43,26,33,50,25,49
389,23,15,24,16,22,21,14,13,20,12
398,35,27,42,36,43,28,34,26,18,19
418,27,34,35,28,42,26,18,19,10,25
420,28,20,27,29,30,31,21,22,32,23
426,42,43,34,41,50,51,58,59,52,49
432,34,42,35,27,43,26,18,33,25,50
433,41,1,42,33,25,49,17,57,9,34
441,51,59,52,60,53,61,50,58,54,62
449,35,43,36,34,42,27,44,37,45,38
451,9,41,49,33,57,25,42,50,17,34
463,17,9,1,33,41,25,49,57,34,42
464,42,43,51,59,50,58,52,60,53,61
482,41,42,43,44,28,35,36,60,61,62
505,27,35,28,36,26,34,18,19,42,43
519,59,51,60,52,61,58,50,53,62,43
529,42,41,43,34,50,58,51,49,59,57
547,7,8,15,16,6,5,4,14,13,12
548,42,34,41,43,50,58,49,51,57,33
569,35,34,42,43,36,28,26,27,44,18
579,28,20,27,29,30,21,31,22,19,32
592,42,43,34,50,58,51,59,52,49,57
603,52,60,61,59,62,51,53,63,54,58
632,42,43,50,58,51,59,52,60,49,57
638,21,14,13,15,12,22,16,23,20,24
653,42,34,41,43,50,49,33,58,57,25
659,35,43,36,34,44,42,27,37,26,45
661,13,5,14,15,6,7,16,12,8,4
669,20,11,12,19,10,3,13,18,4,2
702,34,41,42,33,25,26,49,17,57,9
703,7,8,15,16,6,5,4,14,13,12
719,22,21,30,29,14,23,24,20,31,13
727,34,27,35,26,18,42,25,33,19,17
732,21,29,28,22,30,23,20,31,24,32
746,17,9,1,18,25,33,41,49,57,26
750,9,1,10,17,25,33,41,49,57,18
751,4,3,12,11,2,5,6,13,7,14
764,20,12,11,13,19,14,3,4,21,5
765,42,43,34,50,51,58,59,52,49,57
784,41,42,34,49,33,57,50,25,17,58
820,2,3,18,19,10,11,26,27,20,12
822,44,43,36,35,45,52,51,46,53,47
827,41,1,34,33,25,17,49,9,57,26
848,7,8,15,16,6,5,14,4,13,12
850,41,34,42,33,25,49,17,57,9,1
