0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
6,32,39,40,30,31,29,28,38,37,36
13,21,22,13,14,15,23,20,24,12,16
18,34,42,41,17,33,26,25,49,50,57
61,7,15,23,31,8,16,24,27,28,29
70,18,34,17,33,41,42,26,25,9,10
80,22,23,24,15,16,21,14,13,20,12
81,63,64,62,61,55,56,54,53,60,52
144,43,51,59,52,60,53,50,61,58,54
154,50,42,58,43,34,51,59,52,44,60
169,25,17,33,9,1,18,41,49,57,26
178,59,51,52,58,50,60,61,62,53,63
185,27,28,19,35,18,20,36,26,34,29
186,27,19,28,20,35,29,21,26,18,30
190,22,30,21,23,29,31,20,24,28,32
196,8,7,6,15,16,14,5,4,13,12
207,11,12,19,20,3,21,4,13,14,10
212,34,35,18,17,26,42,33,25,41,49
220,58,50,42,57,49,41,59,51,60,52
240,34,42,35,43,26,50,33,41,25,27
241,7,8,15,16,6,5,4,14,13,12
244,35,34,36,41,42,33,28,52,53,51
266,18,27,19,17,26,34,10,25,33,35
273,9,1,41,10,17,25,33,18,49,26
274,26,28,18,36,27,35,34,19,42,29
285,26,25,27,41,18,34,17,33,10,9
299,43,35,36,42,44,45,51,52,46,53
303,17,25,18,26,33,41,34,9,1,10
304,59,51,58,50,52,42,60,61,53,62
309,21,23,15,19,22,20,13,14,12,24
314,4,3,5,11,12,13,6,2,10,7
316,15,16,23,14,13,12,22,6,21,5
323,18,19,17,2,1,10,26,9,25,34
339,17,9,1,18,25,33,41,26,49,34
351,25,17,9,1,26,33,41,49,57,34
357,33,17,34,41,25,49,57,9,1,42
359,41,50,58,42,51,49,57,59,34,33
362,14,3,12,11,13,4,5,20,19,15
365,33,35,17,34,42,26,41,50,25,49
370,43,44,42,51,52,50,53,59,45,58
382,42,43,34,41,50,51,58,49,59,57
393,41,17,42,34,33,49,50,25,26,57
404,42,34,43,41,33,50,58,51,49,57
455,33,17,34,18,1,25,26,41,9,49
466,59,51,61,53,58,50,60,52,62,54
472,36,45,46,47,44,37,38,39,48,40
479,19,18,26,10,27,20,28,11,21,35
485,63,62,64,61,54,55,53,56,60,52
500,42,43,34,50,51,58,59,49,41,57
511,30,21,28,29,27,20,19,22,31,36
516,42,34,43,35,41,33,49,50,26,25
521,35,27,36,28,34,26,43,37,42,29
523,59,60,51,52,50,42,58,61,62,53
527,34,18,35,33,17,26,27,42,25,41
536,44,52,53,54,45,51,46,43,55,47
537,13,21,22,15,23,14,12,20,16,24
558,41,33,17,34,49,25,57,9,42,1
566,14,13,6,15,5,7,16,12,8,4
583,22,21,23,13,15,20,14,24,16,12
596,52,53,44,43,51,60,54,59,61,55
608,18,19,27,34,17,11,26,10,25,9
613,49,41,33,57,25,17,58,50,9,1
631,3,11,4,5,12,6,13,14,2,7
647,7,8,15,16,6,5,14,4,13,12
654,9,1,41,49,33,57,25,17,42,50
682,36,35,43,28,41,44,27,59,60,51
687,3,11,2,4,12,19,10,18,5,13
690,7,8,15,16,6,5,14,4,13,12
705,60,59,61,51,52,58,50,62,53,63
718,28,21,29,30,31,22,32,20,23,24
735,10,2,18,9,11,1,17,3,25,26
740,7,8,6,15,16,14,5,4,13,12
745,18,3,17,10,2,11,9,1,19,26
752,10,18,2,11,3,9,17,1,19,26
753,27,42,41,26,34,18,25,33,17,9
755,44,36,43,45,46,47,37,38,48,39
757,49,41,57,33,42,25,17,50,9,58
758,33,17,34,41,49,25,57,42,50,9
759,44,43,36,35,52,45,46,37,47,38
782,40,37,38,45,46,36,44,39,47,48
788,27,28,36,29,30,35,26,34,37,19
798,63,61,62,60,53,64,52,54,59,55
805,36,39,40,31,37,38,29,30,28,32
812,28,30,20,36,35,21,27,29,19,37
828,42,43,34,35,36,50,51,44,26,58
841,7,8,15,16,6,5,4,14,13,12
