0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
33,35,27,36,28,19,34,26,42,18,43
54,33,41,25,26,34,42,49,17,57,50
75,21,20,12,28,29,22,23,19,13,24
84,25,17,33,9,1,26,18,41,49,57
86,30,28,36,29,31,37,38,32,27,39
90,29,30,28,31,36,37,38,39,32,27
91,33,17,41,9,1,34,25,49,57,26
95,18,27,35,19,17,26,34,42,25,33
119,42,34,41,33,50,49,25,57,26,17
122,28,20,22,29,30,27,21,31,19,32
133,2,10,1,9,17,18,3,11,25,33
143,9,10,1,26,18,34,25,17,33,41
155,7,8,15,16,6,5,4,14,13,12
162,11,12,3,4,20,10,13,19,14,5
179,17,18,41,34,25,9,26,33,1,10
200,9,17,1,10,18,2,25,33,41,49
206,28,29,30,36,20,27,31,37,38,35
209,34,27,35,42,28,36,43,26,18,19
216,28,27,36,35,20,29,37,30,38,31
236,3,10,2,18,11,12,19,4,13,20
246,17,33,9,1,18,25,41,49,57,26
251,7,8,15,16,6,5,4,14,13,12
254,3,2,4,10,12,18,19,11,5,13
259,27,18,19,28,20,11,26,34,10,35
267,28,27,36,35,19,20,29,30,37,31
284,43,42,50,34,41,49,33,58,57,25
295,41,33,34,17,42,49,50,57,25,58
302,52,51,59,53,60,61,54,62,55,63
310,41,42,49,57,33,25,50,17,58,9
318,43,42,35,44,36,34,50,51,52,26
325,13,14,21,22,20,15,12,23,16,24
346,42,43,50,58,51,59,52,60,49,57
363,51,42,59,43,52,34,50,58,60,49
367,36,35,44,37,38,39,28,29,45,27
377,15,7,16,8,14,6,13,5,12,4
385,7,8,15,16,6,5,4,14,13,12
391,52,43,51,59,60,53,61,54,50,58
392,25,17,9,26,33,41,49,57,34,42
402,20,21,12,28,19,22,23,13,11,14
407,63,64,62,55,56,54,61,53,60,52
412,36,28,30,35,37,38,39,29,40,31
413,50,58,42,49,57,41,43,51,59,33
430,3,5,13,4,11,12,6,14,2,10
461,19,28,18,11,27,20,21,29,26,22
462,3,11,19,4,12,2,5,10,13,6
476,25,17,9,1,26,18,33,41,49,57
477,42,34,41,43,50,58,49,33,57,25
489,27,35,19,28,26,34,18,42,25,33
490,35,27,36,34,43,42,26,28,37,44
496,3,18,20,10,11,2,19,12,4,26
513,34,41,43,33,42,50,58,49,51,57
518,2,1,19,18,10,26,17,9,25,33
533,4,3,12,5,13,11,6,14,2,10
541,17,33,41,18,25,9,1,26,49,34
545,42,49,57,41,43,50,58,51,59,33
546,29,28,21,22,30,31,32,20,23,27
553,34,35,43,27,36,44,42,26,50,33
580,63,55,64,54,56,61,62,53,60,52
587,43,44,52,35,42,36,51,45,53,46
590,27,28,19,35,36,29,20,26,30,21
602,33,25,17,34,26,41,49,9,57,1
617,33,25,17,34,26,41,49,57,42,9
630,3,4,11,12,5,13,2,10,6,18
642,60,53,59,52,54,61,62,63,64,55
646,42,43,41,34,50,58,51,59,49,57
648,21,22,20,30,28,19,23,29,24,31
677,27,19,28,20,29,21,26,18,35,34
692,64,63,62,61,56,55,54,53,60,52
693,52,51,44,43,59,45,53,54,60,61
697,64,63,62,61,56,55,54,53,60,52
698,55,56,54,63,64,62,53,61,52,47
701,28,27,20,19,29,30,21,22,35,26
704,52,59,60,51,61,58,50,53,62,54
710,64,63,62,61,56,55,54,53,60,52
726,27,28,25,26,41,20,19,51,59,50
730,41,42,25,17,34,49,57,50,33,58
734,44,52,43,45,46,53,54,47,51,55
736,7,8,15,16,6,5,4,14,13,12
739,35,43,36,27,34,42,26,50,44,51
741,22,21,23,14,15,13,24,20,12,16
756,42,34,41,33,25,50,49,57,58,17
761,60,54,53,52,63,62,64,61,55,56
770,23,24,31,32,22,21,20,30,29,28
835,10,26,9,25,1,33,2,18,17,41
839,33,25,34,41,49,17,57,9,1,42
