0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
5,7,8,15,16,6,5,14,13,4,12
7,15,16,21,23,24,14,13,12,22,20
20,20,19,28,21,29,27,22,30,18,11
35,35,36,34,43,27,28,37,26,44,29
36,17,25,33,18,26,9,1,10,41,2
49,43,35,36,42,34,50,26,51,44,27
53,34,18,27,35,19,33,26,42,10,25
63,54,62,55,63,53,52,61,60,51,59
72,55,63,56,61,64,54,62,53,52,60
89,33,17,41,34,9,18,1,25,26,49
102,7,8,15,16,6,5,4,14,13,12
115,20,12,21,19,11,13,22,14,18,10
120,33,41,17,9,1,34,25,49,57,26
121,21,23,31,24,22,20,29,30,28,19
125,43,42,34,35,51,50,44,52,58,59
128,27,28,35,36,19,20,26,34,29,18
130,42,41,33,34,50,58,49,57,51,59
139,7,8,15,16,6,5,14,4,13,12
145,34,35,28,42,26,27,18,19,10,25
146,9,1,17,10,2,25,33,41,49,57
158,55,43,52,51,60,53,59,61,54,62
159,29,30,31,28,27,36,37,38,35,20
172,59,51,52,58,50,60,61,62,53,54
194,18,17,1,25,9,26,10,33,41,34
226,19,27,11,18,26,10,34,17,25,35
227,7,8,15,16,6,5,4,14,13,12
242,42,51,52,59,43,50,53,60,44,58
258,13,15,5,7,8,14,6,16,12,4
277,42,41,34,33,43,50,58,49,57,51
291,59,60,51,52,58,50,61,62,53,54
301,19,20,27,11,12,18,10,21,13,3
319,44,52,53,43,54,45,46,51,47,55
333,26,18,25,33,27,17,35,34,42,41
337,22,15,23,13,14,12,21,20,16,11
344,7,8,15,16,6,5,4,14,13,12
360,33,41,18,17,34,26,42,25,35,49
366,35,36,28,34,37,43,42,27,26,29
368,43,44,35,42,36,52,34,51,45,50
371,43,42,51,52,59,50,58,60,53,44
372,43,42,44,51,52,59,50,60,58,53
376,17,18,25,33,9,41,1,49,26,57
383,41,33,25,17,49,57,9,1,42,34
394,17,25,9,1,18,26,33,41,49,57
395,33,25,41,17,1,34,26,49,9,57
400,41,33,34,25,42,50,49,57,58,17
409,7,8,15,16,6,5,14,13,4,12
414,7,8,15,16,6,5,4,14,13,12
435,18,34,17,1,26,25,10,33,9,41
438,27,35,19,26,34,18,42,25,33,43
452,28,35,19,36,34,27,26,29,20,18
456,56,38,46,47,45,48,44,54,55,53
459,49,41,57,33,42,34,50,58,25,17
471,21,20,22,28,29,30,23,19,31,27
484,55,56,63,53,54,42,47,19,11,20
495,49,41,57,42,33,34,50,58,25,17
497,42,34,43,35,41,33,50,51,26,58
504,43,44,51,50,58,59,42,52,60,53
506,58,50,42,57,49,41,59,51,60,33
510,7,8,15,16,6,5,4,14,13,12
549,21,13,14,12,22,20,23,15,24,16
594,27,28,19,18,20,26,35,34,36,29
610,7,8,15,16,6,5,4,14,13,12
618,3,12,4,20,11,10,2,18,19,13
627,36,35,27,44,43,37,45,38,46,39
633,7,8,15,16,6,5,4,14,13,12
649,42,49,57,41,33,34,50,58,51,59
667,13,21,14,22,12,20,15,23,16,24
679,19,20,12,21,27,22,11,18,13,10
681,13,12,21,20,11,14,15,22,16,23
683,18,27,19,17,26,34,10,35,25,33
689,13,15,5,7,14,12,16,6,4,11
700,15,16,7,8,14,13,12,5,6,4
715,21,29,22,28,30,20,23,31,19,24
724,43,44,35,36,42,37,45,51,52,46
742,17,33,18,41,25,9,26,1,10,49
744,53,54,52,45,61,44,55,56,46,47
749,3,2,11,10,4,12,19,18,5,13
781,28,21,34,19,27,18,20,26,11,10
793,27,28,35,36,19,29,26,37,30,34
814,28,27,20,19,36,29,30,21,22,31
818,21,22,13,12,19,20,23,14,24,15
823,27,35,34,28,36,42,19,26,18,43
831,18,9,17,2,1,10,25,26,33,41
843,48,56,46,47,45,44,54,55,53,52
849,42,34,43,41,33,50,58,51,49,57
