0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
1,15,16,7,8,14,13,6,12,5,4
9,27,35,26,18,34,19,10,25,42,17
24,42,35,43,34,50,58,36,61,60,62
25,51,57,49,43,58,50,59,42,41,60
28,30,29,28,22,21,20,31,32,23,24
55,42,57,49,41,43,58,50,59,51,60
58,17,18,41,9,25,1,33,10,26,49
69,10,2,18,9,1,3,17,11,26,25
83,60,59,52,61,62,63,53,64,54,55
87,59,60,51,50,52,42,58,61,53,62
92,9,1,10,2,17,25,33,41,49,18
94,7,15,8,16,5,6,13,14,4,12
104,10,11,19,2,3,20,27,18,12,26
106,13,12,5,4,3,14,15,6,11,7
110,25,41,26,33,17,9,49,1,34,18
113,41,35,33,28,36,43,34,53,52,54
149,44,43,36,35,45,46,37,47,38,52
152,23,24,15,21,22,20,13,14,12,19
157,17,25,9,1,18,26,33,41,49,57
161,25,17,9,1,26,18,33,41,49,57
187,1,9,17,2,10,25,33,41,49,57
217,35,43,36,44,27,37,45,34,42,38
255,43,44,42,35,34,36,51,50,52,45
261,7,8,15,16,6,5,4,14,13,12
269,33,25,41,17,1,34,26,49,9,57
283,33,41,25,49,34,17,42,57,26,9
298,43,42,44,35,51,50,52,58,59,34
305,27,19,26,18,28,20,34,10,35,11
306,17,9,1,18,10,25,33,41,49,57
336,60,59,52,53,51,61,62,63,64,54
340,50,58,42,49,57,41,34,51,59,33
352,6,7,5,14,15,13,8,4,16,12
358,34,17,18,9,26,33,25,41,42,49
375,25,33,17,18,41,26,34,9,49,1
390,7,8,15,16,6,5,4,14,13,12
396,9,1,17,25,10,2,33,41,49,57
397,43,42,44,34,35,51,50,52,58,59
401,52,43,44,51,59,60,53,61,50,54
419,43,34,50,42,58,51,59,49,41,57
424,50,58,43,51,59,52,60,53,61,54
429,41,33,34,25,17,26,42,49,57,50
450,19,20,18,27,28,11,12,10,21,26
454,56,55,54,64,63,62,53,61,52,48
467,17,25,18,26,9,33,1,41,49,57
474,35,34,43,36,27,42,28,26,44,37
478,41,33,25,17,42,34,49,57,9,1
483,34,33,41,17,42,18,26,25,49,9
488,17,9,1,34,18,25,33,41,26,49
493,6,5,4,14,13,12,7,8,15,16
528,51,59,52,43,42,44,50,58,60,53
534,21,20,22,13,12,14,15,23,11,16
552,12,20,19,13,21,3,11,14,22,10
560,59,51,50,43,58,60,52,42,61,53
562,21,20,28,22,23,29,30,24,31,19
563,36,35,28,44,43,37,38,29,27,39
586,33,41,25,17,1,49,57,9,34,42
598,35,43,41,42,36,34,27,59,60,51
599,41,33,34,49,57,50,42,58,25,17
600,2,10,3,1,9,18,17,4,11,25
604,18,17,9,1,2,10,26,25,33,34
607,3,19,12,4,10,2,11,18,9,1
621,4,3,12,11,5,6,7,8,13,14
663,7,15,8,16,6,5,14,13,4,12
665,15,7,16,8,13,14,12,5,6,4
673,22,23,24,31,32,21,30,29,20,28
680,10,2,18,9,1,3,17,11,25,26
694,6,8,14,16,5,7,4,13,15,12
707,9,1,25,10,17,33,41,49,57,18
712,7,8,15,16,6,5,4,14,13,12
723,26,35,27,33,25,41,34,42,18,43
754,12,13,20,21,4,11,14,19,15,22
760,35,43,41,42,36,34,28,18,10,26
766,59,51,58,60,61,52,62,53,54,63
795,36,45,46,37,38,47,44,39,48,40
797,4,12,3,5,11,13,6,14,7,15
799,25,17,33,9,1,26,18,41,49,57
801,12,20,4,3,11,13,14,19,21,15
809,37,36,44,29,38,39,40,45,46,47
813,60,52,59,61,51,62,53,58,63,54
834,41,42,34,17,33,49,25,57,50,9
837,17,18,25,9,33,1,41,49,57,26
845,20,21,19,28,12,27,22,23,29,13
846,2,10,1,9,18,17,3,11,25,33
851,41,42,33,25,34,49,50,57,58,17
