0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
10,36,29,28,27,37,38,30,39,31,35
30,33,17,41,9,1,25,49,57,26,34
37,35,27,36,34,42,43,26,50,51,44
40,44,43,52,53,51,45,54,46,55,47
41,41,35,34,42,26,33,25,50,49,17
47,28,30,21,20,22,29,31,27,23,19
50,30,31,23,21,32,24,29,22,28,20
79,3,12,4,19,18,11,10,2,13,5
97,2,3,10,11,4,12,1,9,18,5
123,43,42,44,51,52,59,50,58,60,53
137,44,52,53,51,60,54,61,59,62,55
156,43,44,35,42,36,51,45,52,34,50
160,36,44,35,41,34,28,42,60,59,61
167,20,19,28,21,22,12,23,13,11,29
173,6,7,14,15,8,5,13,16,4,12
183,22,21,30,29,28,23,20,31,24,32
184,26,25,18,33,17,41,34,9,42,49
199,30,31,22,21,23,29,28,32,20,24
202,43,35,44,42,50,34,51,58,41,26
203,21,23,24,22,20,13,14,29,12,30
210,43,35,42,34,44,36,50,51,26,45
225,33,41,34,42,25,49,17,57,26,50
229,9,17,1,10,18,25,33,41,49,57
230,19,27,18,20,28,11,26,10,34,35
233,21,22,20,23,29,28,30,19,24,31
248,41,25,17,34,33,49,57,9,1,42
262,35,43,26,33,41,27,25,34,42,50
263,43,42,35,36,34,50,44,51,26,27
271,41,33,17,42,49,57,25,9,1,50
289,27,26,19,28,35,20,36,18,34,29
308,43,42,35,44,51,52,45,50,53,46
320,28,36,35,37,29,27,30,38,31,39
321,33,17,41,34,25,9,49,1,26,57
326,27,35,19,28,36,26,34,18,42,43
334,7,8,15,16,6,5,4,14,13,12
347,49,57,41,42,33,34,50,58,25,17
361,7,15,23,31,8,16,24,44,45,46
388,18,19,35,17,26,34,27,10,25,42
406,51,42,43,52,50,58,59,60,49,57
410,42,35,18,27,17,34,26,33,25,41
417,41,33,42,49,57,25,17,50,9,58
422,43,42,35,44,36,52,34,50,51,26
444,30,29,28,22,21,31,32,23,24,38
445,27,18,35,19,17,26,34,42,25,33
446,15,16,7,23,14,13,12,6,22,5
458,18,17,1,10,26,9,25,33,2,34
460,51,43,42,52,59,44,50,58,53,60
469,28,27,20,35,36,29,19,30,21,31
498,43,35,42,36,34,44,51,45,50,37
501,3,4,11,2,12,10,5,6,13,14
508,26,35,27,43,36,33,25,34,42,18
515,17,18,25,9,33,1,41,49,57,26
520,9,17,1,18,2,10,25,33,26,41
522,35,42,34,50,43,26,51,41,33,49
538,13,14,21,20,22,12,15,23,11,16
540,43,42,52,35,34,36,44,51,50,45
555,63,64,62,61,60,54,55,53,56,52
556,52,60,59,51,61,53,62,54,58,50
576,43,42,35,51,44,52,50,45,53,34
605,15,7,16,13,12,14,5,4,6,11
616,7,6,5,4,15,14,13,12,8,16
619,52,44,45,43,53,51,54,55,60,61
622,6,7,8,15,16,5,4,14,13,12
626,5,6,13,14,7,15,4,12,8,16
639,18,19,27,11,20,17,26,10,34,2
657,27,34,18,35,28,42,36,26,19,10
658,51,52,43,44,59,42,53,50,60,54
662,26,34,25,33,41,18,17,42,9,49
666,27,19,28,18,20,26,35,34,29,10
686,31,28,29,27,30,20,21,36,19,37
699,15,16,7,8,14,13,6,5,12,4
706,62,63,61,64,54,53,55,56,52,60
711,7,6,8,15,14,16,5,4,13,12
717,41,33,25,17,1,34,49,57,9,42
762,51,58,50,59,60,52,61,53,62,54
773,43,42,35,30,36,22,50,61,62,60
775,16,13,12,14,5,4,6,15,7,11
776,43,35,36,42,44,51,50,34,52,45
786,28,21,20,29,30,31,22,32,23,27
787,17,25,1,18,26,9,33,41,49,57
792,34,42,35,43,41,26,33,50,25,27
794,34,35,42,27,43,36,33,26,18,50
810,21,28,29,20,19,22,12,27,11,23
816,2,3,10,11,4,12,1,9,19,18
825,19,20,21,27,11,12,18,13,22,10
830,5,4,12,13,3,6,7,14,8,11
