0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
6,32,39,40,30,31,29,28,38,37,36
13,21,13,22,23,20,14,24,15,12,16
18,34,42,41,33,26,25,49,17,50,57
61,40,41,42,43,7,8,15,27,28,29
70,34,41,42,26,18,25,17,33,9,10
80,23,21,24,15,16,22,14,13,20,12
81,63,64,62,61,55,54,53,60,56,52
144,43,51,59,52,60,53,50,61,58,54
154,42,43,34,44,50,51,58,59,52,60
169,17,9,1,18,25,33,41,49,57,26
178,59,51,52,60,61,58,62,53,50,63
185,27,28,35,34,20,36,26,19,18,29
186,27,28,20,35,19,29,21,26,18,30
190,20,28,22,21,23,30,29,31,24,32
196,8,7,15,16,6,5,4,14,13,12
207,21,11,12,19,13,20,3,14,10,4
212,34,42,41,35,26,33,25,18,17,49
220,42,41,58,50,59,51,57,49,60,52
240,34,42,35,43,41,27,26,50,33,25
241,7,8,15,16,6,5,4,14,13,12
244,28,35,36,20,27,34,41,52,53,51
266,34,10,35,26,18,27,19,25,17,33
273,1,41,17,9,25,33,18,10,49,26
274,27,35,34,28,36,42,26,18,19,29
285,34,27,41,26,18,25,17,33,10,9
299,43,35,36,42,44,45,51,52,46,53
303,9,1,17,25,18,26,33,10,41,34
304,59,51,52,42,60,58,50,61,53,62
309,21,22,20,23,13,14,12,24,15,19
314,3,2,4,5,11,12,6,13,10,7
316,15,16,23,14,13,12,22,6,21,5
323,2,1,34,18,10,26,19,17,9,25
339,1,34,25,17,33,9,41,26,18,49
351,41,1,34,25,33,17,9,49,57,26
357,1,34,33,41,25,49,17,57,9,42
359,42,41,34,50,58,51,49,57,59,33
362,14,12,11,13,4,3,5,20,19,15
365,34,42,41,35,26,33,50,25,49,17
370,43,44,42,51,52,50,53,59,45,58
382,42,43,34,41,50,51,58,49,59,57
393,42,34,41,33,49,50,25,26,57,17
404,42,34,43,41,50,58,51,49,33,57
455,17,34,9,1,25,33,26,41,18,49
466,59,51,58,50,60,52,61,53,62,54
472,44,37,36,45,46,47,38,39,48,40
479,28,10,35,19,27,18,20,26,11,21
485,61,54,55,53,56,63,62,64,60,52
500,34,50,42,51,43,58,59,49,41,57
511,29,30,21,22,28,27,20,19,31,36
516,42,34,43,35,41,50,26,33,49,25
521,35,27,36,28,34,26,43,37,42,29
523,52,53,42,59,60,51,58,61,50,62
527,34,35,26,18,27,42,25,33,17,41
536,43,52,53,44,54,45,51,46,55,47
537,13,21,14,22,12,20,15,23,16,24
558,1,34,41,33,49,25,57,17,9,42
566,13,5,14,6,15,7,16,12,8,4
583,21,13,22,23,14,15,24,20,16,12
596,44,43,52,51,53,60,54,59,61,55
608,27,34,18,26,10,19,17,25,9,11
613,41,57,49,33,25,17,58,50,9,1
631,20,27,28,35,36,44,41,4,3,5
647,7,8,15,16,6,5,14,4,13,12
654,9,1,41,49,33,57,25,17,42,50
682,28,35,36,41,42,43,20,59,60,51
687,3,11,2,10,4,12,18,19,5,13
690,7,8,15,16,6,5,14,4,13,12
705,60,59,51,52,58,50,61,62,53,63
718,28,21,20,29,30,31,22,32,23,24
735,2,9,1,3,10,18,11,17,25,26
740,7,8,15,16,6,5,4,14,13,12
745,41,42,43,28,35,36,21,10,2,18
752,10,18,2,11,3,9,17,1,19,26
753,34,27,42,41,26,18,25,33,17,9
755,45,44,36,43,46,47,37,38,48,39
757,41,42,49,57,33,25,17,50,9,58
758,34,41,33,49,25,57,42,17,50,9
759,44,43,36,35,52,45,46,37,47,38
782,39,40,37,38,45,46,36,44,47,48
788,35,28,36,29,37,27,26,34,19,30
798,52,61,62,60,63,53,64,54,59,55
805,37,39,29,28,38,36,30,40,31,32
812,28,27,20,36,35,29,30,19,21,37
828,42,43,34,35,44,36,50,51,26,58
841,7,8,15,16,6,5,4,14,13,12
