0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
1,15,16,7,8,14,13,6,12,5,4
9,27,34,35,42,26,18,19,10,25,17
24,41,42,43,28,35,36,44,61,60,62
25,42,41,43,58,50,59,51,57,49,60
28,29,28,21,20,30,31,32,22,23,24
55,42,41,43,58,50,59,51,57,49,60
58,1,41,17,9,25,33,18,10,26,49
69,28,35,36,20,27,34,21,10,2,18
83,59,61,60,62,63,53,52,64,54,55
87,52,42,59,60,51,58,50,61,53,62
92,9,1,10,2,17,25,33,41,49,18
94,7,15,8,16,5,6,13,14,4,12
104,10,11,2,12,3,20,27,18,19,26
106,28,35,36,41,42,43,34,13,12,14
110,41,1,34,25,33,17,9,26,49,18
113,28,35,36,41,42,43,20,53,52,54
149,44,43,36,35,45,46,37,47,38,52
152,23,24,15,21,22,20,13,14,12,19
157,9,1,17,25,33,41,49,57,18,26
161,9,1,25,17,33,41,49,57,26,18
187,1,9,17,2,10,25,33,41,49,57
217,35,43,36,44,42,27,37,45,34,38
255,43,44,42,35,34,36,51,50,52,45
261,7,8,15,16,6,5,4,14,13,12
269,9,1,34,33,25,41,17,49,57,26
283,34,33,41,25,49,17,42,57,26,9
298,43,42,52,44,35,51,50,58,59,34
305,27,34,28,20,35,19,26,18,10,11
306,1,17,9,25,33,41,49,57,18,10
336,59,52,53,51,60,61,62,63,64,54
340,42,41,50,58,49,57,51,59,33,34
352,5,13,6,7,8,4,14,15,16,12
358,34,41,42,26,33,25,17,18,49,9
375,34,41,26,25,33,17,18,9,49,1
390,7,8,15,6,5,4,14,13,16,12
396,1,2,9,17,25,33,41,49,57,10
397,43,42,44,34,35,51,50,52,58,59
401,43,44,51,52,59,60,53,61,50,54
419,42,43,34,41,50,58,51,59,49,57
424,53,43,51,59,52,60,61,50,58,54
429,34,17,41,33,42,49,25,57,50,26
450,20,27,28,19,11,18,12,10,21,26
454,56,55,54,53,64,63,62,61,52,48
467,9,1,17,25,33,41,49,57,18,26
474,35,34,43,36,27,42,44,28,26,37
478,41,42,34,33,49,25,57,17,9,1
483,34,41,42,26,33,25,17,49,9,18
488,9,1,34,25,33,17,41,26,49,18
493,5,13,6,7,8,4,14,15,12,16
528,52,43,42,44,51,59,50,58,60,53
534,21,20,13,12,14,22,15,23,11,16
552,20,3,12,11,19,13,21,14,22,10
560,42,43,59,51,58,50,60,52,61,53
562,20,28,21,22,23,29,30,24,31,19
563,36,35,28,27,44,43,37,38,29,39
586,9,1,33,41,25,49,17,57,34,42
598,28,35,36,41,42,43,20,59,60,51
599,34,49,41,57,50,33,42,58,25,17
600,2,3,1,4,10,9,11,18,17,25
604,10,17,9,1,2,34,18,26,25,33
607,1,10,2,11,3,18,19,12,4,9
621,4,3,5,6,7,12,8,13,11,14
663,7,15,8,16,6,5,14,13,4,12
665,15,7,16,8,13,14,12,5,6,4
673,21,29,31,28,22,23,30,24,20,32
680,28,35,36,20,27,41,42,10,2,18
694,6,7,8,14,5,4,13,15,12,16
707,9,17,1,10,25,33,41,49,57,18
712,5,13,7,6,8,4,14,15,16,12
723,42,35,27,41,43,34,26,18,33,25
754,13,20,21,12,11,14,19,15,4,22
760,27,18,10,26,19,11,2,17,9,25
766,60,51,58,59,61,52,62,53,54,63
795,44,36,45,46,37,38,47,39,48,40
797,41,42,43,28,35,36,34,4,12,3
799,17,9,1,18,25,33,41,49,57,26
801,20,12,11,13,14,19,21,4,3,15
809,37,36,44,29,38,39,40,45,46,47
813,52,60,59,61,51,62,53,58,63,54
834,41,42,34,33,49,25,57,50,17,9
837,41,17,25,9,33,1,49,57,18,26
845,20,28,27,21,22,19,23,12,29,13
846,2,1,3,10,9,18,17,11,25,33
851,41,42,34,49,50,33,57,25,58,17
