0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
2,17,25,18,9,1,33,10,41,49,2
8,10,18,2,9,17,1,11,25,26,33
31,41,33,25,17,1,49,57,9,42,34
32,25,17,33,26,9,41,1,49,57,18
43,41,42,34,50,43,33,49,26,58,25
48,34,18,35,42,28,26,27,19,10,25
74,20,21,13,22,12,19,11,14,23,15
76,25,41,17,26,33,49,9,57,1,34
78,7,8,15,16,6,5,4,14,13,12
88,17,41,18,25,33,9,1,49,57,26
98,35,36,43,28,42,44,27,34,26,37
112,41,33,25,34,49,57,17,42,9,50
117,51,43,42,52,59,35,50,44,58,53
118,29,30,28,21,22,31,32,20,23,27
124,33,41,25,34,42,49,17,57,9,1
127,18,17,19,27,26,10,34,25,9,33
150,25,34,17,26,33,41,49,42,57,9
153,51,59,50,58,42,43,53,52,60,61
181,8,7,16,15,6,5,4,14,13,12
198,30,21,22,28,29,20,27,31,19,23
208,30,29,22,28,21,31,32,23,24,20
215,51,59,52,60,61,50,58,43,53,54
218,42,34,43,41,35,50,51,58,49,33
224,34,42,33,41,35,43,26,50,25,49
276,22,23,21,20,12,13,19,14,24,11
280,50,58,42,43,49,51,59,52,60,53
290,19,20,27,21,28,12,11,18,26,10
296,43,50,58,51,59,42,52,60,49,57
313,10,2,11,3,9,1,18,17,19,25
327,18,27,19,17,9,26,34,10,25,33
328,33,17,9,1,25,41,49,57,34,26
354,28,27,35,36,19,20,29,30,37,21
369,2,3,11,4,12,19,1,10,18,9
374,49,41,57,33,42,25,17,9,1,50
378,58,60,59,61,62,52,51,53,63,54
381,59,60,51,58,50,52,42,61,53,62
386,59,51,58,50,53,60,61,52,62,63
416,51,43,42,44,34,59,35,50,52,58
423,20,19,21,3,12,11,13,14,22,10
425,61,60,53,52,54,59,62,63,64,55
437,19,27,20,28,35,18,26,10,34,11
440,33,25,17,9,1,41,49,57,42,34
442,41,42,49,57,33,25,50,17,58,9
443,41,33,34,17,50,42,49,57,58,25
453,18,34,19,17,33,26,10,27,25,9
470,8,7,16,15,6,5,4,14,13,12
494,41,42,49,57,33,50,58,25,17,9
507,59,51,58,50,43,42,60,52,61,53
509,41,33,34,49,57,50,42,25,58,17
514,36,35,44,43,37,45,38,46,34,27
524,43,44,35,52,36,51,45,42,46,50
526,41,9,1,34,42,33,25,49,17,57
544,7,6,5,14,15,13,8,4,16,12
559,59,51,52,53,43,60,58,50,61,62
565,25,33,17,41,26,34,9,49,1,57
570,9,1,10,17,25,33,18,41,26,49
571,15,7,16,8,14,13,6,5,12,4
573,28,37,30,36,35,29,38,31,39,27
574,27,35,28,19,36,26,34,18,42,43
577,19,18,10,20,27,2,3,11,26,12
578,43,42,35,34,36,50,44,26,51,27
582,3,4,13,5,14,11,12,10,19,2
595,7,8,15,16,6,5,14,4,13,12
620,9,1,17,25,33,41,49,57,18,26
624,41,33,42,49,57,25,50,17,58,9
625,33,41,1,34,42,25,49,17,57,9
629,21,22,20,23,15,13,14,12,24,16
637,35,36,43,27,28,34,44,42,37,26
643,35,36,28,34,43,27,37,26,29,44
644,32,40,39,24,31,30,38,29,37,28
651,61,53,54,63,60,52,62,59,51,55
652,19,27,20,28,21,18,26,11,10,34
660,28,27,30,20,36,19,21,29,35,31
668,7,8,15,16,6,14,5,13,4,12
713,42,49,57,41,34,33,50,58,51,59
743,28,29,21,36,37,30,27,31,20,22
767,15,16,12,13,14,4,11,5,6,3
771,42,34,41,43,33,50,49,26,58,25
780,26,27,36,41,34,42,35,43,50,33
789,20,21,13,27,28,19,12,11,22,14
790,7,8,15,16,6,5,4,14,13,12
791,42,41,33,43,50,58,51,49,57,34
811,42,34,43,41,33,35,50,26,49,25
824,60,52,59,51,53,61,62,54,63,55
838,22,21,14,13,30,29,23,24,20,15
