0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
12,42,34,43,41,33,50,58,51,49,57
26,35,36,28,43,34,27,37,44,38,29
45,35,26,43,27,33,41,25,34,42,50
51,17,33,25,41,49,9,57,1,34,26
67,10,9,2,1,11,18,17,26,25,33
73,42,52,43,44,51,50,58,59,60,53
77,17,25,9,18,26,1,10,33,41,34
85,50,58,42,43,52,34,44,51,59,60
101,63,64,54,55,56,62,61,60,53,52
103,17,41,34,25,33,9,49,26,1,57
105,41,33,17,1,49,25,57,9,42,34
107,42,34,41,49,33,50,57,25,58,26
132,19,20,27,28,21,11,18,12,22,26
136,36,35,28,43,34,37,27,38,29,44
141,42,43,34,41,50,51,58,59,52,49
166,9,17,1,25,10,18,2,26,33,41
168,33,17,9,1,25,41,49,57,26,34
170,4,12,3,5,13,11,6,14,2,10
180,21,20,19,22,13,12,14,23,15,11
182,43,44,42,51,52,50,59,53,60,58
197,35,27,36,28,37,34,26,29,43,38
211,49,41,57,33,50,42,25,17,9,1
214,41,35,43,34,42,26,50,33,25,49
219,43,36,35,44,45,46,37,52,51,47
235,17,18,41,9,1,10,25,2,33,26
239,2,3,10,11,4,18,1,9,12,17
245,45,54,55,53,56,52,46,47,48,44
247,17,18,9,1,26,25,33,34,41,49
257,19,27,20,28,18,26,11,21,29,35
260,21,22,13,14,20,23,12,24,19,15
268,43,44,42,35,34,51,52,50,45,53
270,42,43,50,58,51,59,52,60,49,57
279,35,36,43,44,45,51,42,52,46,34
315,37,30,36,28,29,38,39,31,40,32
322,51,59,43,42,52,60,50,58,53,61
331,33,25,41,1,34,26,17,49,9,57
338,27,35,19,28,36,26,34,18,42,25
350,15,7,16,8,13,14,5,6,12,4
403,43,53,52,54,55,44,45,51,46,56
405,25,17,9,1,33,41,49,57,34,42
411,50,58,49,57,42,41,33,51,25,59
415,19,20,27,28,18,11,21,26,29,12
421,21,30,28,22,29,23,20,31,24,32
427,28,29,21,35,27,19,20,26,18,30
447,15,16,13,14,12,5,21,6,11,22
465,60,52,53,59,51,61,62,54,63,55
475,34,27,35,19,26,18,42,25,33,43
480,3,11,2,4,12,18,19,10,5,13
481,42,43,35,34,38,41,50,61,60,62
486,33,41,17,1,25,49,57,9,34,42
531,5,4,6,13,12,3,7,14,15,11
543,7,8,15,16,6,5,4,14,13,12
551,21,20,29,28,19,22,30,23,31,24
554,21,20,12,22,23,13,19,14,24,15
561,2,10,3,11,18,4,1,9,19,12
572,3,4,11,12,2,5,6,13,10,14
584,18,19,27,20,12,3,10,11,26,2
593,18,17,26,10,25,9,34,33,1,41
601,59,51,60,58,50,52,61,53,62,43
612,22,21,23,30,31,24,20,29,32,28
614,22,21,23,13,15,14,20,24,12,16
615,30,21,29,31,28,32,37,38,39,36
623,28,29,27,36,20,30,31,37,38,32
628,6,7,8,14,15,5,4,13,16,12
640,1,9,17,25,2,10,33,41,49,57
641,43,42,44,51,59,50,58,52,60,53
650,28,27,20,21,19,36,29,30,31,22
656,43,34,35,36,27,42,50,51,44,26
664,28,36,20,27,43,35,41,52,53,51
675,28,21,35,19,27,20,18,26,29,11
684,22,21,30,23,31,29,20,28,24,32
691,42,34,43,35,41,50,26,33,49,25
695,26,19,27,11,20,17,25,18,10,34
709,4,3,12,11,2,5,6,13,7,14
716,2,18,11,3,1,17,19,10,9,25
722,21,20,28,19,22,23,24,29,30,31
733,35,36,43,28,27,34,37,44,42,26
748,28,35,20,36,21,27,29,19,30,26
769,7,8,15,16,6,5,4,14,13,12
772,42,35,43,34,26,33,41,50,25,49
779,42,34,43,35,50,26,41,33,49,25
829,33,41,17,9,1,34,25,49,57,26
832,19,27,20,18,28,21,29,26,11,10
842,60,61,59,52,53,51,62,63,54,64
