0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
33,34,35,27,42,43,36,28,26,18,19
54,20,27,28,35,36,1,2,34,33,41
75,21,20,28,22,23,19,12,13,29,24
84,1,25,17,33,9,41,49,57,26,18
86,28,36,27,29,30,31,37,38,32,39
90,28,36,27,29,30,31,37,38,39,32
91,41,1,34,25,33,17,9,49,57,26
95,34,27,35,26,18,42,19,25,33,17
119,42,34,41,33,50,49,25,57,26,17
122,28,20,27,29,30,21,31,22,19,32
133,2,10,1,9,3,11,17,18,25,33
143,34,9,10,1,26,18,25,17,33,41
155,7,8,15,16,6,5,4,14,13,12
162,3,4,20,11,12,13,19,10,14,5
179,41,34,17,25,18,9,26,33,1,10
200,1,2,9,17,25,33,41,10,18,49
206,28,29,36,37,35,30,27,31,38,20
209,34,27,35,42,28,36,43,26,18,19
216,28,27,36,35,20,29,37,30,38,31
236,2,20,11,3,10,12,19,18,4,13
246,9,1,25,17,33,41,49,57,26,18
251,41,42,43,21,29,37,30,7,6,8
254,3,2,4,10,11,12,5,18,19,13
259,27,28,35,20,26,18,19,34,10,11
267,28,27,36,35,20,29,30,37,19,31
284,42,41,43,50,34,49,33,58,57,25
295,34,42,41,49,50,33,57,25,17,58
302,52,53,60,61,54,51,62,59,55,63
310,41,42,49,57,33,25,50,17,58,9
318,43,42,35,34,44,36,50,51,52,26
325,21,13,14,22,15,12,20,23,16,24
346,42,43,50,58,51,59,52,60,49,57
363,42,43,34,50,51,58,59,52,60,49
367,37,35,28,44,29,45,36,38,39,27
377,15,7,16,8,14,6,13,5,12,4
385,7,8,15,16,6,5,4,14,13,12
391,43,51,52,59,60,53,61,54,50,58
392,41,34,42,33,25,49,17,57,9,26
402,20,28,21,19,22,12,23,13,11,14
407,63,64,56,62,55,54,61,53,60,52
412,36,28,35,37,38,39,29,40,30,31
413,42,41,43,50,58,51,59,49,57,33
430,28,35,36,41,42,43,44,4,3,11
461,28,19,27,20,21,18,29,26,11,22
462,28,35,36,41,42,43,34,3,11,4
476,9,1,25,17,33,41,49,57,26,18
477,42,34,41,43,50,58,49,33,57,25
489,34,27,35,42,28,26,18,19,25,33
490,35,27,36,43,28,42,34,26,37,44
496,20,10,11,2,3,18,19,12,4,26
513,42,34,41,43,50,58,49,51,33,57
518,10,9,2,1,18,26,17,25,33,19
533,2,4,3,12,11,5,13,6,14,10
541,17,9,1,34,25,33,41,26,18,49
545,42,41,43,50,58,51,59,49,57,33
546,29,28,21,30,31,22,32,20,23,27
553,34,42,35,43,27,36,26,50,33,44
580,63,55,64,56,61,53,62,54,60,52
587,43,44,35,42,36,51,52,45,53,46
590,27,28,20,35,36,19,29,26,30,21
602,17,9,1,34,33,25,41,49,57,26
617,41,34,42,33,25,49,17,57,9,26
630,2,3,4,11,10,12,5,6,13,18
642,60,53,59,52,61,62,63,64,54,55
646,42,43,41,34,50,58,51,59,49,57
648,28,21,22,23,20,29,24,30,31,19
677,27,28,20,35,34,19,26,18,29,21
692,64,63,56,55,60,53,62,61,54,52
693,52,44,43,51,53,54,60,59,45,61
697,64,63,56,55,53,62,61,54,60,52
698,56,55,54,53,63,64,62,61,52,47
701,28,27,20,21,35,19,29,30,22,26
704,41,42,43,28,35,36,44,59,60,51
710,61,60,53,64,63,62,56,55,54,52
726,43,42,44,51,59,50,58,52,60,53
730,41,42,34,49,57,50,33,58,25,17
734,44,43,45,52,46,53,54,47,51,55
736,7,8,15,16,6,5,4,14,13,12
739,34,35,42,43,36,44,27,26,50,51
741,21,22,23,14,13,15,24,20,12,16
756,20,27,1,2,3,4,9,42,50,34
761,61,60,53,52,63,62,64,55,54,56
770,23,24,31,32,22,21,20,30,29,28
835,9,1,2,18,17,10,26,25,33,41
839,9,1,34,33,41,25,49,17,57,42
