0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
12,42,34,43,41,50,58,51,49,57,33
26,35,36,37,28,43,29,27,34,44,38
45,35,27,34,42,26,43,50,33,41,25
51,41,34,33,25,17,49,9,57,1,26
67,9,2,1,10,18,17,26,25,33,11
73,42,52,43,44,51,50,58,59,60,53
77,1,34,17,25,9,18,33,26,41,10
85,42,43,34,44,50,51,58,59,52,60
101,60,53,62,61,63,64,54,55,52,56
103,41,34,1,25,33,17,9,49,26,57
105,41,1,42,34,33,49,25,57,17,9
107,42,34,41,50,49,33,57,25,58,26
132,20,27,28,19,21,11,18,12,22,26
136,36,35,27,28,43,34,37,38,29,44
141,42,43,52,41,50,51,58,59,34,49
166,9,1,2,17,25,33,10,18,41,26
168,17,9,1,25,33,41,49,57,26,34
170,28,35,36,34,20,27,41,4,12,3
180,21,20,22,13,12,14,23,19,15,11
182,43,44,42,51,52,50,59,53,60,58
197,35,27,36,28,34,43,37,26,29,38
211,1,49,41,57,33,25,17,9,50,42
214,34,42,41,35,43,26,50,33,25,49
219,43,36,35,44,45,46,37,52,51,47
235,41,9,1,17,10,25,2,18,33,26
239,2,3,10,11,4,18,1,9,12,17
245,45,53,44,46,47,48,54,55,56,52
247,34,41,1,26,25,33,17,18,9,49
257,28,35,19,27,20,18,26,21,11,29
260,21,13,22,20,23,14,12,24,19,15
268,43,44,42,35,34,51,52,50,45,53
270,42,43,50,58,51,59,52,60,49,57
279,35,36,43,44,45,51,42,52,46,34
315,36,28,37,29,38,30,39,31,40,32
322,43,42,51,59,52,60,50,58,53,61
331,9,1,34,33,25,41,17,49,57,26
338,34,27,35,42,28,36,26,18,19,25
350,14,6,15,7,8,13,5,12,4,16
403,44,43,53,52,54,55,45,51,46,56
405,9,1,33,41,25,49,17,57,34,42
411,42,41,50,58,49,57,33,51,25,59
415,28,19,20,27,18,21,11,26,29,12
421,21,20,28,22,29,30,23,31,24,32
427,28,29,21,35,27,19,20,26,18,30
447,15,16,13,14,12,5,21,6,11,22
465,52,59,51,60,61,53,62,54,63,55
475,34,27,35,42,43,26,18,25,33,19
480,3,11,2,4,10,12,18,5,13,19
481,52,53,61,60,62,54,63,59,51,55
486,41,1,34,42,33,25,49,17,57,9
531,41,42,43,28,35,36,20,5,4,6
543,7,8,15,16,6,5,4,14,13,12
551,21,20,28,22,29,30,23,31,19,24
554,20,21,22,23,13,12,19,14,24,15
561,2,10,3,11,18,4,1,12,9,19
572,3,4,2,11,5,12,6,13,10,14
584,10,11,2,27,20,12,3,18,19,26
593,34,1,18,26,10,17,25,9,33,41
601,59,51,60,58,52,50,61,53,62,43
612,21,29,28,22,23,24,30,20,31,32
614,21,22,14,23,13,15,20,24,12,16
615,29,28,37,36,21,30,31,32,38,39
623,28,29,27,36,37,20,30,31,38,32
628,6,5,14,13,7,8,4,15,16,12
640,1,9,17,2,10,25,33,41,49,57
641,43,42,44,51,59,50,58,52,60,53
650,28,27,20,36,29,30,21,19,31,22
656,43,42,34,35,36,27,50,51,44,26
664,44,52,53,51,60,54,61,59,55,62
675,27,20,28,21,35,19,18,26,29,11
684,21,29,28,22,30,23,31,20,24,32
691,42,34,43,35,41,50,26,33,49,25
695,27,10,11,20,18,26,19,34,17,25
709,4,3,12,11,2,5,6,13,7,14
716,2,3,1,10,18,11,9,17,19,25
722,20,28,21,22,23,24,29,30,31,19
733,35,36,43,27,28,42,34,37,44,26
748,28,27,35,20,36,29,19,30,26,21
769,7,8,15,16,6,5,4,14,13,12
772,34,42,41,35,43,26,33,50,25,49
779,42,34,43,35,41,50,26,33,49,25
829,41,1,34,33,25,17,49,9,57,26
832,20,28,19,27,18,26,11,21,10,29
842,60,61,52,53,51,59,62,63,54,64
