,Ance,Blimp-1,brk,Btk29A,CG43394,CG8147,Doc2,gt,hb,Ilp4
,ImpE2,kni,Kr,Mes2,MESR3,noc,oc,rho,tsh,twi
8.0,1427,1426,1389,1388,1506,1577,1615,1539,1467,1469
11.0,1137,1100,682,1138,1173,643,1099,1061,1211,1174
17.0,1364,1363,1401,1402,1326,1288,1250,1325,1327,1365
34.0,1297,1335,1259,1334,2951,1296,1372,1221,1373,1258
35.0,491,490,528,492,568,451,529,453,530,452
48.0,2941,1128,815,2977,747,784,816,853,1127,783
50.0,1161,1123,1198,1199,1160,1236,1162,1237,1122,1085
63.0,176,175,2973,214,101,201,202,203,200,174
67.0,2256,2217,2219,2218,2179,2255,2295,2294,2181,2254
72.0,1702,1740,1664,1665,1626,1703,1778,1627,1588,1741
74.0,1282,1244,2994,1245,1206,1320,1167,1243,1283,1358
76.0,2553,2592,2554,2515,2552,2591,2590,2516,2555,2551
93.0,1067,1105,1106,1144,1068,1143,1104,1181,1029,1182
136.0,1364,1363,1401,1402,1326,1288,1250,1325,1327,1365
137.0,2969,2806,2768,2730,2809,2769,2808,2767,2733,2770
140.0,2043,2082,2120,2228,2193,2232,2005,2269,2227,2044
141.0,2273,2235,2234,2197,2272,2236,2196,2233,2159,2274
160.0,521,520,560,559,596,634,598,672,597,482
191.0,1669,1707,1668,1744,1670,1708,1632,1706,1746,1631
204.0,1364,1363,1401,1402,1326,1288,1250,1325,1327,1365
205.0,1164,1163,1125,1127,1202,1201,1126,1239,1240,1278
221.0,1364,1363,1401,1402,1326,1288,1250,1327,1289,1365
234.0,2036,2074,1998,1959,2256,2035,1960,2217,1997,1961
235.0,2256,2217,2219,2218,2179,2255,2295,2294,2181,2254
241.0,2247,2209,2208,2285,2246,2990,2323,2324,2985,2284
249.0,1298,1261,1299,1336,1260,2988,1306,1345,1300,1223
256.0,1363,1364,1361,1323,1401,1285,1247,1399,1288,1326
272.0,2276,1973,2238,3027,1935,3001,2239,2010,2200,2275
290.0,1219,1333,1257,1295,1294,915,1371,2986,1256,1181
291.0,1733,1771,1809,1808,1734,1768,1810,1769,1770,1772
294.0,1067,1105,1106,1144,1068,1143,1029,1181,1104,1182
320.0,1173,1061,1100,1211,1062,1137,1138,1174,1099,1135
336.0,1198,1161,1199,1123,1160,1236,1122,1121,1085,1159
337.0,1364,1363,1401,1402,1326,1288,1325,1250,1327,1365
338.0,1130,1092,1093,1054,1055,1131,787,1016,1168,1015
341.0,1219,1333,1257,1295,1294,915,1371,2986,1256,1181
345.0,633,671,595,670,672,558,710,596,634,786
347.0,1088,1049,1050,1051,1087,1090,1013,1011,1126,1048
