,Ilp4,ImpE2,peb,ImpL2,knrl,Ance,cnc,trn,ftz,Ama
,rho,D,zfh1,h,zen2,srp,Doc3,bun,oc,fkh
,Antp,disco,twi,zen,croc,hkb,CG8147,ken,Cyp310a1,CG14427
,fj,sna,toc,dpn,rau,Doc2,edl,gt,Kr,Mes2
,run,kni,ems,Dfd,tsh,nub,brk,Mdr49,noc,CG43394
,prd,odd,eve,erm,aay,exex,tll,apt,CG10479,htl
1,3022,3035,3020,3021,33,28,3033,5,3039,3031
2,2365,2397,2312,2380,2298,2360,2358,2393,2309,2400
3,756,1188,794,970,690,963,1047,1126,1173,1229
4,2705,3033,2728,2651,2954,2778,3003,2724,2786,2848
5,332,1447,888,499,1501,1392,491,238,690,268
6,2360,205,238,2309,2400,2349,2441,2343,228,162
7,50,679,753,46,85,694,927,576,587,104
8,50,140,38,56,85,119,88,98,147,258
9,2306,2252,2734,2802,2124,2307,2363,2160,2351,1526
10,5,28,79,82,2910,40,49,32,21,26
11,488,672,756,768,544,617,527,794,747,837
12,2365,2397,2312,2380,2439,2446,2477,2358,2393,2309
13,2312,2380,2365,2358,2393,2309,2400,2349,2441,2298
14,2439,2446,3007,2472,2481,3013,2827,2312,3038,2380
15,55,46,96,67,85,83,40,50,114,59
16,2776,2770,2819,2540,2413,2498,2532,2623,2665,2707
17,1455,2354,1392,1541,1608,2110,2171,2208,1382,50
18,2214,2303,2309,2400,2360,2365,2229,2202,2397,2312
19,1796,2036,58,1792,2574,2468,28,2571,1953,2521
20,2840,3003,1904,1911,2854,2895,2879,2747,1953,2848
21,2288,2281,2343,2365,2312,2380,2339,2414,2397,2438
22,1447,1683,21,1905,756,1755,238,1899,82,2052
23,1455,1447,1122,913,1063,1334,1264,756,1057,1392
24,28,33,171,142,58,105,8,164,19,49
25,2180,2256,40,2354,140,85,2279,21,67,50
26,2995,3035,40,3033,46,5,2992,2751,21,79
27,2954,3024,2872,3039,2816,2966,2997,2967,2897,3033
28,1455,1392,1541,1608,853,1304,809,119,756,875
29,2360,2472,2481,2309,2400,2349,2441,2343,2298,2520
30,2281,2365,2439,2446,2312,2380,2472,2481,2236,2095
31,2077,2222,2250,2026,2122,2236,2095,2439,2446,2281
32,2540,2770,2776,2413,2806,2669,2222,2236,2819,2728
33,2439,2446,2477,2250,2365,2472,2481,2298,2360,2397
34,2077,2365,2122,2298,2360,2312,2380,2397,2229,2162
35,55,46,96,1891,1818,1724,1641,1780,1754,67
36,2819,2954,2749,2747,2897,2808,2804,2772,2997,3003
37,67,96,55,46,59,72,110,756,83,672
38,1455,1149,2286,2329,2383,1541,1608,1957,1432,1613
39,1455,913,1063,756,1057,735,586,647,830,988
40,2309,2400,2349,2441,2472,2481,2360,2520,2477,2343
41,1447,1546,1304,853,1122,1628,451,1147,893,1238
42,3007,2975,2980,2988,3013,2937,2992,2883,2842,2889
43,1455,50,199,1447,41,1377,875,42,853,1304
44,2668,1796,2150,2189,2772,1752,1825,1792,1980,2016
45,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
46,2339,2281,2414,98,2439,2446,2477,2468,2222,2365
47,2365,2312,2380,2397,2358,2393,2309,2400,2349,2441
48,2250,2026,2439,2446,2477,2365,2298,2360,2070,2086
49,2397,2477,2365,2472,2481,2439,2446,2309,2400,2349
50,2380,2397,2358,2393,2281,2349,2441,2439,2446,2365
51,2341,2425,2431,2399,2426,2311,1700,49,2502,2322
52,40,55,46,67,2334,21,96,83,140,1798
53,2046,2000,2077,1796,2070,2086,2174,2122,2148,2189
54,2728,2672,2656,2954,2872,2680,2808,2966,3024,2997
55,1455,2354,1608,2244,1392,1780,2237,2318,1447,1541
