,aay,Ama,Ance,Antp,apt,Blimp-1,bmm,bowl,brk,Btk29A
,bun,cad,CenG1A,CG10479,CG11208,CG14427,CG17724,CG17786,CG43394,CG8147
1,2258,2183,2220,2144,2182,2106,2219,2145,2296,2257
2,2294,2256,2295,2219,2333,2332,2255,2181,2257,2370
3,2298,2260,2336,2223,2297,2184,2222,2146,2185,2299
4,2144,2106,2030,2068,1992,2182,2067,2069,1991,2183
5,2372,2334,2333,2257,2295,2410,2258,2335,2371,2296
6,2031,1994,1993,2946,1955,1956,1842,1879,1841,2032
7,2258,2257,2219,2334,2182,2220,2296,2295,2372,2144
8,2258,2257,2219,2334,2296,2220,2182,2372,2295,2259
9,2260,2145,2259,2222,2107,2221,2183,2220,2298,2258
10,2333,2372,2370,2295,2294,2257,2334,2371,2332,2256
11,2107,2108,2222,2184,2146,2145,2260,2070,2031,2298
12,2258,2219,2182,2257,2144,2220,2295,2183,2256,2181
13,2031,2107,2108,2070,2069,1993,2032,2145,1994,2146
14,2294,2332,2370,2333,2331,2255,2408,2256,2293,2295
15,2599,2447,2598,2523,2486,2939,2485,2484,2561,2409
16,2144,2030,2067,1991,2106,2029,2182,1992,2143,2028
17,2258,2183,2220,2144,2182,2145,2106,2069,2219,2296
18,2107,2108,2146,2070,2184,2222,2145,2031,2260,2298
19,2259,2296,2297,2260,2258,2335,2221,2220,2334,2183
20,1993,2031,2069,2068,2107,1992,2106,2145,1955,2183
21,2298,2336,2299,2261,2223,2260,2337,2297,2374,2185
22,2256,2219,2181,2294,2295,2143,2182,2180,2257,2218
23,2033,1995,1996,1957,1881,1919,1843,1805,1844,1958
24,2031,2107,2108,2070,1993,1994,2032,2069,2145,1955
25,2256,2294,2219,2295,2181,2333,2332,2257,2255,2218
26,2183,2069,2106,2144,2145,2068,2107,2220,1993,2031
27,2406,2482,2444,2368,2369,2520,2330,2481,2367,2405
28,2107,2069,2031,2145,1993,2183,2108,2068,2106,2070
29,2144,2106,2068,2069,2183,1993,2145,2030,2182,1992
30,2298,2223,2146,2185,2184,2260,2261,2071,2109,2147
31,2144,2258,2182,2183,2106,2220,2219,2145,2069,2068
32,2258,2183,2220,2145,2259,2296,2144,2221,2182,2107
33,2294,2256,2332,2255,2295,2218,2333,2219,2181,2370
34,2107,2145,2069,2183,2031,2108,1993,2106,2220,2068
35,2144,2106,2182,2183,2068,2030,2069,2258,2220,2219
36,2258,2219,2257,2182,2144,2220,2295,2256,2334,2296
37,1994,2031,2946,1993,1842,1956,1841,1955,1880,1879
38,2031,1994,2032,2070,1993,2108,2107,1956,2069,1955
39,2183,2145,2107,2069,2220,2258,2221,2222,2106,2144
40,1805,1729,1767,1843,1691,1842,1766,1690,1804,1728
41,2031,1993,1994,2069,2107,2108,2070,2032,1955,2068
42,2069,2183,2145,2106,2144,2068,2107,1993,2031,2220
43,2219,2295,2257,2256,2333,2258,2294,2372,2334,2181
44,2297,2259,2260,2298,2336,2374,2335,2373,2296,2221
45,2258,2220,2219,2257,2182,2296,2183,2144,2334,2259
46,2297,2259,2260,2335,2298,2296,2336,2373,2221,2222
47,2369,2331,2408,2330,2407,2444,2332,2406,2446,2368
48,2294,2256,2255,2218,2332,2293,2180,2295,2181,2331
49,2370,2333,2332,2294,2446,2408,2409,2371,2372,2331
50,2334,2372,2410,2335,2371,2296,2333,2411,2257,2373
51,2032,1994,1956,1957,2070,1995,1918,2031,1880,1842
52,2183,2145,2220,2258,2107,2069,2221,2144,2259,2106
53,2333,2372,2370,2294,2295,2332,2257,2334,2371,2256
54,2332,2294,2370,2333,2408,2331,2255,2293,2256,2295
55,2186,2147,2071,2072,2110,2148,2033,2185,2073,2224
56,2070,2032,2071,2108,2146,2033,2031,2107,2109,1995
57,2297,2298,2260,2336,2259,2374,2373,2335,2222,2223
58,2031,2069,1993,2107,2068,2145,2108,2183,2106,1994
59,2145,2107,2183,2069,2031,2220,2108,2106,2222,2068
60,2330,2369,2368,2331,2406,2444,2407,2293,2408,2292
61,2183,2145,2107,2220,2258,2069,2221,2222,2259,2260
62,2031,2107,2069,1993,2108,2070,2145,1994,2032,2068
63,2258,2220,2183,2182,2144,2219,2296,2106,2257,2145
64,2183,2069,2145,2107,2106,2144,2068,2220,2031,1993
65,2144,2106,2182,2183,2258,2068,2219,2220,2030,2069
66,2218,2255,2294,2256,2180,2293,2179,2142,2217,2332
67,1993,2031,2069,2068,1992,1955,1994,2107,2106,2145
68,2031,1993,1994,2069,1955,2068,2107,2946,2108,2032
69,2107,2145,2222,2183,2260,2069,2221,2108,2184,2220
70,1841,1803,1879,1992,1878,1765,1993,1917,1955,1727
71,2183,2145,2069,2107,2220,2106,2031,2144,2068,2258
72,2107,2145,2183,2222,2260,2069,2221,2108,2220,2031
73,2219,2256,2295,2294,2257,2258,2181,2182,2333,2372
74,2333,2295,2372,2257,2294,2219,2256,2334,2258,2370
75,2033,2071,2070,2032,1995,2109,2146,1957,2072,2108
76,2032,2070,2031,1994,2108,1956,1995,2107,1957,2071
77,1842,1956,1957,2032,1918,1843,1880,1994,1805,1995
78,2258,2257,2219,2295,2334,2372,2256,2333,2182,2296
79,2258,2334,2257,2296,2372,2335,2259,2219,2220,2295
80,2144,2182,2219,2106,2258,2183,2143,2067,2220,2030
81,2294,2256,2295,2333,2332,2219,2370,2255,2257,2181
82,2257,2258,2219,2295,2372,2334,2333,2256,2294,2296
83,2144,2106,2183,2068,2069,2182,2145,1993,2030,2220
84,2144,2182,2106,2258,2219,2183,2220,2068,2030,2067
85,2071,2070,2146,2109,2032,2033,2108,2107,2184,2185
86,2259,2260,2297,2296,2221,2335,2258,2298,2220,2222
87,2183,2145,2220,2258,2107,2221,2259,2069,2260,2296
88,2069,1993,2031,2068,2145,2107,2183,2106,2144,1992
89,2258,2219,2257,2182,2144,2220,2295,2334,2256,2296
90,2107,2145,2183,2069,2222,2031,2108,2220,2221,2260
91,2258,2220,2296,2259,2183,2257,2334,2182,2221,2219
92,2219,2258,2182,2257,2144,2256,2220,2295,2181,2183
93,2219,2258,2257,2182,2256,2295,2144,2181,2220,2294
94,2032,1957,1956,1995,1918,1994,1843,2070,1842,2033
95,2032,1994,2070,2031,1956,1957,1995,2108,2946,1880
96,2107,2145,2069,2031,2183,2108,2222,2260,2184,2221
97,2070,2032,2031,1994,2071,2108,2033,1995,1957,2107
98,2144,2182,2106,2219,2258,2067,2183,2030,2143,2068
99,2259,2183,2220,2258,2145,2260,2221,2296,2222,2107
100,2033,1995,1957,2032,2071,2070,1996,1918,1919,1843
101,1993,1992,2068,2069,2030,2106,2031,2144,1955,1917
102,2071,2033,2070,2109,2032,2146,1995,2147,2072,2108
103,2296,2259,2334,2335,2258,2297,2257,2220,2372,2260
104,2031,1993,2069,1994,1955,2068,2107,1992,2108,2946
105,2031,1993,1994,2946,1955,1956,1879,1841,2032,1842
106,2259,2260,2297,2296,2221,2258,2220,2335,2222,2298
107,2144,2182,2106,2183,2258,2219,2068,2030,2220,2067
108,2031,2070,2107,2108,1994,2032,1993,2069,2145,1956
109,2294,2332,2255,2256,2370,2333,2331,2293,2408,2295
110,2183,2145,2220,2107,2069,2258,2144,2106,2221,2222
111,2334,2258,2296,2372,2257,2335,2259,2410,2219,2295
112,2256,2219,2294,2295,2257,2333,2258,2181,2372,2332
113,2146,2071,2184,2298,2070,2109,2107,2108,2223,2185
114,2294,2333,2332,2370,2295,2256,2372,2408,2255,2331
115,2294,2332,2370,2333,2256,2331,2255,2408,2295,2293
116,2144,2182,2258,2106,2183,2220,2219,2068,2069,2145
117,2258,2296,2259,2220,2334,2257,2335,2183,2221,2219
118,1842,1994,1880,1956,2946,2031,1803,1841,2032,1918
119,2259,2335,2297,2296,2334,2373,2260,2258,2410,2374
120,2258,2220,2183,2296,2259,2182,2257,2219,2144,2334
121,2258,2220,2183,2296,2182,2257,2219,2144,2259,2334
122,2071,2033,2070,2109,2032,2146,1995,2108,2147,2072
123,2295,2257,2219,2333,2256,2372,2294,2258,2334,2370
124,2219,2256,2294,2181,2295,2257,2258,2182,2143,2333
125,2183,2144,2106,2069,2145,2220,2258,2182,2068,2107
126,2144,2183,2258,2220,2182,2106,2145,2069,2068,2219
127,2298,2223,2185,2261,2260,2336,2146,2299,2184,2147
128,2069,1993,2068,2106,2031,2144,2183,2145,1992,2107
129,2258,2183,2220,2144,2182,2145,2296,2106,2259,2221
130,2183,2144,2145,2106,2069,2220,2258,2182,2107,2068
131,2107,2069,2145,2031,2183,2108,1993,2068,2106,2222
132,2256,2294,2219,2181,2218,2180,2255,2295,2142,2143
133,2482,2481,2406,2520,2519,2558,2405,2444,2368,2367
134,1842,1956,1880,1994,2946,2032,1918,1957,1843,2031
135,2144,2106,2069,2183,2068,2145,1993,2107,2182,2220
136,2183,2220,2145,2258,2107,2221,2259,2069,2296,2144
137,2260,2298,2259,2297,2222,2184,2221,2336,2107,2145
138,1842,1843,1918,1957,1805,1956,1880,2032,1994,1995
139,2071,2070,2033,2146,2032,2109,2108,1995,2107,2184
140,2258,2259,2220,2296,2183,2221,2260,2145,2334,2257
141,2069,2031,1993,2107,2145,2068,2183,2106,2108,2144
142,2294,2332,2333,2370,2256,2295,2255,2331,2408,2293
143,2258,2219,2182,2144,2220,2257,2183,2296,2106,2334
144,2634,2672,2633,2671,2596,2635,2595,2709,2597,2710
145,1842,1880,1805,1804,1843,1766,1918,1956,1690,2946
146,2031,1993,1994,2107,2069,2108,2070,2032,1955,2068
147,2371,2410,2448,2409,2372,2447,2370,2486,2333,2411
148,1842,1880,1843,1804,1805,1956,1918,1766,2946,1994
149,2258,2219,2182,2220,2257,2144,2183,2296,2334,2106
150,2258,2219,2182,2144,2220,2257,2183,2106,2181,2143
151,2144,2219,2182,2258,2106,2143,2181,2183,2257,2220
152,2183,2220,2258,2145,2259,2221,2296,2260,2107,2222
153,1841,1803,1993,2946,1879,1842,1994,2031,1955,1880
154,1842,1803,1880,1841,2946,1804,1956,1879,1994,1765
155,2370,2446,2484,2409,2408,2333,2445,2371,2332,2447
156,2107,2145,2108,2031,2069,2070,2222,2184,2183,2146
157,2183,2144,2106,2069,2145,2068,2220,2182,2258,2107
158,2260,2259,2298,2297,2222,2221,2184,2107,2145,2296
159,2298,2223,2185,2146,2261,2260,2184,2336,2147,2299
160,1993,2031,1992,1955,1879,2068,2069,1841,1994,2946
161,2032,2070,2031,1994,2108,1995,2071,1956,1957,2033
162,2294,2333,2332,2370,2295,2256,2372,2257,2408,2255
163,2219,2258,2182,2257,2256,2144,2295,2181,2220,2143
164,2107,2145,2222,2260,2183,2108,2069,2184,2221,2031
165,2260,2297,2259,2298,2336,2222,2221,2296,2335,2374
166,3015,2442,2404,2441,2443,2993,2480,2366,2979,2517
167,2260,2107,2145,2222,2221,2183,2259,2184,2298,2220
168,2069,2107,2145,2183,2031,1993,2068,2106,2108,2144
169,2144,2182,2258,2219,2106,2183,2220,2257,2068,2143
170,2107,2222,2260,2184,2146,2108,2145,2298,2070,2031
171,2594,2556,2557,2518,2481,2519,2632,2595,2555,2443
172,2144,2182,2106,2067,2030,2219,2143,2068,2258,2183
173,2219,2258,2257,2256,2295,2182,2181,2294,2144,2334
174,2030,2144,1992,2106,2067,1991,2068,2182,2029,1993
175,2441,2403,2516,2478,2440,2479,2365,2554,2592,2517
176,2183,2145,2220,2258,2069,2144,2107,2106,2182,2221
177,2032,2070,1994,1995,1957,2033,1956,2031,2071,2108
178,1691,1729,1767,1805,1577,1653,1692,1654,1539,1615
179,2107,2070,2108,2031,2146,2032,2184,2071,2145,2109
180,2332,2294,2370,2333,2331,2408,2255,2293,2256,2295
181,2219,2182,2144,2258,2256,2181,2257,2143,2295,2220
182,2145,2183,2069,2107,2031,2106,2068,2144,2220,1993
183,2370,2332,2333,2294,2408,2446,2331,2372,2295,2371
184,2183,2145,2069,2107,2106,2144,2220,2068,2031,1993
185,2033,2071,2072,1996,1995,2034,1958,1957,2109,2032
186,2939,2597,2560,2559,2636,2598,2599,2484,2522,2635
187,2372,2333,2257,2295,2334,2219,2258,2294,2256,2370
188,2144,2219,2182,2258,2106,2143,2181,2067,2256,2183
189,2219,2258,2182,2257,2144,2295,2256,2220,2181,2183
190,2446,2370,2408,2484,2332,2445,2407,2409,2333,2331
191,2069,2183,2145,2107,2106,2031,2068,2144,1993,2220
192,1842,1805,1843,1804,1880,1766,1918,1690,1767,1729
193,2144,2106,2182,2183,2068,2069,2030,2258,2220,2145
194,2372,2333,2371,2370,2410,2334,2409,2295,2257,2448
195,2219,2256,2257,2295,2258,2294,2333,2182,2181,2372
196,2297,2259,2335,2373,2260,2296,2374,2336,2334,2298
197,2372,2333,2257,2334,2295,2258,2219,2294,2256,2370
198,2031,2107,2069,1993,2108,2145,2070,1994,2068,2183
199,2031,2069,2107,1993,2145,2068,2108,2183,2106,1994
200,2032,2070,2033,2071,1995,1957,1994,2031,2108,2109
201,2333,2372,2295,2257,2294,2219,2334,2256,2258,2370
202,2034,2035,1997,1996,2033,2072,1958,1920,1921,1845
203,2144,2067,2182,2030,2106,2143,2219,1991,2029,2068
204,2145,2183,2107,2069,2220,2222,2221,2260,2258,2259
205,2521,2483,2444,2558,2520,2482,2596,2369,2559,2407
206,2183,2145,2069,2144,2220,2106,2258,2107,2068,2182
207,2256,2219,2294,2181,2295,2180,2218,2143,2255,2182
208,2295,2333,2257,2372,2219,2294,2256,2258,2334,2370
209,2144,2106,2182,2183,2258,2220,2219,2068,2069,2145
210,2294,2256,2255,2218,2332,2180,2181,2219,2295,2293
211,2219,2256,2181,2182,2295,2294,2258,2257,2143,2144
212,2334,2372,2257,2258,2295,2333,2219,2296,2335,2410
213,2258,2220,2183,2296,2259,2182,2257,2219,2144,2334
214,2183,2145,2069,2144,2106,2107,2220,2258,2068,2182
215,2521,2483,2559,2596,2558,2444,2597,2520,2445,2522
216,2144,2219,2181,2143,2067,2105,2182,2256,2029,2142
217,1993,2068,2069,2031,1992,2106,2144,2030,1955,2107
218,2146,2298,2184,2107,2260,2222,2108,2223,2070,2109
219,2332,2294,2331,2370,2408,2293,2333,2255,2330,2369
220,2370,2408,2446,2332,2331,2407,2333,2369,2294,2445
221,2183,2144,2069,2106,2145,2068,2220,2107,2182,2258
222,2370,2446,2409,2333,2484,2371,2408,2332,2447,2372
223,2295,2294,2333,2256,2219,2257,2372,2258,2370,2332
224,2032,1994,2031,1956,2070,1957,2946,1880,1842,1995
225,2258,2296,2220,2257,2334,2219,2259,2182,2183,2335
226,2106,2068,2144,2069,1993,1992,2030,2183,2031,2182
227,2447,2486,2409,2371,2448,2484,2523,2485,2410,2446
228,1844,1996,1958,2033,1882,1920,1881,1845,1806,1919
229,2069,2107,2145,2031,2183,1993,2068,2106,2108,2144
230,2144,2106,2182,2068,2183,2030,2069,2258,2067,2219
231,2258,2219,2257,2182,2220,2334,2295,2296,2144,2372
232,2106,2144,2068,2069,2183,1993,2145,2030,1992,2031
233,2219,2144,2182,2181,2258,2143,2256,2106,2067,2257
234,2031,2107,2069,2108,2145,1993,2070,2183,1994,2068
235,2031,1994,1993,2032,2070,2108,2107,2069,1956,1955
236,2107,2260,2222,2145,2184,2108,2298,2146,2221,2183
237,2258,2259,2296,2220,2183,2221,2334,2260,2335,2297
238,2257,2219,2258,2295,2372,2333,2334,2256,2294,2182
239,2031,1993,2069,2068,2107,1994,1955,2108,1992,2145
240,2183,2144,2106,2069,2145,2220,2258,2182,2068,2107
241,2031,2032,2070,1994,2108,2107,1993,1956,2069,1957
242,2069,2031,1993,2145,2107,2068,2183,2106,2144,2108
243,2408,2369,2331,2407,2332,2330,2446,2444,2370,2445
244,2260,2297,2298,2259,2222,2336,2221,2296,2184,2335
245,2372,2333,2257,2334,2295,2258,2219,2294,2370,2256
246,2144,2106,2183,2069,2068,2145,2182,1993,2220,2030
247,2333,2372,2295,2257,2294,2334,2370,2219,2256,2258
248,1993,2068,2069,2031,1992,2106,2144,2030,2183,2145
249,2144,2258,2182,2219,2183,2106,2220,2257,2143,2068
250,2258,2257,2219,2295,2334,2372,2256,2333,2182,2296
251,2069,1993,2031,2068,2145,2183,2107,2106,2144,1992
252,2144,2106,2068,2030,1992,2069,1993,2182,2183,2067
253,2107,2146,2108,2184,2070,2222,2260,2145,2031,2298
254,2335,2334,2259,2296,2297,2410,2373,2372,2411,2258
255,2334,2258,2257,2372,2296,2335,2259,2219,2295,2220
256,2334,2258,2296,2335,2257,2372,2259,2220,2219,2410
257,1993,2069,2068,2031,2106,1992,2144,2145,2183,2107
258,2219,2256,2258,2182,2181,2257,2295,2144,2294,2143
259,2071,2033,2146,2109,2147,2185,2070,2223,2072,2298
260,2144,2182,2106,2258,2183,2219,2220,2068,2030,2067
261,2107,2031,2108,2070,2069,2145,1993,2032,2146,1994
262,2258,2220,2182,2144,2219,2183,2257,2296,2106,2334
263,2107,2145,2183,2069,2031,2108,2222,2220,2221,2106
264,2258,2257,2334,2219,2372,2295,2296,2333,2256,2182
265,2256,2219,2294,2181,2295,2257,2182,2258,2143,2180
