,aay,Ama,Ance,Antp,apt,Blimp-1,bmm,bowl,brk,Btk29A
,bun,cad,CenG1A,CG10479,CG11208,CG14427,CG17724,CG17786,CG43394,CG8147
,cnc,croc,Cyp310a1,D,dan,danr,Dfd,disco,Doc2,Doc3
,dpn,edl,ems,erm,Esp,E(spl)m5-HLH,eve,exex,fj,fkh
1,225,263,264,226,302,2935,378,187,340,189
2,3019,38,33,37,36,114,76,74,30,2937
3,1558,1862,1672,1976,2052,1748,1634,1938,1710,1596
4,1102,988,1026,836,950,1254,1064,912,1216,722
5,2961,3019,33,38,2,1,37,36,4,114
6,684,266,608,494,722,342,304,418,532,456
7,1510,1511,1473,1549,2962,1472,1548,1512,1435,1586
8,2961,3019,266,190,76,114,228,37,304,152
9,1171,2963,1133,1209,1095,981,1019,1057,1134,1248
10,216,253,254,292,255,177,215,178,179,217
11,1505,1544,1733,1657,1619,1543,1771,1506,1581,1695
12,684,722,608,836,798,494,912,950,988,532
13,228,266,3013,227,190,304,265,189,188,151
14,30,2937,36,22,24,28,16,32,26,33
15,2961,684,722,836,608,988,1102,950,1254,1026
16,266,304,684,342,608,494,722,228,418,190
17,2961,3019,190,266,76,114,37,228,152,75
18,1558,1482,1596,1520,1634,1444,1672,1406,1368,1330
19,2961,266,190,684,304,608,3019,722,228,342
20,409,447,410,448,373,486,372,485,411,484
21,722,684,608,836,798,494,912,950,760,874
22,722,684,836,950,988,912,798,608,1026,1102
23,1063,1025,949,987,1101,1139,1024,986,911,1062
24,105,67,104,106,142,180,64,29,144,143
25,2961,266,190,684,304,722,608,228,3019,342
26,2464,2541,2934,2540,2465,2502,2427,2578,2503,2426
27,2961,266,684,722,608,304,190,342,494,228
28,2389,2466,2390,2428,2351,2352,2427,2313,2465,2275
29,413,452,375,450,414,412,451,3037,337,489
30,950,836,912,988,1026,1102,1064,798,874,1140
31,407,445,3017,483,369,406,408,444,368,482
32,1672,1748,1634,1710,1824,1862,1786,1900,1938,1596
33,722,684,836,608,798,912,950,988,874,760
34,722,836,684,798,950,912,988,874,608,1026
35,722,836,1102,988,1254,950,1026,684,1064,912
36,1254,1102,1216,3038,1558,1026,1140,988,1064,1482
37,266,190,228,304,3013,342,227,152,75,265
38,293,295,333,294,257,332,371,255,370,334
39,2961,3019,114,37,76,190,38,75,266,152
