,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
14,39,40,38,37,36,47,31,46,30,48
15,52,53,51,54,60,44,55,59,43,61
21,41,49,33,57,25,17,9,1,42,50
39,50,42,58,51,49,43,59,41,57,34
42,1,9,17,25,33,41,49,57,2,10
57,21,22,20,23,24,29,13,19,28,12
62,21,22,20,23,24,29,13,19,28,12
66,36,37,35,38,44,28,39,43,27,45
68,30,29,31,32,28,38,22,21,37,39
99,21,22,20,23,24,29,13,19,28,12
109,28,29,27,30,20,36,31,19,35,21
129,41,49,33,57,25,17,9,1,42,50
140,52,53,51,54,60,44,55,59,43,61
142,33,41,25,49,17,57,9,1,34,42
147,52,53,51,54,60,44,55,59,43,61
171,36,37,35,38,44,28,39,43,27,45
175,35,36,43,27,34,37,26,42,44,28
188,35,36,43,27,34,37,26,42,44,28
189,52,53,51,54,60,44,55,59,43,61
192,30,29,31,32,28,38,22,21,37,39
228,36,37,35,38,44,28,39,43,27,45
237,36,37,35,38,44,28,39,43,27,45
243,5,6,4,7,8,13,3,12,14,15
249,52,53,51,54,60,44,55,59,43,61
250,7,8,6,5,4,15,14,16,13,12
253,36,37,35,38,44,28,39,43,27,45
256,59,60,51,58,61,50,52,62,53,42
281,41,49,33,57,25,17,9,1,42,50
300,52,53,51,54,60,44,55,59,43,61
307,30,29,31,32,28,38,22,21,37,39
311,17,9,25,1,33,41,49,57,18,10
312,7,8,6,5,4,15,14,16,13,12
324,28,29,27,30,20,36,31,19,35,21
332,21,22,20,23,24,29,13,19,28,12
353,22,21,23,24,20,30,14,29,13,31
355,50,42,58,51,49,43,59,41,57,34
364,34,26,42,35,33,43,27,41,25,50
379,39,40,38,37,36,47,31,46,30,48
387,49,41,57,33,25,17,9,1,50,42
428,21,22,20,23,24,29,13,19,28,12
431,21,22,20,23,24,29,13,19,28,12
436,43,44,35,51,42,45,50,34,36,52
439,28,29,27,30,20,36,31,19,35,21
448,6,5,7,8,4,14,13,15,16,12
457,36,37,35,38,44,28,39,43,27,45
487,28,29,27,30,20,36,31,19,35,21
492,35,36,43,27,34,37,26,42,44,28
502,34,26,42,35,33,43,27,41,25,50
503,21,22,20,23,24,29,13,19,28,12
512,1,9,17,25,33,41,49,57,2,10
517,36,37,35,38,44,28,39,43,27,45
542,21,22,20,23,24,29,13,19,28,12
557,35,36,43,27,34,37,26,42,44,28
567,17,9,25,1,33,41,49,57,18,10
568,6,5,7,8,4,14,13,15,16,12
581,39,40,38,37,36,47,31,46,30,48
585,7,8,6,5,4,15,14,16,13,12
589,17,9,25,1,33,41,49,57,18,10
597,4,5,3,6,12,7,11,13,14,8
606,43,44,35,51,42,45,50,34,36,52
609,1,9,17,25,33,41,49,57,2,10
611,28,29,27,30,20,36,31,19,35,21
634,21,22,20,23,24,29,13,19,28,12
655,64,63,62,61,56,55,54,60,53,52
670,33,41,25,49,17,57,9,1,34,42
674,7,8,6,5,4,15,14,16,13,12
676,7,8,6,5,4,15,14,16,13,12
678,39,40,38,37,36,47,31,46,30,48
688,52,53,51,54,60,44,55,59,43,61
714,52,53,51,54,60,44,55,59,43,61
725,52,53,51,54,60,44,55,59,43,61
728,21,22,20,23,24,29,13,19,28,12
729,44,45,43,46,36,52,47,35,51,37
731,3,4,11,2,5,10,12,6,13,18
763,41,49,33,57,25,17,9,1,42,50
774,52,53,51,54,60,44,55,59,43,61
778,21,22,20,23,24,29,13,19,28,12
783,28,29,27,30,20,36,31,19,35,21
796,37,38,36,39,40,45,29,35,44,28
800,17,9,25,1,33,41,49,57,18,10
802,7,8,6,5,4,15,14,16,13,12
815,7,8,6,5,4,15,14,16,13,12
819,7,8,6,5,4,15,14,16,13,12
821,22,21,23,24,20,30,14,29,13,31
833,21,22,20,23,24,29,13,19,28,12
