,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
3,60,61,59,62,52,63,51,53,54,64
4,39,40,38,37,36,47,31,46,30,48
16,36,37,35,38,44,28,39,43,27,45
23,29,30,28,31,32,21,37,27,20,36
34,29,30,28,31,32,21,37,27,20,36
38,21,22,20,23,24,29,13,19,28,12
44,38,37,39,40,36,30,46,29,45,31
56,29,30,28,31,32,21,37,27,20,36
64,3,4,11,2,5,10,12,6,13,18
82,35,36,43,27,34,37,26,42,44,28
108,49,41,57,33,25,17,9,1,50,42
111,35,36,43,27,34,37,26,42,44,28
114,60,61,59,62,52,63,51,53,54,64
126,29,30,28,31,32,21,37,27,20,36
131,60,61,59,62,52,63,51,53,54,64
138,49,41,57,33,25,17,9,1,50,42
163,53,54,52,55,56,61,45,51,60,44
164,39,40,38,37,36,47,31,46,30,48
165,36,37,35,38,44,28,39,43,27,45
174,3,4,11,2,5,10,12,6,13,18
201,29,30,28,31,32,21,37,27,20,36
204,3,4,11,2,5,10,12,6,13,18
205,3,4,11,2,5,10,12,6,13,18
213,33,41,25,49,17,57,9,1,34,42
222,59,60,51,58,61,50,52,62,53,42
232,36,37,35,38,44,28,39,43,27,45
252,49,41,57,33,25,17,9,1,50,42
265,37,38,36,39,40,45,29,35,44,28
275,53,54,52,55,56,61,45,51,60,44
282,11,12,3,19,10,13,18,2,4,20
286,29,30,28,31,32,21,37,27,20,36
288,49,41,57,33,25,17,9,1,50,42
293,29,30,28,31,32,21,37,27,20,36
294,60,61,59,62,52,63,51,53,54,64
297,3,4,11,2,5,10,12,6,13,18
329,21,22,20,23,24,29,13,19,28,12
341,39,40,38,37,36,47,31,46,30,48
342,50,42,58,51,49,43,59,41,57,34
345,53,54,52,55,56,61,45,51,60,44
356,7,8,6,5,4,15,14,16,13,12
373,3,4,11,2,5,10,12,6,13,18
384,20,21,19,22,28,12,23,27,11,29
389,47,48,46,45,44,39,55,54,38,56
398,11,12,3,19,10,13,18,2,4,20
418,21,22,20,23,24,29,13,19,28,12
420,3,4,11,2,5,10,12,6,13,18
426,29,30,28,31,32,21,37,27,20,36
432,33,41,25,49,17,57,9,1,34,42
433,35,36,43,27,34,37,26,42,44,28
441,52,53,51,54,60,44,55,59,43,61
449,39,40,38,37,36,47,31,46,30,48
451,49,41,57,33,25,17,9,1,50,42
463,49,41,57,33,25,17,9,1,50,42
464,54,53,55,56,52,62,46,61,45,63
482,60,61,59,62,52,63,51,53,54,64
505,53,54,52,55,56,61,45,51,60,44
519,60,61,59,62,52,63,51,53,54,64
529,53,54,52,55,56,61,45,51,60,44
547,39,40,38,37,36,47,31,46,30,48
548,60,61,59,62,52,63,51,53,54,64
569,11,12,3,19,10,13,18,2,4,20
579,29,30,28,31,32,21,37,27,20,36
592,49,41,57,33,25,17,9,1,50,42
603,53,54,52,55,56,61,45,51,60,44
632,54,53,55,56,52,62,46,61,45,63
638,5,6,4,7,8,13,3,12,14,15
653,33,41,25,49,17,57,9,1,34,42
659,3,4,11,2,5,10,12,6,13,18
661,5,6,4,7,8,13,3,12,14,15
669,6,5,7,8,4,14,13,15,16,12
702,11,12,3,19,10,13,18,2,4,20
703,7,8,6,5,4,15,14,16,13,12
719,39,40,38,37,36,47,31,46,30,48
727,11,12,3,19,10,13,18,2,4,20
732,21,22,20,23,24,29,13,19,28,12
746,1,9,17,25,33,41,49,57,2,10
750,1,9,17,25,33,41,49,57,2,10
751,6,5,7,8,4,14,13,15,16,12
764,5,6,4,7,8,13,3,12,14,15
765,59,60,51,58,61,50,52,62,53,42
784,33,41,25,49,17,57,9,1,34,42
820,6,5,7,8,4,14,13,15,16,12
822,52,53,51,54,60,44,55,59,43,61
827,62,61,63,64,60,54,53,55,56,52
848,39,40,38,37,36,47,31,46,30,48
850,53,54,52,55,56,61,45,51,60,44
