,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
5,40,39,38,37,48,32,47,31,46,30
7,21,22,20,23,24,29,13,19,28,12
20,21,22,20,23,24,29,13,19,28,12
35,21,22,20,23,24,29,13,19,28,12
36,33,41,25,49,17,57,9,1,34,42
49,52,53,51,54,60,44,55,59,43,61
53,30,29,31,32,28,38,22,21,37,39
63,63,64,62,61,60,55,54,56,53,52
72,64,63,62,61,56,55,54,60,53,52
89,33,41,25,49,17,57,9,1,34,42
102,7,8,6,5,4,15,14,16,13,12
115,43,44,35,51,42,45,50,34,36,52
120,33,41,25,49,17,57,9,1,34,42
121,8,7,6,5,16,15,14,4,13,12
125,35,36,43,27,34,37,26,42,44,28
128,21,22,20,23,24,29,13,19,28,12
130,34,26,42,35,33,43,27,41,25,50
139,30,29,31,32,28,38,22,21,37,39
145,49,41,57,33,25,17,9,1,50,42
146,36,37,35,38,44,28,39,43,27,45
158,56,55,54,53,64,48,47,63,46,62
159,21,22,20,23,24,29,13,19,28,12
172,52,53,51,54,60,44,55,59,43,61
194,17,9,25,1,33,41,49,57,18,10
226,21,22,20,23,24,29,13,19,28,12
227,39,40,38,37,36,47,31,46,30,48
242,29,30,28,31,32,21,37,27,20,36
258,21,22,20,23,24,29,13,19,28,12
277,36,37,35,38,44,28,39,43,27,45
291,59,60,51,58,61,50,52,62,53,42
301,30,29,31,32,28,38,22,21,37,39
319,53,54,52,55,56,61,45,51,60,44
333,27,28,19,35,26,29,18,34,20,36
337,37,38,36,39,40,45,29,35,44,28
344,7,8,6,5,4,15,14,16,13,12
360,19,20,27,11,18,21,26,10,28,12
366,34,26,42,35,33,43,27,41,25,50
368,43,44,35,51,42,45,50,34,36,52
371,34,26,42,35,33,43,27,41,25,50
372,36,37,35,38,44,28,39,43,27,45
376,21,22,20,23,24,29,13,19,28,12
383,54,53,55,56,52,62,46,61,45,63
394,17,9,25,1,33,41,49,57,18,10
395,34,26,42,35,33,43,27,41,25,50
400,43,44,35,51,42,45,50,34,36,52
409,7,8,6,5,4,15,14,16,13,12
414,7,8,6,5,4,15,14,16,13,12
435,34,26,42,35,33,43,27,41,25,50
438,3,4,11,2,5,10,12,6,13,18
452,28,29,27,30,20,36,31,19,35,21
456,21,22,20,23,24,29,13,19,28,12
459,49,41,57,33,25,17,9,1,50,42
471,22,21,23,24,20,30,14,29,13,31
484,63,64,62,61,60,55,54,56,53,52
495,34,26,42,35,33,43,27,41,25,50
497,41,49,33,57,25,17,9,1,42,50
504,59,60,51,58,61,50,52,62,53,42
506,43,44,35,51,42,45,50,34,36,52
510,7,8,6,5,4,15,14,16,13,12
549,5,6,4,7,8,13,3,12,14,15
594,17,9,25,1,33,41,49,57,18,10
610,7,8,6,5,4,15,14,16,13,12
618,5,6,4,7,8,13,3,12,14,15
627,28,29,27,30,20,36,31,19,35,21
633,7,8,6,5,4,15,14,16,13,12
649,49,41,57,33,25,17,9,1,50,42
667,22,21,23,24,20,30,14,29,13,31
679,21,22,20,23,24,29,13,19,28,12
681,21,22,20,23,24,29,13,19,28,12
683,19,20,27,11,18,21,26,10,28,12
689,21,22,20,23,24,29,13,19,28,12
700,40,39,38,37,48,32,47,31,46,30
715,21,22,20,23,24,29,13,19,28,12
724,35,36,43,27,34,37,26,42,44,28
742,41,49,33,57,25,17,9,1,42,50
744,52,53,51,54,60,44,55,59,43,61
749,4,5,3,6,12,7,11,13,14,8
781,37,38,36,39,40,45,29,35,44,28
793,28,29,27,30,20,36,31,19,35,21
814,43,44,35,51,42,45,50,34,36,52
818,22,21,23,24,20,30,14,29,13,31
823,41,49,33,57,25,17,9,1,42,50
831,29,30,28,31,32,21,37,27,20,36
843,48,47,46,45,40,56,39,55,38,54
849,35,36,43,27,34,37,26,42,44,28
