,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
10,29,30,28,31,32,21,37,27,20,36
30,41,49,33,57,25,17,9,1,42,50
37,21,22,20,23,24,29,13,19,28,12
40,29,30,28,31,32,21,37,27,20,36
41,30,29,31,32,28,38,22,21,37,39
47,30,29,31,32,28,38,22,21,37,39
50,7,8,6,5,4,15,14,16,13,12
79,21,22,20,23,24,29,13,19,28,12
97,3,4,11,2,5,10,12,6,13,18
123,36,37,35,38,44,28,39,43,27,45
137,52,53,51,54,60,44,55,59,43,61
156,35,36,43,27,34,37,26,42,44,28
160,50,42,58,51,49,43,59,41,57,34
167,22,21,23,24,20,30,14,29,13,31
173,6,5,7,8,4,14,13,15,16,12
183,21,22,20,23,24,29,13,19,28,12
184,17,9,25,1,33,41,49,57,18,10
199,21,22,20,23,24,29,13,19,28,12
202,28,29,27,30,20,36,31,19,35,21
203,7,8,6,5,4,15,14,16,13,12
210,36,37,35,38,44,28,39,43,27,45
225,36,37,35,38,44,28,39,43,27,45
229,1,9,17,25,33,41,49,57,2,10
230,28,29,27,30,20,36,31,19,35,21
233,22,21,23,24,20,30,14,29,13,31
248,40,39,38,37,48,32,47,31,46,30
262,41,49,33,57,25,17,9,1,42,50
263,52,53,51,54,60,44,55,59,43,61
271,41,49,33,57,25,17,9,1,42,50
289,27,28,19,35,26,29,18,34,20,36
308,37,38,36,39,40,45,29,35,44,28
320,36,37,35,38,44,28,39,43,27,45
321,41,49,33,57,25,17,9,1,42,50
326,21,22,20,23,24,29,13,19,28,12
334,7,8,6,5,4,15,14,16,13,12
347,49,41,57,33,25,17,9,1,50,42
361,7,8,6,5,4,15,14,16,13,12
388,3,4,11,2,5,10,12,6,13,18
406,52,53,51,54,60,44,55,59,43,61
410,36,37,35,38,44,28,39,43,27,45
417,41,49,33,57,25,17,9,1,42,50
422,52,53,51,54,60,44,55,59,43,61
444,21,22,20,23,24,29,13,19,28,12
445,19,20,27,11,18,21,26,10,28,12
446,7,8,6,5,4,15,14,16,13,12
458,28,29,27,30,20,36,31,19,35,21
460,35,36,43,27,34,37,26,42,44,28
469,30,29,31,32,28,38,22,21,37,39
498,21,22,20,23,24,29,13,19,28,12
501,3,4,11,2,5,10,12,6,13,18
508,27,28,19,35,26,29,18,34,20,36
515,28,29,27,30,20,36,31,19,35,21
520,20,21,19,22,28,12,23,27,11,29
522,36,37,35,38,44,28,39,43,27,45
538,21,22,20,23,24,29,13,19,28,12
540,52,53,51,54,60,44,55,59,43,61
555,64,63,62,61,56,55,54,60,53,52
556,52,53,51,54,60,44,55,59,43,61
576,51,52,59,43,50,53,58,42,60,44
605,7,8,6,5,4,15,14,16,13,12
616,7,8,6,5,4,15,14,16,13,12
619,21,22,20,23,24,29,13,19,28,12
622,7,8,6,5,4,15,14,16,13,12
626,21,22,20,23,24,29,13,19,28,12
639,19,20,27,11,18,21,26,10,28,12
657,30,29,31,32,28,38,22,21,37,39
658,52,53,51,54,60,44,55,59,43,61
662,29,30,28,31,32,21,37,27,20,36
666,30,29,31,32,28,38,22,21,37,39
686,48,47,46,45,40,56,39,55,38,54
699,40,39,38,37,48,32,47,31,46,30
706,55,56,54,53,52,47,63,46,62,48
711,7,8,6,5,4,15,14,16,13,12
717,34,26,42,35,33,43,27,41,25,50
762,59,60,51,58,61,50,52,62,53,42
773,30,29,31,32,28,38,22,21,37,39
775,40,39,38,37,48,32,47,31,46,30
776,35,36,43,27,34,37,26,42,44,28
786,28,29,27,30,20,36,31,19,35,21
787,28,29,27,30,20,36,31,19,35,21
792,52,53,51,54,60,44,55,59,43,61
794,41,49,33,57,25,17,9,1,42,50
810,5,6,4,7,8,13,3,12,14,15
816,3,4,11,2,5,10,12,6,13,18
825,21,22,20,23,24,29,13,19,28,12
830,5,6,4,7,8,13,3,12,14,15
