,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
1,7,8,6,5,4,15,14,16,13,12
9,21,22,20,23,24,29,13,19,28,12
24,42,50,34,43,41,51,35,49,33,58
25,59,60,51,58,61,50,52,62,53,42
28,21,22,20,23,24,29,13,19,28,12
55,35,36,43,27,34,37,26,42,44,28
58,3,4,11,2,5,10,12,6,13,18
69,40,39,38,37,48,32,47,31,46,30
83,59,60,51,58,61,50,52,62,53,42
87,52,53,51,54,60,44,55,59,43,61
92,11,12,3,19,10,13,18,2,4,20
94,39,40,38,37,36,47,31,46,30,48
104,11,12,3,19,10,13,18,2,4,20
106,22,21,23,24,20,30,14,29,13,31
110,27,28,19,35,26,29,18,34,20,36
113,41,49,33,57,25,17,9,1,42,50
149,44,45,43,46,36,52,47,35,51,37
152,8,7,6,5,16,15,14,4,13,12
157,17,9,25,1,33,41,49,57,18,10
161,17,9,25,1,33,41,49,57,18,10
187,4,5,3,6,12,7,11,13,14,8
217,44,45,43,46,36,52,47,35,51,37
255,35,36,43,27,34,37,26,42,44,28
261,7,8,6,5,4,15,14,16,13,12
269,29,30,28,31,32,21,37,27,20,36
283,35,36,43,27,34,37,26,42,44,28
298,52,53,51,54,60,44,55,59,43,61
305,27,28,19,35,26,29,18,34,20,36
306,17,9,25,1,33,41,49,57,18,10
336,61,62,60,63,64,53,59,52,54,55
340,63,64,62,61,60,55,54,56,53,52
352,6,5,7,8,4,14,13,15,16,12
358,1,9,17,25,33,41,49,57,2,10
375,41,49,33,57,25,17,9,1,42,50
390,7,8,6,5,4,15,14,16,13,12
396,1,9,17,25,33,41,49,57,2,10
397,52,53,51,54,60,44,55,59,43,61
401,52,53,51,54,60,44,55,59,43,61
419,52,53,51,54,60,44,55,59,43,61
424,35,36,43,27,34,37,26,42,44,28
429,33,41,25,49,17,57,9,1,34,42
450,21,22,20,23,24,29,13,19,28,12
454,63,64,62,61,60,55,54,56,53,52
467,27,28,19,35,26,29,18,34,20,36
474,36,37,35,38,44,28,39,43,27,45
478,41,49,33,57,25,17,9,1,42,50
483,41,49,33,57,25,17,9,1,42,50
488,34,26,42,35,33,43,27,41,25,50
493,6,5,7,8,4,14,13,15,16,12
528,43,44,35,51,42,45,50,34,36,52
534,22,21,23,24,20,30,14,29,13,31
552,20,21,19,22,28,12,23,27,11,29
560,59,60,51,58,61,50,52,62,53,42
562,21,22,20,23,24,29,13,19,28,12
563,43,44,35,51,42,45,50,34,36,52
586,33,41,25,49,17,57,9,1,34,42
598,43,44,35,51,42,45,50,34,36,52
599,29,30,28,31,32,21,37,27,20,36
600,3,4,11,2,5,10,12,6,13,18
604,19,20,27,11,18,21,26,10,28,12
607,21,22,20,23,24,29,13,19,28,12
621,5,6,4,7,8,13,3,12,14,15
663,7,8,6,5,4,15,14,16,13,12
665,39,40,38,37,36,47,31,46,30,48
673,31,32,30,29,28,39,23,22,38,24
680,5,6,4,7,8,13,3,12,14,15
694,21,22,20,23,24,29,13,19,28,12
707,11,12,3,19,10,13,18,2,4,20
712,7,8,6,5,4,15,14,16,13,12
723,27,28,19,35,26,29,18,34,20,36
754,21,22,20,23,24,29,13,19,28,12
760,64,63,62,61,56,55,54,60,53,52
766,59,60,51,58,61,50,52,62,53,42
795,21,22,20,23,24,29,13,19,28,12
797,5,6,4,7,8,13,3,12,14,15
799,17,9,25,1,33,41,49,57,18,10
801,36,37,35,38,44,28,39,43,27,45
809,21,22,20,23,24,29,13,19,28,12
813,52,53,51,54,60,44,55,59,43,61
834,28,29,27,30,20,36,31,19,35,21
837,29,30,28,31,32,21,37,27,20,36
845,28,29,27,30,20,36,31,19,35,21
846,6,5,7,8,4,14,13,15,16,12
851,35,36,43,27,34,37,26,42,44,28
