,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
6,39,40,38,37,36,47,31,46,30,48
13,7,8,6,5,4,15,14,16,13,12
18,49,41,57,33,25,17,9,1,50,42
61,39,40,38,37,36,47,31,46,30,48
70,3,4,11,2,5,10,12,6,13,18
80,39,40,38,37,36,47,31,46,30,48
81,55,56,54,53,52,47,63,46,62,48
144,49,41,57,33,25,17,9,1,50,42
154,59,60,51,58,61,50,52,62,53,42
169,29,30,28,31,32,21,37,27,20,36
178,60,61,59,62,52,63,51,53,54,64
185,51,52,59,43,50,53,58,42,60,44
186,3,4,11,2,5,10,12,6,13,18
190,49,41,57,33,25,17,9,1,50,42
196,7,8,6,5,4,15,14,16,13,12
207,4,5,3,6,12,7,11,13,14,8
212,30,29,31,32,28,38,22,21,37,39
220,60,61,59,62,52,63,51,53,54,64
240,53,54,52,55,56,61,45,51,60,44
241,7,8,6,5,4,15,14,16,13,12
244,49,41,57,33,25,17,9,1,50,42
266,11,12,3,19,10,13,18,2,4,20
273,3,4,11,2,5,10,12,6,13,18
274,29,30,28,31,32,21,37,27,20,36
285,3,4,11,2,5,10,12,6,13,18
299,60,61,59,62,52,63,51,53,54,64
303,33,41,25,49,17,57,9,1,34,42
304,60,61,59,62,52,63,51,53,54,64
309,21,22,20,23,24,29,13,19,28,12
314,5,6,4,7,8,13,3,12,14,15
316,39,40,38,37,36,47,31,46,30,48
323,11,12,3,19,10,13,18,2,4,20
339,1,9,17,25,33,41,49,57,2,10
351,1,9,17,25,33,41,49,57,2,10
357,49,41,57,33,25,17,9,1,50,42
359,1,9,17,25,33,41,49,57,2,10
362,21,22,20,23,24,29,13,19,28,12
365,11,12,3,19,10,13,18,2,4,20
370,3,4,11,2,5,10,12,6,13,18
382,3,4,11,2,5,10,12,6,13,18
393,11,12,3,19,10,13,18,2,4,20
404,3,4,11,2,5,10,12,6,13,18
455,51,52,59,43,50,53,58,42,60,44
466,53,54,52,55,56,61,45,51,60,44
472,53,54,52,55,56,61,45,51,60,44
479,49,41,57,33,25,17,9,1,50,42
485,63,64,62,61,60,55,54,56,53,52
500,59,60,51,58,61,50,52,62,53,42
511,7,8,6,5,4,15,14,16,13,12
516,53,54,52,55,56,61,45,51,60,44
521,3,4,11,2,5,10,12,6,13,18
523,60,61,59,62,52,63,51,53,54,64
527,53,54,52,55,56,61,45,51,60,44
536,52,53,51,54,60,44,55,59,43,61
537,5,6,4,7,8,13,3,12,14,15
558,33,41,25,49,17,57,9,1,34,42
566,7,8,6,5,4,15,14,16,13,12
583,6,5,7,8,4,14,13,15,16,12
596,60,61,59,62,52,63,51,53,54,64
608,11,12,3,19,10,13,18,2,4,20
613,38,37,39,40,36,30,46,29,45,31
631,49,41,57,33,25,17,9,1,50,42
647,39,40,38,37,36,47,31,46,30,48
654,35,36,43,27,34,37,26,42,44,28
682,60,61,59,62,52,63,51,53,54,64
687,39,40,38,37,36,47,31,46,30,48
690,39,40,38,37,36,47,31,46,30,48
705,60,61,59,62,52,63,51,53,54,64
718,33,41,25,49,17,57,9,1,34,42
735,3,4,11,2,5,10,12,6,13,18
740,7,8,6,5,4,15,14,16,13,12
745,5,6,4,7,8,13,3,12,14,15
752,4,5,3,6,12,7,11,13,14,8
753,60,61,59,62,52,63,51,53,54,64
755,60,61,59,62,52,63,51,53,54,64
757,35,36,43,27,34,37,26,42,44,28
758,29,30,28,31,32,21,37,27,20,36
759,49,41,57,33,25,17,9,1,50,42
782,63,64,62,61,60,55,54,56,53,52
788,3,4,11,2,5,10,12,6,13,18
798,63,64,62,61,60,55,54,56,53,52
805,39,40,38,37,36,47,31,46,30,48
812,62,61,63,64,60,54,53,55,56,52
828,11,12,3,19,10,13,18,2,4,20
841,5,6,4,7,8,13,3,12,14,15
