,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
33,28,29,27,30,20,36,31,19,35,21
54,35,36,43,27,34,37,26,42,44,28
75,30,29,31,32,28,38,22,21,37,39
84,41,49,33,57,25,17,9,1,42,50
86,30,29,31,32,28,38,22,21,37,39
90,30,29,31,32,28,38,22,21,37,39
91,41,49,33,57,25,17,9,1,42,50
95,28,29,27,30,20,36,31,19,35,21
119,30,29,31,32,28,38,22,21,37,39
122,36,37,35,38,44,28,39,43,27,45
133,3,4,11,2,5,10,12,6,13,18
143,4,5,3,6,12,7,11,13,14,8
155,7,8,6,5,4,15,14,16,13,12
162,4,5,3,6,12,7,11,13,14,8
179,30,29,31,32,28,38,22,21,37,39
200,3,4,11,2,5,10,12,6,13,18
206,21,22,20,23,24,29,13,19,28,12
209,43,44,35,51,42,45,50,34,36,52
216,28,29,27,30,20,36,31,19,35,21
236,5,6,4,7,8,13,3,12,14,15
246,17,9,25,1,33,41,49,57,18,10
251,30,29,31,32,28,38,22,21,37,39
254,17,9,25,1,33,41,49,57,18,10
259,3,4,11,2,5,10,12,6,13,18
267,21,22,20,23,24,29,13,19,28,12
284,51,52,59,43,50,53,58,42,60,44
295,29,30,28,31,32,21,37,27,20,36
302,52,53,51,54,60,44,55,59,43,61
310,49,41,57,33,25,17,9,1,50,42
318,36,37,35,38,44,28,39,43,27,45
325,22,21,23,24,20,30,14,29,13,31
346,52,53,51,54,60,44,55,59,43,61
363,52,53,51,54,60,44,55,59,43,61
367,52,53,51,54,60,44,55,59,43,61
377,30,29,31,32,28,38,22,21,37,39
385,7,8,6,5,4,15,14,16,13,12
391,52,53,51,54,60,44,55,59,43,61
392,17,9,25,1,33,41,49,57,18,10
402,21,22,20,23,24,29,13,19,28,12
407,64,63,62,61,56,55,54,60,53,52
412,44,45,43,46,36,52,47,35,51,37
413,36,37,35,38,44,28,39,43,27,45
430,41,49,33,57,25,17,9,1,42,50
461,19,20,27,11,18,21,26,10,28,12
462,5,6,4,7,8,13,3,12,14,15
476,17,9,25,1,33,41,49,57,18,10
477,41,49,33,57,25,17,9,1,42,50
489,28,29,27,30,20,36,31,19,35,21
490,35,36,43,27,34,37,26,42,44,28
496,22,21,23,24,20,30,14,29,13,31
513,35,36,43,27,34,37,26,42,44,28
518,3,4,11,2,5,10,12,6,13,18
533,5,6,4,7,8,13,3,12,14,15
541,3,4,11,2,5,10,12,6,13,18
545,49,41,57,33,25,17,9,1,50,42
546,22,21,23,24,20,30,14,29,13,31
553,36,37,35,38,44,28,39,43,27,45
580,56,55,54,53,64,48,47,63,46,62
587,52,53,51,54,60,44,55,59,43,61
590,36,37,35,38,44,28,39,43,27,45
602,33,41,25,49,17,57,9,1,34,42
617,49,41,57,33,25,17,9,1,50,42
630,5,6,4,7,8,13,3,12,14,15
642,52,53,51,54,60,44,55,59,43,61
646,27,28,19,35,26,29,18,34,20,36
648,30,29,31,32,28,38,22,21,37,39
677,21,22,20,23,24,29,13,19,28,12
692,64,63,62,61,56,55,54,60,53,52
693,52,53,51,54,60,44,55,59,43,61
697,56,55,54,53,64,48,47,63,46,62
698,56,55,54,53,64,48,47,63,46,62
701,6,5,7,8,4,14,13,15,16,12
704,63,64,62,61,60,55,54,56,53,52
710,63,64,62,61,60,55,54,56,53,52
726,25,33,17,9,41,49,1,57,26,34
730,17,9,25,1,33,41,49,57,18,10
734,43,44,35,51,42,45,50,34,36,52
736,7,8,6,5,4,15,14,16,13,12
739,21,22,20,23,24,29,13,19,28,12
741,22,21,23,24,20,30,14,29,13,31
756,27,28,19,35,26,29,18,34,20,36
761,52,53,51,54,60,44,55,59,43,61
770,40,39,38,37,48,32,47,31,46,30
835,1,9,17,25,33,41,49,57,2,10
839,33,41,25,49,17,57,9,1,34,42
