,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
12,35,36,43,27,34,37,26,42,44,28
26,34,26,42,35,33,43,27,41,25,50
45,51,52,59,43,50,53,58,42,60,44
51,60,61,59,62,52,63,51,53,54,64
67,11,12,3,19,10,13,18,2,4,20
73,59,60,51,58,61,50,52,62,53,42
77,1,9,17,25,33,41,49,57,2,10
85,53,54,52,55,56,61,45,51,60,44
101,63,64,62,61,60,55,54,56,53,52
103,49,41,57,33,25,17,9,1,50,42
105,1,9,17,25,33,41,49,57,2,10
107,29,30,28,31,32,21,37,27,20,36
132,3,4,11,2,5,10,12,6,13,18
136,3,4,11,2,5,10,12,6,13,18
141,36,37,35,38,44,28,39,43,27,45
166,1,9,17,25,33,41,49,57,2,10
168,54,53,55,56,52,62,46,61,45,63
170,5,6,4,7,8,13,3,12,14,15
180,1,9,17,25,33,41,49,57,2,10
182,60,61,59,62,52,63,51,53,54,64
197,29,30,28,31,32,21,37,27,20,36
211,49,41,57,33,25,17,9,1,50,42
214,11,12,3,19,10,13,18,2,4,20
219,33,41,25,49,17,57,9,1,34,42
235,3,4,11,2,5,10,12,6,13,18
239,29,30,28,31,32,21,37,27,20,36
245,53,54,52,55,56,61,45,51,60,44
247,1,9,17,25,33,41,49,57,2,10
257,11,12,3,19,10,13,18,2,4,20
260,7,8,6,5,4,15,14,16,13,12
268,35,36,43,27,34,37,26,42,44,28
270,51,52,59,43,50,53,58,42,60,44
279,54,53,55,56,52,62,46,61,45,63
315,52,53,51,54,60,44,55,59,43,61
322,60,61,59,62,52,63,51,53,54,64
331,49,41,57,33,25,17,9,1,50,42
338,29,30,28,31,32,21,37,27,20,36
350,21,22,20,23,24,29,13,19,28,12
403,39,40,38,37,36,47,31,46,30,48
405,62,61,63,64,60,54,53,55,56,52
411,60,61,59,62,52,63,51,53,54,64
415,11,12,3,19,10,13,18,2,4,20
421,21,22,20,23,24,29,13,19,28,12
427,33,41,25,49,17,57,9,1,34,42
447,39,40,38,37,36,47,31,46,30,48
465,60,61,59,62,52,63,51,53,54,64
475,3,4,11,2,5,10,12,6,13,18
480,3,4,11,2,5,10,12,6,13,18
481,55,56,54,53,52,47,63,46,62,48
486,1,9,17,25,33,41,49,57,2,10
531,6,5,7,8,4,14,13,15,16,12
543,7,8,6,5,4,15,14,16,13,12
551,21,22,20,23,24,29,13,19,28,12
554,3,4,11,2,5,10,12,6,13,18
561,11,12,3,19,10,13,18,2,4,20
572,4,5,3,6,12,7,11,13,14,8
584,51,52,59,43,50,53,58,42,60,44
593,11,12,3,19,10,13,18,2,4,20
601,60,61,59,62,52,63,51,53,54,64
612,7,8,6,5,4,15,14,16,13,12
614,52,53,51,54,60,44,55,59,43,61
615,39,40,38,37,36,47,31,46,30,48
623,21,22,20,23,24,29,13,19,28,12
628,39,40,38,37,36,47,31,46,30,48
640,1,9,17,25,33,41,49,57,2,10
641,54,53,55,56,52,62,46,61,45,63
650,3,4,11,2,5,10,12,6,13,18
656,29,30,28,31,32,21,37,27,20,36
664,11,12,3,19,10,13,18,2,4,20
675,5,6,4,7,8,13,3,12,14,15
684,30,29,31,32,28,38,22,21,37,39
691,50,42,58,51,49,43,59,41,57,34
695,3,4,11,2,5,10,12,6,13,18
709,53,54,52,55,56,61,45,51,60,44
716,5,6,4,7,8,13,3,12,14,15
722,3,4,11,2,5,10,12,6,13,18
733,63,64,62,61,60,55,54,56,53,52
748,52,53,51,54,60,44,55,59,43,61
769,39,40,38,37,36,47,31,46,30,48
772,1,9,17,25,33,41,49,57,2,10
779,51,52,59,43,50,53,58,42,60,44
829,33,41,25,49,17,57,9,1,34,42
832,3,4,11,2,5,10,12,6,13,18
842,53,54,52,55,56,61,45,51,60,44
