,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
11,41,49,33,57,25,17,9,1,42,50
17,3,4,11,2,5,10,12,6,13,18
19,17,9,25,1,33,41,49,57,18,10
22,17,9,25,1,33,41,49,57,18,10
27,21,22,20,23,24,29,13,19,28,12
29,11,12,3,19,10,13,18,2,4,20
46,35,36,43,27,34,37,26,42,44,28
52,43,44,35,51,42,45,50,34,36,52
59,29,30,28,31,32,21,37,27,20,36
60,17,9,25,1,33,41,49,57,18,10
65,52,53,51,54,60,44,55,59,43,61
71,30,29,31,32,28,38,22,21,37,39
93,21,22,20,23,24,29,13,19,28,12
96,7,8,6,5,4,15,14,16,13,12
100,17,9,25,1,33,41,49,57,18,10
116,59,60,51,58,61,50,52,62,53,42
134,36,37,35,38,44,28,39,43,27,45
135,22,21,23,24,20,30,14,29,13,31
148,21,22,20,23,24,29,13,19,28,12
151,63,64,62,61,60,55,54,56,53,52
176,35,36,43,27,34,37,26,42,44,28
177,30,29,31,32,28,38,22,21,37,39
191,30,29,31,32,28,38,22,21,37,39
193,39,40,38,37,36,47,31,46,30,48
195,60,61,59,62,52,63,51,53,54,64
221,7,8,6,5,4,15,14,16,13,12
223,17,9,25,1,33,41,49,57,18,10
231,35,36,43,27,34,37,26,42,44,28
234,52,53,51,54,60,44,55,59,43,61
238,30,29,31,32,28,38,22,21,37,39
264,35,36,43,27,34,37,26,42,44,28
272,6,5,7,8,4,14,13,15,16,12
278,28,29,27,30,20,36,31,19,35,21
287,36,37,35,38,44,28,39,43,27,45
292,41,49,33,57,25,17,9,1,42,50
317,7,8,6,5,4,15,14,16,13,12
330,30,29,31,32,28,38,22,21,37,39
335,59,60,51,58,61,50,52,62,53,42
343,28,29,27,30,20,36,31,19,35,21
348,28,29,27,30,20,36,31,19,35,21
349,35,36,43,27,34,37,26,42,44,28
380,29,30,28,31,32,21,37,27,20,36
399,1,9,17,25,33,41,49,57,2,10
408,49,41,57,33,25,17,9,1,50,42
434,52,53,51,54,60,44,55,59,43,61
468,3,4,11,2,5,10,12,6,13,18
473,21,22,20,23,24,29,13,19,28,12
491,21,22,20,23,24,29,13,19,28,12
499,30,29,31,32,28,38,22,21,37,39
525,36,37,35,38,44,28,39,43,27,45
530,40,39,38,37,48,32,47,31,46,30
532,3,4,11,2,5,10,12,6,13,18
535,31,32,30,29,28,39,23,22,38,24
539,21,22,20,23,24,29,13,19,28,12
550,31,32,30,29,28,39,23,22,38,24
564,7,8,6,5,4,15,14,16,13,12
575,17,9,25,1,33,41,49,57,18,10
588,43,44,35,51,42,45,50,34,36,52
591,64,63,62,61,56,55,54,60,53,52
635,41,49,33,57,25,17,9,1,42,50
636,63,64,62,61,60,55,54,56,53,52
645,7,8,6,5,4,15,14,16,13,12
671,6,5,7,8,4,14,13,15,16,12
672,28,29,27,30,20,36,31,19,35,21
685,52,53,51,54,60,44,55,59,43,61
696,52,53,51,54,60,44,55,59,43,61
708,7,8,6,5,4,15,14,16,13,12
720,35,36,43,27,34,37,26,42,44,28
721,19,20,27,11,18,21,26,10,28,12
737,3,4,11,2,5,10,12,6,13,18
738,21,22,20,23,24,29,13,19,28,12
747,64,63,62,61,56,55,54,60,53,52
768,40,39,38,37,48,32,47,31,46,30
777,8,7,6,5,16,15,14,4,13,12
785,28,29,27,30,20,36,31,19,35,21
803,4,5,3,6,12,7,11,13,14,8
804,21,22,20,23,24,29,13,19,28,12
806,64,63,62,61,56,55,54,60,53,52
807,21,22,20,23,24,29,13,19,28,12
808,21,22,20,23,24,29,13,19,28,12
817,52,53,51,54,60,44,55,59,43,61
826,21,22,20,23,24,29,13,19,28,12
836,5,6,4,7,8,13,3,12,14,15
840,21,22,20,23,24,29,13,19,28,12
844,4,5,3,6,12,7,11,13,14,8
847,30,29,31,32,28,38,22,21,37,39
