,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
10,11,12,3,19,10,13,18,2,4,20
30,38,37,39,40,36,30,46,29,45,31
37,3,4,11,2,5,10,12,6,13,18
40,53,54,52,55,56,61,45,51,60,44
41,39,40,38,37,36,47,31,46,30,48
47,59,60,51,58,61,50,52,62,53,42
50,7,8,6,5,4,15,14,16,13,12
79,5,6,4,7,8,13,3,12,14,15
97,3,4,11,2,5,10,12,6,13,18
123,52,53,51,54,60,44,55,59,43,61
137,49,41,57,33,25,17,9,1,50,42
156,3,4,11,2,5,10,12,6,13,18
160,60,61,59,62,52,63,51,53,54,64
167,1,9,17,25,33,41,49,57,2,10
173,33,41,25,49,17,57,9,1,34,42
183,5,6,4,7,8,13,3,12,14,15
184,53,54,52,55,56,61,45,51,60,44
199,39,40,38,37,36,47,31,46,30,48
202,51,52,59,43,50,53,58,42,60,44
203,39,40,38,37,36,47,31,46,30,48
210,36,37,35,38,44,28,39,43,27,45
225,35,36,43,27,34,37,26,42,44,28
229,1,9,17,25,33,41,49,57,2,10
230,11,12,3,19,10,13,18,2,4,20
233,5,6,4,7,8,13,3,12,14,15
248,47,48,46,45,44,39,55,54,38,56
262,59,60,51,58,61,50,52,62,53,42
263,33,41,25,49,17,57,9,1,34,42
271,54,53,55,56,52,62,46,61,45,63
289,11,12,3,19,10,13,18,2,4,20
308,47,48,46,45,44,39,55,54,38,56
320,36,37,35,38,44,28,39,43,27,45
321,33,41,25,49,17,57,9,1,34,42
326,3,4,11,2,5,10,12,6,13,18
334,7,8,6,5,4,15,14,16,13,12
347,49,41,57,33,25,17,9,1,50,42
361,55,56,54,53,52,47,63,46,62,48
388,3,4,11,2,5,10,12,6,13,18
406,60,61,59,62,52,63,51,53,54,64
410,49,41,57,33,25,17,9,1,50,42
417,37,38,36,39,40,45,29,35,44,28
422,52,53,51,54,60,44,55,59,43,61
444,21,22,20,23,24,29,13,19,28,12
445,36,37,35,38,44,28,39,43,27,45
446,7,8,6,5,4,15,14,16,13,12
458,51,52,59,43,50,53,58,42,60,44
460,51,52,59,43,50,53,58,42,60,44
469,30,29,31,32,28,38,22,21,37,39
498,3,4,11,2,5,10,12,6,13,18
501,3,4,11,2,5,10,12,6,13,18
508,53,54,52,55,56,61,45,51,60,44
515,11,12,3,19,10,13,18,2,4,20
520,3,4,11,2,5,10,12,6,13,18
522,49,41,57,33,25,17,9,1,50,42
538,7,8,6,5,4,15,14,16,13,12
540,59,60,51,58,61,50,52,62,53,42
555,63,64,62,61,60,55,54,56,53,52
556,60,61,59,62,52,63,51,53,54,64
576,3,4,11,2,5,10,12,6,13,18
605,39,40,38,37,36,47,31,46,30,48
616,7,8,6,5,4,15,14,16,13,12
619,60,61,59,62,52,63,51,53,54,64
622,33,41,25,49,17,57,9,1,34,42
626,7,8,6,5,4,15,14,16,13,12
639,5,6,4,7,8,13,3,12,14,15
657,49,41,57,33,25,17,9,1,50,42
658,51,52,59,43,50,53,58,42,60,44
662,29,30,28,31,32,21,37,27,20,36
666,30,29,31,32,28,38,22,21,37,39
686,47,48,46,45,44,39,55,54,38,56
699,35,36,43,27,34,37,26,42,44,28
706,55,56,54,53,52,47,63,46,62,48
711,7,8,6,5,4,15,14,16,13,12
717,60,61,59,62,52,63,51,53,54,64
762,36,37,35,38,44,28,39,43,27,45
773,59,60,51,58,61,50,52,62,53,42
775,30,29,31,32,28,38,22,21,37,39
776,29,30,28,31,32,21,37,27,20,36
786,3,4,11,2,5,10,12,6,13,18
787,1,9,17,25,33,41,49,57,2,10
792,53,54,52,55,56,61,45,51,60,44
794,29,30,28,31,32,21,37,27,20,36
810,37,38,36,39,40,45,29,35,44,28
816,51,52,59,43,50,53,58,42,60,44
825,39,40,38,37,36,47,31,46,30,48
830,5,6,4,7,8,13,3,12,14,15
