,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
3,35,36,43,27,34,37,26,42,44,28
4,40,39,38,37,48,32,47,31,46,30
16,36,37,35,38,44,28,39,43,27,45
23,36,37,35,38,44,28,39,43,27,45
34,1,9,17,25,33,41,49,57,2,10
38,21,22,20,23,24,29,13,19,28,12
44,30,29,31,32,28,38,22,21,37,39
56,49,41,57,33,25,17,9,1,50,42
64,3,4,11,2,5,10,12,6,13,18
82,21,22,20,23,24,29,13,19,28,12
108,41,49,33,57,25,17,9,1,42,50
111,35,36,43,27,34,37,26,42,44,28
114,27,28,19,35,26,29,18,34,20,36
126,29,30,28,31,32,21,37,27,20,36
131,49,41,57,33,25,17,9,1,50,42
138,17,9,25,1,33,41,49,57,18,10
163,29,30,28,31,32,21,37,27,20,36
164,7,8,6,5,4,15,14,16,13,12
165,44,45,43,46,36,52,47,35,51,37
174,4,5,3,6,12,7,11,13,14,8
201,17,9,25,1,33,41,49,57,18,10
204,21,22,20,23,24,29,13,19,28,12
205,3,4,11,2,5,10,12,6,13,18
213,17,9,25,1,33,41,49,57,18,10
222,59,60,51,58,61,50,52,62,53,42
232,44,45,43,46,36,52,47,35,51,37
252,5,6,4,7,8,13,3,12,14,15
265,37,38,36,39,40,45,29,35,44,28
275,49,41,57,33,25,17,9,1,50,42
282,27,28,19,35,26,29,18,34,20,36
286,19,20,27,11,18,21,26,10,28,12
288,36,37,35,38,44,28,39,43,27,45
293,29,30,28,31,32,21,37,27,20,36
294,52,53,51,54,60,44,55,59,43,61
297,21,22,20,23,24,29,13,19,28,12
329,30,29,31,32,28,38,22,21,37,39
341,8,7,6,5,16,15,14,4,13,12
342,34,26,42,35,33,43,27,41,25,50
345,41,49,33,57,25,17,9,1,42,50
356,7,8,6,5,4,15,14,16,13,12
373,3,4,11,2,5,10,12,6,13,18
384,28,29,27,30,20,36,31,19,35,21
389,40,39,38,37,48,32,47,31,46,30
398,28,29,27,30,20,36,31,19,35,21
418,41,49,33,57,25,17,9,1,42,50
420,21,22,20,23,24,29,13,19,28,12
426,29,30,28,31,32,21,37,27,20,36
432,36,37,35,38,44,28,39,43,27,45
433,43,44,35,51,42,45,50,34,36,52
441,52,53,51,54,60,44,55,59,43,61
449,35,36,43,27,34,37,26,42,44,28
451,17,9,25,1,33,41,49,57,18,10
463,25,33,17,9,41,49,1,57,26,34
464,35,36,43,27,34,37,26,42,44,28
482,59,60,51,58,61,50,52,62,53,42
505,28,29,27,30,20,36,31,19,35,21
519,62,61,63,64,60,54,53,55,56,52
529,61,62,60,63,64,53,59,52,54,55
547,7,8,6,5,4,15,14,16,13,12
548,52,53,51,54,60,44,55,59,43,61
569,41,49,33,57,25,17,9,1,42,50
579,28,29,27,30,20,36,31,19,35,21
592,30,29,31,32,28,38,22,21,37,39
603,52,53,51,54,60,44,55,59,43,61
632,60,61,59,62,52,63,51,53,54,64
638,22,21,23,24,20,30,14,29,13,31
653,41,49,33,57,25,17,9,1,42,50
659,43,44,35,51,42,45,50,34,36,52
661,21,22,20,23,24,29,13,19,28,12
669,22,21,23,24,20,30,14,29,13,31
702,28,29,27,30,20,36,31,19,35,21
703,7,8,6,5,4,15,14,16,13,12
719,30,29,31,32,28,38,22,21,37,39
727,28,29,27,30,20,36,31,19,35,21
732,21,22,20,23,24,29,13,19,28,12
746,17,9,25,1,33,41,49,57,18,10
750,19,20,27,11,18,21,26,10,28,12
751,3,4,11,2,5,10,12,6,13,18
764,5,6,4,7,8,13,3,12,14,15
765,49,41,57,33,25,17,9,1,50,42
784,41,49,33,57,25,17,9,1,42,50
820,22,21,23,24,20,30,14,29,13,31
822,52,53,51,54,60,44,55,59,43,61
827,29,30,28,31,32,21,37,27,20,36
848,40,39,38,37,48,32,47,31,46,30
850,29,30,28,31,32,21,37,27,20,36
