,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
14,39,40,38,37,36,47,31,46,30,48
15,53,54,52,55,56,61,45,51,60,44
21,33,41,25,49,17,57,9,1,34,42
39,53,54,52,55,56,61,45,51,60,44
42,1,9,17,25,33,41,49,57,2,10
57,5,6,4,7,8,13,3,12,14,15
62,1,9,17,25,33,41,49,57,2,10
66,60,61,59,62,52,63,51,53,54,64
68,30,29,31,32,28,38,22,21,37,39
99,30,29,31,32,28,38,22,21,37,39
109,4,5,3,6,12,7,11,13,14,8
129,5,6,4,7,8,13,3,12,14,15
140,53,54,52,55,56,61,45,51,60,44
142,33,41,25,49,17,57,9,1,34,42
147,60,61,59,62,52,63,51,53,54,64
171,29,30,28,31,32,21,37,27,20,36
175,53,54,52,55,56,61,45,51,60,44
188,60,61,59,62,52,63,51,53,54,64
189,53,54,52,55,56,61,45,51,60,44
192,3,4,11,2,5,10,12,6,13,18
228,1,9,17,25,33,41,49,57,2,10
237,3,4,11,2,5,10,12,6,13,18
243,5,6,4,7,8,13,3,12,14,15
249,60,61,59,62,52,63,51,53,54,64
250,39,40,38,37,36,47,31,46,30,48
253,36,37,35,38,44,28,39,43,27,45
256,53,54,52,55,56,61,45,51,60,44
281,33,41,25,49,17,57,9,1,34,42
300,60,61,59,62,52,63,51,53,54,64
307,21,22,20,23,24,29,13,19,28,12
311,1,9,17,25,33,41,49,57,2,10
312,7,8,6,5,4,15,14,16,13,12
324,11,12,3,19,10,13,18,2,4,20
332,5,6,4,7,8,13,3,12,14,15
353,3,4,11,2,5,10,12,6,13,18
355,49,41,57,33,25,17,9,1,50,42
364,49,41,57,33,25,17,9,1,50,42
379,39,40,38,37,36,47,31,46,30,48
387,49,41,57,33,25,17,9,1,50,42
428,30,29,31,32,28,38,22,21,37,39
431,30,29,31,32,28,38,22,21,37,39
436,60,61,59,62,52,63,51,53,54,64
439,11,12,3,19,10,13,18,2,4,20
448,30,29,31,32,28,38,22,21,37,39
457,36,37,35,38,44,28,39,43,27,45
487,20,21,19,22,28,12,23,27,11,29
492,35,36,43,27,34,37,26,42,44,28
502,1,9,17,25,33,41,49,57,2,10
503,50,42,58,51,49,43,59,41,57,34
512,1,9,17,25,33,41,49,57,2,10
517,60,61,59,62,52,63,51,53,54,64
542,5,6,4,7,8,13,3,12,14,15
557,59,60,51,58,61,50,52,62,53,42
567,1,9,17,25,33,41,49,57,2,10
568,5,6,4,7,8,13,3,12,14,15
581,47,48,46,45,44,39,55,54,38,56
585,29,30,28,31,32,21,37,27,20,36
589,53,54,52,55,56,61,45,51,60,44
597,5,6,4,7,8,13,3,12,14,15
606,51,52,59,43,50,53,58,42,60,44
609,50,42,58,51,49,43,59,41,57,34
611,4,5,3,6,12,7,11,13,14,8
634,3,4,11,2,5,10,12,6,13,18
655,63,64,62,61,60,55,54,56,53,52
670,33,41,25,49,17,57,9,1,34,42
674,7,8,6,5,4,15,14,16,13,12
676,21,22,20,23,24,29,13,19,28,12
678,39,40,38,37,36,47,31,46,30,48
688,33,41,25,49,17,57,9,1,34,42
714,59,60,51,58,61,50,52,62,53,42
725,3,4,11,2,5,10,12,6,13,18
728,7,8,6,5,4,15,14,16,13,12
729,11,12,3,19,10,13,18,2,4,20
731,3,4,11,2,5,10,12,6,13,18
763,33,41,25,49,17,57,9,1,34,42
774,53,54,52,55,56,61,45,51,60,44
778,21,22,20,23,24,29,13,19,28,12
783,11,12,3,19,10,13,18,2,4,20
796,52,53,51,54,60,44,55,59,43,61
800,60,61,59,62,52,63,51,53,54,64
802,7,8,6,5,4,15,14,16,13,12
815,7,8,6,5,4,15,14,16,13,12
819,7,8,6,5,4,15,14,16,13,12
821,6,5,7,8,4,14,13,15,16,12
833,3,4,11,2,5,10,12,6,13,18
