,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
6,40,39,38,37,48,32,47,31,46,30
13,5,6,4,7,8,13,3,12,14,15
18,28,29,27,30,20,36,31,19,35,21
61,63,64,62,61,60,55,54,56,53,52
70,42,50,34,43,41,51,35,49,33,58
80,7,8,6,5,4,15,14,16,13,12
81,55,56,54,53,52,47,63,46,62,48
144,37,38,36,39,40,45,29,35,44,28
154,34,26,42,35,33,43,27,41,25,50
169,17,9,25,1,33,41,49,57,18,10
178,52,53,51,54,60,44,55,59,43,61
185,28,29,27,30,20,36,31,19,35,21
186,35,36,43,27,34,37,26,42,44,28
190,22,21,23,24,20,30,14,29,13,31
196,7,8,6,5,4,15,14,16,13,12
207,4,5,3,6,12,7,11,13,14,8
212,30,29,31,32,28,38,22,21,37,39
220,49,41,57,33,25,17,9,1,50,42
240,28,29,27,30,20,36,31,19,35,21
241,8,7,6,5,16,15,14,4,13,12
244,34,26,42,35,33,43,27,41,25,50
266,19,20,27,11,18,21,26,10,28,12
273,36,37,35,38,44,28,39,43,27,45
274,29,30,28,31,32,21,37,27,20,36
285,27,28,19,35,26,29,18,34,20,36
299,36,37,35,38,44,28,39,43,27,45
303,33,41,25,49,17,57,9,1,34,42
304,59,60,51,58,61,50,52,62,53,42
309,7,8,6,5,4,15,14,16,13,12
314,4,5,3,6,12,7,11,13,14,8
316,8,7,6,5,16,15,14,4,13,12
323,28,29,27,30,20,36,31,19,35,21
339,17,9,25,1,33,41,49,57,18,10
351,17,9,25,1,33,41,49,57,18,10
357,36,37,35,38,44,28,39,43,27,45
359,41,49,33,57,25,17,9,1,42,50
362,30,29,31,32,28,38,22,21,37,39
365,28,29,27,30,20,36,31,19,35,21
370,36,37,35,38,44,28,39,43,27,45
382,52,53,51,54,60,44,55,59,43,61
393,28,29,27,30,20,36,31,19,35,21
404,43,44,35,51,42,45,50,34,36,52
455,19,20,27,11,18,21,26,10,28,12
466,61,62,60,63,64,53,59,52,54,55
472,30,29,31,32,28,38,22,21,37,39
479,17,9,25,1,33,41,49,57,18,10
485,63,64,62,61,60,55,54,56,53,52
500,36,37,35,38,44,28,39,43,27,45
511,8,7,6,5,16,15,14,4,13,12
516,49,41,57,33,25,17,9,1,50,42
521,21,22,20,23,24,29,13,19,28,12
523,52,53,51,54,60,44,55,59,43,61
527,36,37,35,38,44,28,39,43,27,45
536,52,53,51,54,60,44,55,59,43,61
537,21,22,20,23,24,29,13,19,28,12
558,33,41,25,49,17,57,9,1,34,42
566,21,22,20,23,24,29,13,19,28,12
583,21,22,20,23,24,29,13,19,28,12
596,52,53,51,54,60,44,55,59,43,61
608,28,29,27,30,20,36,31,19,35,21
613,41,49,33,57,25,17,9,1,42,50
631,5,6,4,7,8,13,3,12,14,15
647,7,8,6,5,4,15,14,16,13,12
654,3,4,11,2,5,10,12,6,13,18
682,36,37,35,38,44,28,39,43,27,45
687,4,5,3,6,12,7,11,13,14,8
690,7,8,6,5,4,15,14,16,13,12
705,52,53,51,54,60,44,55,59,43,61
718,37,38,36,39,40,45,29,35,44,28
735,19,20,27,11,18,21,26,10,28,12
740,7,8,6,5,4,15,14,16,13,12
745,21,22,20,23,24,29,13,19,28,12
752,4,5,3,6,12,7,11,13,14,8
753,36,37,35,38,44,28,39,43,27,45
755,31,32,30,29,28,39,23,22,38,24
757,43,44,35,51,42,45,50,34,36,52
758,35,36,43,27,34,37,26,42,44,28
759,52,53,51,54,60,44,55,59,43,61
782,63,64,62,61,60,55,54,56,53,52
788,21,22,20,23,24,29,13,19,28,12
798,64,63,62,61,56,55,54,60,53,52
805,39,40,38,37,36,47,31,46,30,48
812,63,64,62,61,60,55,54,56,53,52
828,27,28,19,35,26,29,18,34,20,36
841,8,7,6,5,16,15,14,4,13,12
