,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
5,33,41,25,49,17,57,9,1,34,42
7,21,22,20,23,24,29,13,19,28,12
20,3,4,11,2,5,10,12,6,13,18
35,30,29,31,32,28,38,22,21,37,39
36,21,22,20,23,24,29,13,19,28,12
49,52,53,51,54,60,44,55,59,43,61
53,30,29,31,32,28,38,22,21,37,39
63,55,56,54,53,52,47,63,46,62,48
72,50,42,58,51,49,43,59,41,57,34
89,38,37,39,40,36,30,46,29,45,31
102,47,48,46,45,44,39,55,54,38,56
115,3,4,11,2,5,10,12,6,13,18
120,29,30,28,31,32,21,37,27,20,36
121,7,8,6,5,4,15,14,16,13,12
125,53,54,52,55,56,61,45,51,60,44
128,3,4,11,2,5,10,12,6,13,18
130,62,61,63,64,60,54,53,55,56,52
139,7,8,6,5,4,15,14,16,13,12
145,49,41,57,33,25,17,9,1,50,42
146,1,9,17,25,33,41,49,57,2,10
158,55,56,54,53,52,47,63,46,62,48
159,3,4,11,2,5,10,12,6,13,18
172,60,61,59,62,52,63,51,53,54,64
194,1,9,17,25,33,41,49,57,2,10
226,3,4,11,2,5,10,12,6,13,18
227,39,40,38,37,36,47,31,46,30,48
242,53,54,52,55,56,61,45,51,60,44
258,5,6,4,7,8,13,3,12,14,15
277,53,54,52,55,56,61,45,51,60,44
291,60,61,59,62,52,63,51,53,54,64
301,3,4,11,2,5,10,12,6,13,18
319,53,54,52,55,56,61,45,51,60,44
333,11,12,3,19,10,13,18,2,4,20
337,51,52,59,43,50,53,58,42,60,44
344,7,8,6,5,4,15,14,16,13,12
360,11,12,3,19,10,13,18,2,4,20
366,49,41,57,33,25,17,9,1,50,42
368,60,61,59,62,52,63,51,53,54,64
371,53,54,52,55,56,61,45,51,60,44
372,60,61,59,62,52,63,51,53,54,64
376,3,4,11,2,5,10,12,6,13,18
383,53,54,52,55,56,61,45,51,60,44
394,1,9,17,25,33,41,49,57,2,10
395,1,9,17,25,33,41,49,57,2,10
400,59,60,51,58,61,50,52,62,53,42
409,7,8,6,5,4,15,14,16,13,12
414,39,40,38,37,36,47,31,46,30,48
435,50,42,58,51,49,43,59,41,57,34
438,11,12,3,19,10,13,18,2,4,20
452,3,4,11,2,5,10,12,6,13,18
456,39,40,38,37,36,47,31,46,30,48
459,49,41,57,33,25,17,9,1,50,42
471,5,6,4,7,8,13,3,12,14,15
484,55,56,54,53,52,47,63,46,62,48
495,49,41,57,33,25,17,9,1,50,42
497,59,60,51,58,61,50,52,62,53,42
504,60,61,59,62,52,63,51,53,54,64
506,60,61,59,62,52,63,51,53,54,64
510,7,8,6,5,4,15,14,16,13,12
549,5,6,4,7,8,13,3,12,14,15
594,1,9,17,25,33,41,49,57,2,10
610,7,8,6,5,4,15,14,16,13,12
618,5,6,4,7,8,13,3,12,14,15
627,20,21,19,22,28,12,23,27,11,29
633,7,8,6,5,4,15,14,16,13,12
649,53,54,52,55,56,61,45,51,60,44
667,6,5,7,8,4,14,13,15,16,12
679,3,4,11,2,5,10,12,6,13,18
681,3,4,11,2,5,10,12,6,13,18
683,11,12,3,19,10,13,18,2,4,20
689,7,8,6,5,4,15,14,16,13,12
700,39,40,38,37,36,47,31,46,30,48
715,1,9,17,25,33,41,49,57,2,10
724,35,36,43,27,34,37,26,42,44,28
742,3,4,11,2,5,10,12,6,13,18
744,53,54,52,55,56,61,45,51,60,44
749,4,5,3,6,12,7,11,13,14,8
781,54,53,55,56,52,62,46,61,45,63
793,51,52,59,43,50,53,58,42,60,44
814,3,4,11,2,5,10,12,6,13,18
818,6,5,7,8,4,14,13,15,16,12
823,33,41,25,49,17,57,9,1,34,42
831,11,12,3,19,10,13,18,2,4,20
843,47,48,46,45,44,39,55,54,38,56
849,53,54,52,55,56,61,45,51,60,44
