,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
1,39,40,38,37,36,47,31,46,30,48
9,21,22,20,23,24,29,13,19,28,12
24,34,26,42,35,33,43,27,41,25,50
25,60,61,59,62,52,63,51,53,54,64
28,5,6,4,7,8,13,3,12,14,15
55,60,61,59,62,52,63,51,53,54,64
58,3,4,11,2,5,10,12,6,13,18
69,39,40,38,37,36,47,31,46,30,48
83,60,61,59,62,52,63,51,53,54,64
87,60,61,59,62,52,63,51,53,54,64
92,5,6,4,7,8,13,3,12,14,15
94,39,40,38,37,36,47,31,46,30,48
104,11,12,3,19,10,13,18,2,4,20
106,4,5,3,6,12,7,11,13,14,8
110,3,4,11,2,5,10,12,6,13,18
113,33,41,25,49,17,57,9,1,34,42
149,36,37,35,38,44,28,39,43,27,45
152,20,21,19,22,28,12,23,27,11,29
157,47,48,46,45,44,39,55,54,38,56
161,1,9,17,25,33,41,49,57,2,10
187,4,5,3,6,12,7,11,13,14,8
217,36,37,35,38,44,28,39,43,27,45
255,35,36,43,27,34,37,26,42,44,28
261,7,8,6,5,4,15,14,16,13,12
269,53,54,52,55,56,61,45,51,60,44
283,29,30,28,31,32,21,37,27,20,36
298,4,5,3,6,12,7,11,13,14,8
305,11,12,3,19,10,13,18,2,4,20
306,1,9,17,25,33,41,49,57,2,10
336,53,54,52,55,56,61,45,51,60,44
340,62,61,63,64,60,54,53,55,56,52
352,7,8,6,5,4,15,14,16,13,12
358,1,9,17,25,33,41,49,57,2,10
375,3,4,11,2,5,10,12,6,13,18
390,39,40,38,37,36,47,31,46,30,48
396,1,9,17,25,33,41,49,57,2,10
397,49,41,57,33,25,17,9,1,50,42
401,35,36,43,27,34,37,26,42,44,28
419,59,60,51,58,61,50,52,62,53,42
424,53,54,52,55,56,61,45,51,60,44
429,53,54,52,55,56,61,45,51,60,44
450,30,29,31,32,28,38,22,21,37,39
454,55,56,54,53,52,47,63,46,62,48
467,11,12,3,19,10,13,18,2,4,20
474,50,42,58,51,49,43,59,41,57,34
478,53,54,52,55,56,61,45,51,60,44
483,60,61,59,62,52,63,51,53,54,64
488,33,41,25,49,17,57,9,1,34,42
493,7,8,6,5,4,15,14,16,13,12
528,59,60,51,58,61,50,52,62,53,42
534,7,8,6,5,4,15,14,16,13,12
552,4,5,3,6,12,7,11,13,14,8
560,54,53,55,56,52,62,46,61,45,63
562,5,6,4,7,8,13,3,12,14,15
563,35,36,43,27,34,37,26,42,44,28
586,60,61,59,62,52,63,51,53,54,64
598,60,61,59,62,52,63,51,53,54,64
599,55,56,54,53,52,47,63,46,62,48
600,1,9,17,25,33,41,49,57,2,10
604,11,12,3,19,10,13,18,2,4,20
607,4,5,3,6,12,7,11,13,14,8
621,3,4,11,2,5,10,12,6,13,18
663,39,40,38,37,36,47,31,46,30,48
665,39,40,38,37,36,47,31,46,30,48
673,7,8,6,5,4,15,14,16,13,12
680,5,6,4,7,8,13,3,12,14,15
694,3,4,11,2,5,10,12,6,13,18
707,11,12,3,19,10,13,18,2,4,20
712,7,8,6,5,4,15,14,16,13,12
723,29,30,28,31,32,21,37,27,20,36
754,21,22,20,23,24,29,13,19,28,12
760,63,64,62,61,60,55,54,56,53,52
766,60,61,59,62,52,63,51,53,54,64
795,21,22,20,23,24,29,13,19,28,12
797,4,5,3,6,12,7,11,13,14,8
799,33,41,25,49,17,57,9,1,34,42
801,4,5,3,6,12,7,11,13,14,8
809,35,36,43,27,34,37,26,42,44,28
813,60,61,59,62,52,63,51,53,54,64
834,11,12,3,19,10,13,18,2,4,20
837,29,30,28,31,32,21,37,27,20,36
845,3,4,11,2,5,10,12,6,13,18
846,30,29,31,32,28,38,22,21,37,39
851,29,30,28,31,32,21,37,27,20,36
