,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
11,33,41,25,49,17,57,9,1,34,42
17,3,4,11,2,5,10,12,6,13,18
19,1,9,17,25,33,41,49,57,2,10
22,1,9,17,25,33,41,49,57,2,10
27,49,41,57,33,25,17,9,1,50,42
29,11,12,3,19,10,13,18,2,4,20
46,60,61,59,62,52,63,51,53,54,64
52,59,60,51,58,61,50,52,62,53,42
59,36,37,35,38,44,28,39,43,27,45
60,1,9,17,25,33,41,49,57,2,10
65,49,41,57,33,25,17,9,1,50,42
71,3,4,11,2,5,10,12,6,13,18
93,53,54,52,55,56,61,45,51,60,44
96,5,6,4,7,8,13,3,12,14,15
100,54,53,55,56,52,62,46,61,45,63
116,53,54,52,55,56,61,45,51,60,44
134,49,41,57,33,25,17,9,1,50,42
135,33,41,25,49,17,57,9,1,34,42
148,33,41,25,49,17,57,9,1,34,42
151,55,56,54,53,52,47,63,46,62,48
176,3,4,11,2,5,10,12,6,13,18
177,1,9,17,25,33,41,49,57,2,10
191,30,29,31,32,28,38,22,21,37,39
193,55,56,54,53,52,47,63,46,62,48
195,60,61,59,62,52,63,51,53,54,64
221,7,8,6,5,4,15,14,16,13,12
223,1,9,17,25,33,41,49,57,2,10
231,53,54,52,55,56,61,45,51,60,44
234,53,54,52,55,56,61,45,51,60,44
238,21,22,20,23,24,29,13,19,28,12
264,60,61,59,62,52,63,51,53,54,64
272,3,4,11,2,5,10,12,6,13,18
278,51,52,59,43,50,53,58,42,60,44
287,60,61,59,62,52,63,51,53,54,64
292,53,54,52,55,56,61,45,51,60,44
317,3,4,11,2,5,10,12,6,13,18
330,50,42,58,51,49,43,59,41,57,34
335,60,61,59,62,52,63,51,53,54,64
343,11,12,3,19,10,13,18,2,4,20
348,3,4,11,2,5,10,12,6,13,18
349,51,52,59,43,50,53,58,42,60,44
380,29,30,28,31,32,21,37,27,20,36
399,1,9,17,25,33,41,49,57,2,10
408,62,61,63,64,60,54,53,55,56,52
434,53,54,52,55,56,61,45,51,60,44
468,3,4,11,2,5,10,12,6,13,18
473,59,60,51,58,61,50,52,62,53,42
491,21,22,20,23,24,29,13,19,28,12
499,60,61,59,62,52,63,51,53,54,64
525,36,37,35,38,44,28,39,43,27,45
530,47,48,46,45,44,39,55,54,38,56
532,5,6,4,7,8,13,3,12,14,15
535,39,40,38,37,36,47,31,46,30,48
539,21,22,20,23,24,29,13,19,28,12
550,33,41,25,49,17,57,9,1,34,42
564,5,6,4,7,8,13,3,12,14,15
575,29,30,28,31,32,21,37,27,20,36
588,34,26,42,35,33,43,27,41,25,50
591,63,64,62,61,60,55,54,56,53,52
635,33,41,25,49,17,57,9,1,34,42
636,55,56,54,53,52,47,63,46,62,48
645,7,8,6,5,4,15,14,16,13,12
671,7,8,6,5,4,15,14,16,13,12
672,3,4,11,2,5,10,12,6,13,18
685,59,60,51,58,61,50,52,62,53,42
696,55,56,54,53,52,47,63,46,62,48
708,39,40,38,37,36,47,31,46,30,48
720,53,54,52,55,56,61,45,51,60,44
721,1,9,17,25,33,41,49,57,2,10
737,3,4,11,2,5,10,12,6,13,18
738,3,4,11,2,5,10,12,6,13,18
747,63,64,62,61,60,55,54,56,53,52
768,39,40,38,37,36,47,31,46,30,48
777,7,8,6,5,4,15,14,16,13,12
785,4,5,3,6,12,7,11,13,14,8
803,4,5,3,6,12,7,11,13,14,8
804,5,6,4,7,8,13,3,12,14,15
806,63,64,62,61,60,55,54,56,53,52
807,3,4,11,2,5,10,12,6,13,18
808,5,6,4,7,8,13,3,12,14,15
817,60,61,59,62,52,63,51,53,54,64
826,3,4,11,2,5,10,12,6,13,18
836,7,8,6,5,4,15,14,16,13,12
840,5,6,4,7,8,13,3,12,14,15
844,4,5,3,6,12,7,11,13,14,8
847,3,4,11,2,5,10,12,6,13,18
