,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
,SOX3,TBX16,WNT8A,OTX1A,FGF8A,ID3,NDR2,OTX1B,BMP2B,VED
,LHX1A,FOXD3,SZL,FOXI1,HER1,NDR1,LFT2,GATA2A,SNAI1A,BAMBIA
2,19,20,27,11,18,21,26,10,28,12
8,1,9,17,25,33,41,49,57,2,10
31,41,49,33,57,25,17,9,1,42,50
32,29,30,28,31,32,21,37,27,20,36
43,30,29,31,32,28,38,22,21,37,39
48,28,29,27,30,20,36,31,19,35,21
74,22,21,23,24,20,30,14,29,13,31
76,17,9,25,1,33,41,49,57,18,10
78,7,8,6,5,4,15,14,16,13,12
88,49,41,57,33,25,17,9,1,50,42
98,30,29,31,32,28,38,22,21,37,39
112,27,28,19,35,26,29,18,34,20,36
117,59,60,51,58,61,50,52,62,53,42
118,45,46,44,47,48,37,53,43,36,52
124,34,26,42,35,33,43,27,41,25,50
127,21,22,20,23,24,29,13,19,28,12
150,36,37,35,38,44,28,39,43,27,45
153,59,60,51,58,61,50,52,62,53,42
181,8,7,6,5,16,15,14,4,13,12
198,30,29,31,32,28,38,22,21,37,39
208,21,22,20,23,24,29,13,19,28,12
215,51,52,59,43,50,53,58,42,60,44
218,28,29,27,30,20,36,31,19,35,21
224,42,50,34,43,41,51,35,49,33,58
276,22,21,23,24,20,30,14,29,13,31
280,52,53,51,54,60,44,55,59,43,61
290,21,22,20,23,24,29,13,19,28,12
296,51,52,59,43,50,53,58,42,60,44
313,4,5,3,6,12,7,11,13,14,8
327,29,30,28,31,32,21,37,27,20,36
328,33,41,25,49,17,57,9,1,34,42
354,28,29,27,30,20,36,31,19,35,21
369,5,6,4,7,8,13,3,12,14,15
374,41,49,33,57,25,17,9,1,42,50
378,42,50,34,43,41,51,35,49,33,58
381,59,60,51,58,61,50,52,62,53,42
386,54,53,55,56,52,62,46,61,45,63
416,61,62,60,63,64,53,59,52,54,55
423,22,21,23,24,20,30,14,29,13,31
425,61,62,60,63,64,53,59,52,54,55
437,36,37,35,38,44,28,39,43,27,45
440,17,9,25,1,33,41,49,57,18,10
442,17,9,25,1,33,41,49,57,18,10
443,28,29,27,30,20,36,31,19,35,21
453,34,26,42,35,33,43,27,41,25,50
470,7,8,6,5,4,15,14,16,13,12
494,27,28,19,35,26,29,18,34,20,36
507,53,54,52,55,56,61,45,51,60,44
509,35,36,43,27,34,37,26,42,44,28
514,22,21,23,24,20,30,14,29,13,31
524,52,53,51,54,60,44,55,59,43,61
526,42,50,34,43,41,51,35,49,33,58
544,5,6,4,7,8,13,3,12,14,15
559,52,53,51,54,60,44,55,59,43,61
565,41,49,33,57,25,17,9,1,42,50
570,21,22,20,23,24,29,13,19,28,12
571,7,8,6,5,4,15,14,16,13,12
573,30,29,31,32,28,38,22,21,37,39
574,30,29,31,32,28,38,22,21,37,39
577,17,9,25,1,33,41,49,57,18,10
578,36,37,35,38,44,28,39,43,27,45
582,22,21,23,24,20,30,14,29,13,31
595,40,39,38,37,48,32,47,31,46,30
620,11,12,3,19,10,13,18,2,4,20
624,35,36,43,27,34,37,26,42,44,28
625,49,41,57,33,25,17,9,1,50,42
629,21,22,20,23,24,29,13,19,28,12
637,21,22,20,23,24,29,13,19,28,12
643,22,21,23,24,20,30,14,29,13,31
644,40,39,38,37,48,32,47,31,46,30
651,63,64,62,61,60,55,54,56,53,52
652,21,22,20,23,24,29,13,19,28,12
660,20,21,19,22,28,12,23,27,11,29
668,8,7,6,5,16,15,14,4,13,12
713,35,36,43,27,34,37,26,42,44,28
743,37,38,36,39,40,45,29,35,44,28
767,43,44,35,51,42,45,50,34,36,52
771,41,49,33,57,25,17,9,1,42,50
780,36,37,35,38,44,28,39,43,27,45
789,22,21,23,24,20,30,14,29,13,31
790,7,8,6,5,4,15,14,16,13,12
791,62,61,63,64,60,54,53,55,56,52
811,35,36,43,27,34,37,26,42,44,28
824,52,53,51,54,60,44,55,59,43,61
838,30,29,31,32,28,38,22,21,37,39
