,"ADMP","AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","CST3","EVE1"
,"FGF8A","FOXB1A","FOXD3","FOXD5","FOXI1","GATA5","GSC","HER1","HES6","ISM1"
,"LHX1A","LFT1","LFT2","MIXL1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SEBOX"
,"SNAI1A","SOX3","SP5L","SZL","TA","TPH1B","VED","VENT","WNT8A","WNT11"
14,39,23,31,15,30,7,22,40,14,24
15,49,41,57,53,54,33,61,60,52,59
21,33,41,25,17,49,9,1,57,26,34
39,53,49,61,52,54,57,41,60,50,62
42,17,9,25,1,33,41,10,18,11,2
57,17,25,9,33,1,41,21,18,20,13
62,17,25,9,33,41,1,49,18,10,26
66,17,25,33,9,36,41,28,1,20,37
68,49,41,57,33,25,17,9,30,22,23
99,22,30,23,49,14,15,31,41,6,7
109,25,17,33,41,9,49,1,57,21,30
129,25,17,33,41,9,1,49,18,21,13
140,41,33,52,25,49,17,60,9,53,57
142,33,25,41,17,9,49,1,57,34,18
147,60,52,49,59,57,51,53,50,54,41
171,25,17,33,9,41,1,49,57,18,10
175,41,33,25,17,49,9,57,1,27,19
188,41,49,33,57,25,17,9,52,60,43
189,49,41,57,33,51,25,17,59,60,43
192,17,25,9,33,41,1,49,22,30,14
228,25,33,17,41,9,49,1,57,36,42
237,25,17,33,9,41,49,1,57,22,18
243,14,22,6,13,30,15,21,5,23,7
249,49,41,25,17,33,57,9,1,60,52
250,15,23,7,14,31,22,6,30,39,16
253,41,33,49,25,17,57,9,36,1,44
256,53,60,61,59,54,51,50,52,49,57
281,33,25,17,41,9,49,1,57,26,18
300,60,59,52,51,61,62,50,49,53,63
307,30,22,14,23,31,21,6,15,29,7
311,17,25,9,33,1,41,18,10,19,26
312,17,23,9,15,31,30,22,7,25,24
324,17,25,9,33,41,1,49,57,18,27
332,14,22,13,6,21,5,30,15,23,29
353,22,14,30,23,6,15,7,31,21,13
355,49,41,33,25,57,17,9,50,42,52
364,49,41,57,33,25,17,9,50,34,42
379,64,63,39,31,46,38,30,40,32,62
387,49,57,41,25,17,33,9,1,50,58
428,17,25,9,33,1,18,41,19,10,20
431,17,25,33,41,9,49,1,57,36,30
436,49,41,57,33,42,25,43,50,52,53
439,41,33,25,17,49,9,1,57,27,19
448,17,9,14,22,25,30,6,21,13,15
457,41,33,49,25,17,9,42,43,57,1
487,41,33,25,17,49,9,57,28,20,36
492,25,17,33,41,9,1,49,43,35,42
502,25,17,33,9,41,1,49,26,18,10
503,17,22,30,25,21,9,14,23,6,33
512,17,9,25,33,1,41,10,18,2,11
517,49,57,60,41,59,52,50,43,51,58
542,22,14,6,23,30,15,21,13,7,49
557,49,57,41,33,52,59,50,25,42,43
567,25,17,33,9,41,30,22,1,21,29
568,14,6,13,22,5,30,21,15,31,7
581,39,23,31,15,7,30,47,40,22,24
585,23,15,31,22,7,30,14,6,24,16
589,25,17,41,33,9,49,57,1,18,27
597,17,9,25,33,1,41,10,12,18,4
606,49,41,57,33,25,50,42,43,58,51
609,17,25,9,33,41,1,49,57,10,18
611,17,25,33,9,41,1,21,20,28,22
634,41,17,25,49,33,9,57,1,43,42
655,63,62,64,61,55,56,54,53,60,59
670,25,17,33,9,41,1,18,26,49,10
674,15,14,23,7,22,6,30,31,13,21
676,23,22,15,30,31,21,7,14,29,6
678,41,49,30,31,57,22,38,23,45,46
688,22,30,23,14,15,21,31,6,7,29
714,49,57,41,52,59,60,51,53,50,43
725,41,49,33,25,57,17,9,1,52,43
728,25,17,33,41,9,22,21,30,23,29
729,25,17,41,33,9,49,57,1,27,18
731,17,9,25,33,1,41,10,49,3,18
763,41,25,17,33,49,9,1,57,22,30
774,61,53,62,63,54,52,55,64,60,56
778,17,9,25,21,13,1,5,12,29,33
783,17,25,9,33,41,1,49,18,27,28
796,49,52,57,53,45,37,41,54,44,36
800,41,25,33,49,17,9,57,1,27,18
802,22,23,15,14,7,6,31,30,21,13
815,22,23,14,15,6,7,21,13,31,30
819,23,22,15,31,7,30,14,6,21,24
821,22,14,30,23,6,15,21,31,7,13
833,41,25,17,33,49,9,57,30,22,1
