,"AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","CST3","EVE1","FGF8A"
,"FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HES6","ID3","LHX1A"
,"LFT1","LFT2","MIXL1","NDR1","NDR2","NOG1","NOTO","OSR1","OTX1A","OTX1B"
,"SEBOX","SOX3","SP5L","SZL","TA","VED","VENT","VOX","WNT8A","WNT11"
11,41,33,25,49,17,9,57,1,26,42
17,25,17,33,41,9,1,49,21,57,28
19,17,25,33,9,41,1,49,57,18,10
22,25,17,33,9,41,49,1,57,20,18
27,21,41,22,30,33,29,25,17,49,14
29,17,9,25,1,33,41,10,11,18,2
46,41,33,49,25,57,17,9,42,35,1
52,41,49,33,25,57,17,9,50,42,59
59,17,25,9,33,41,49,1,57,28,18
60,25,17,33,9,41,49,1,57,18,26
65,49,41,57,33,25,59,52,17,51,9
71,41,49,33,25,57,17,42,9,21,43
93,41,33,36,49,21,43,42,35,37,52
96,23,22,15,7,31,14,30,21,6,24
100,41,33,49,25,17,57,9,1,42,34
116,49,41,57,33,42,25,59,43,50,51
134,41,49,33,57,25,17,9,1,42,34
135,22,30,21,14,6,29,23,13,31,15
148,41,33,25,49,17,21,30,22,57,29
151,55,56,63,54,64,62,53,47,48,39
176,33,41,25,17,49,9,57,1,34,27
177,41,49,33,57,21,25,30,29,17,28
191,41,33,25,17,49,21,9,22,30,29
193,30,29,22,23,31,15,21,47,63,7
195,33,25,41,17,9,49,1,57,42,35
221,22,23,15,30,14,7,31,21,6,29
223,17,25,9,33,41,1,49,18,26,10
231,41,33,25,49,17,9,57,1,28,27
234,49,41,57,52,33,53,25,60,54,59
238,21,41,29,30,17,13,9,49,33,14
264,41,33,49,25,57,17,42,9,34,35
272,33,41,25,17,49,9,1,57,42,34
278,25,17,33,41,9,49,1,57,35,34
287,41,33,25,17,36,49,9,37,35,21
292,33,25,41,17,9,49,1,57,18,26
317,23,15,7,31,22,30,24,16,14,32
330,17,25,33,41,9,49,36,28,1,20
335,53,52,59,54,60,51,49,61,57,50
343,59,41,52,17,25,49,50,33,43,42
348,33,25,17,41,9,49,1,28,57,20
349,41,49,33,25,17,57,9,1,28,42
380,25,17,33,9,41,1,49,28,20,18
399,17,9,25,33,1,41,49,12,28,10
408,25,17,33,9,41,49,1,57,18,26
434,41,49,33,57,25,52,17,53,59,9
468,17,9,25,33,1,41,12,10,3,11
473,41,33,49,25,17,57,9,1,28,59
491,22,30,21,23,14,15,6,7,31,17
499,41,33,49,25,57,42,17,35,43,50
525,49,57,50,41,52,44,51,42,58,43
530,48,40,47,39,56,55,24,32,64,16
532,17,9,25,33,1,41,49,13,12,5
535,31,23,15,7,39,22,32,24,16,14
539,49,21,41,57,29,17,25,33,28,20
550,23,31,22,15,7,30,21,14,24,32
564,22,23,15,14,7,21,6,30,31,13
575,17,25,9,33,41,1,49,57,10,18
588,49,41,42,50,57,63,64,58,33,43
591,23,24,15,31,16,32,7,8,30,22
635,41,33,49,25,17,57,9,1,42,34
636,63,37,54,55,53,38,45,62,56,50
645,23,15,7,31,22,24,16,14,30,32
671,14,22,6,15,23,7,30,21,13,31
672,17,25,9,33,41,1,49,21,28,12
685,41,33,25,17,49,9,57,1,52,59
696,53,54,52,49,41,57,61,55,51,33
708,23,31,30,15,22,7,21,24,29,16
720,41,49,33,57,25,17,42,43,9,35
721,17,25,9,33,41,1,49,18,57,26
737,17,25,33,9,41,49,1,57,18,19
738,21,22,30,29,14,41,13,6,23,33
747,63,64,56,62,55,61,54,53,60,58
768,23,30,22,31,15,7,21,24,39,40
777,23,15,7,31,22,24,16,32,8,30
785,17,25,33,9,41,49,1,12,28,57
803,33,25,41,17,49,9,57,1,12,28
804,22,14,21,23,30,6,15,7,13,31
806,29,21,30,41,22,33,28,63,23,64
807,21,25,17,22,33,13,41,5,14,29
808,25,33,17,41,22,21,49,14,9,30
817,59,52,60,53,51,54,45,43,61,42
826,41,33,25,17,49,9,57,1,21,26
836,17,9,25,13,14,22,21,5,33,6
840,49,57,22,41,21,14,13,6,5,23
844,9,17,25,1,33,41,12,4,10,11
847,30,22,21,29,23,25,17,31,15,14
