,"ADMP","AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","CST3","EVE1"
,"FGF8A","FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","ISM1","LHX1A"
,"LFT2","MIXL1","NDR1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SEBOX","SNAI1A"
,"SOX3","SP5L","SZL","TA","TBX16","TPH1B","VED","VOX","WNT8A","WNT11"
2,25,17,33,9,41,1,49,19,26,27
8,17,9,25,33,1,41,49,10,11,3
31,33,41,25,17,9,49,1,57,18,28
32,25,33,17,41,9,49,1,57,28,27
43,25,33,41,17,9,49,1,28,27,19
48,41,49,33,25,17,9,57,28,1,20
74,22,21,30,23,14,15,6,7,31,29
76,25,17,41,49,33,9,57,1,18,26
78,23,22,15,31,7,30,14,24,21,16
88,25,17,41,33,49,9,57,1,28,18
98,54,53,29,37,36,21,30,45,22,44
112,25,33,41,17,9,49,1,57,27,28
117,49,41,57,33,43,35,51,42,54,59
118,30,45,21,29,22,38,37,46,44,49
124,41,33,25,17,49,9,57,1,26,34
127,17,25,9,33,41,1,28,20,21,19
150,17,25,33,9,41,1,49,18,28,26
153,53,54,49,41,57,55,61,52,60,42
181,23,15,31,7,24,16,32,8,22,30
198,49,41,22,57,30,14,21,33,6,23
208,22,21,23,14,30,13,29,15,31,6
215,49,41,51,57,59,60,52,61,44,43
218,41,49,33,25,57,17,9,28,27,20
224,41,25,33,17,49,9,57,1,42,50
276,31,54,22,23,39,30,53,38,46,15
280,49,41,57,33,53,25,60,54,42,17
290,17,25,9,33,21,41,30,29,28,22
296,41,49,33,57,43,35,25,42,50,51
313,17,9,25,1,33,41,12,10,4,11
327,17,25,9,33,41,1,28,49,20,18
328,33,41,25,17,49,9,1,57,18,26
354,17,25,9,33,41,1,28,19,27,18
369,9,17,25,1,33,13,41,5,12,11
374,41,49,33,57,25,42,34,17,50,35
378,54,53,61,62,55,60,63,49,57,50
381,49,53,60,54,61,51,57,41,62,59
386,54,53,61,62,55,49,60,57,63,52
416,49,57,41,42,50,51,53,43,54,58
423,17,25,9,33,41,22,21,49,30,1
425,54,53,55,61,62,60,52,63,56,59
437,41,25,17,33,49,9,30,21,22,57
440,25,17,33,41,49,9,57,1,18,26
442,41,33,25,17,49,9,57,1,27,26
443,41,33,25,49,17,57,9,1,34,42
453,25,33,17,41,9,49,1,57,18,26
470,23,15,7,22,31,24,16,8,32,14
494,41,33,49,25,17,57,9,1,27,28
507,54,53,49,62,61,41,63,55,57,52
509,41,33,25,49,17,57,9,28,35,43
514,49,22,41,57,30,14,17,23,25,21
524,41,49,33,25,17,57,9,43,51,35
526,17,9,41,25,33,49,1,57,42,34
544,14,6,15,7,23,22,13,5,31,16
559,53,49,54,57,52,41,61,55,62,60
565,33,25,41,17,49,9,57,1,26,27
570,9,17,1,25,33,41,49,13,12,5
571,23,31,30,39,15,22,7,24,38,32
573,22,41,30,21,29,49,37,38,14,33
574,22,21,30,29,23,41,14,17,25,15
577,17,25,33,9,41,49,1,57,18,26
578,33,41,25,17,49,9,57,1,42,36
582,14,17,22,13,6,9,5,25,21,30
595,23,30,24,31,32,22,15,16,64,63
620,17,9,25,1,33,41,28,10,11,20
624,41,33,25,49,17,57,9,42,43,34
625,41,49,33,25,17,9,57,1,42,10
629,21,29,30,54,22,55,28,53,23,39
637,17,25,41,33,21,29,49,30,9,22
643,41,49,33,25,17,22,57,21,30,14
644,40,48,39,23,47,56,24,32,31,16
651,54,62,63,53,61,55,64,60,56,52
652,17,25,9,33,41,1,49,28,20,21
660,30,22,21,29,17,14,25,20,6,28
668,23,15,7,31,24,22,16,32,8,30
713,41,49,33,57,25,53,54,17,42,43
743,49,41,37,36,38,33,57,30,45,22
767,30,22,63,55,54,23,31,29,21,15
771,41,49,33,57,22,30,23,29,21,15
780,41,25,33,17,49,9,57,1,36,42
789,41,22,33,49,25,21,30,14,6,29
790,23,15,22,7,31,30,24,16,14,8
791,41,33,25,17,9,49,53,54,1,62
811,41,49,33,25,57,17,9,36,43,42
824,53,54,52,61,60,55,44,62,59,51
838,22,21,30,29,23,14,15,31,6,7
