,"ADMP","AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","CST3","EVE1"
,"FGF8A","FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HER1","HES6"
,"LHX1A","LFT1","LFT2","MIXL1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SEBOX"
,"SNAI1A","SOX3","SP5L","SZL","TA","VED","VENT","VOX","WNT8A","WNT11"
12,41,33,49,25,17,35,42,43,57,34
26,41,33,25,17,49,36,30,29,21,28
45,33,25,41,17,49,9,57,1,27,26
51,25,17,41,33,49,9,57,1,28,27
67,17,9,25,1,33,41,10,11,18,20
73,41,49,52,33,54,57,59,53,25,55
77,17,25,9,33,41,1,49,18,26,28
85,49,41,57,42,33,50,43,52,35,59
101,63,62,55,54,61,64,56,53,60,52
103,25,17,33,41,9,49,57,1,18,26
105,25,17,33,41,9,49,1,57,18,26
107,41,49,33,57,25,17,30,38,35,28
132,41,25,33,17,49,9,22,57,14,13
136,41,33,49,25,17,57,9,30,22,35
141,41,33,25,17,49,9,57,1,35,43
166,17,25,9,33,1,41,18,10,49,26
168,25,17,33,9,41,1,49,10,18,11
170,17,9,25,13,33,5,41,1,14,21
180,22,17,14,23,6,25,21,15,9,30
182,41,49,33,25,57,17,9,28,27,35
197,33,41,25,17,28,9,49,36,29,20
211,49,57,41,33,25,50,17,42,58,34
214,25,17,33,9,41,1,28,35,36,49
219,41,33,49,25,17,57,9,35,34,42
235,17,25,9,33,41,1,18,49,26,10
239,9,17,25,1,33,10,41,12,11,4
245,54,55,53,61,62,56,63,60,64,52
247,17,9,25,33,1,41,49,28,10,18
257,17,25,33,9,41,1,49,18,19,26
260,22,23,14,15,30,6,7,21,31,29
268,41,33,49,25,17,57,9,36,35,28
270,49,41,33,57,25,17,35,42,43,9
279,25,17,33,41,9,49,1,20,28,57
315,22,30,21,29,37,36,14,6,38,52
322,49,41,57,33,42,50,51,43,35,59
331,41,33,49,25,17,9,57,1,34,42
338,25,17,33,9,41,1,29,28,21,20
350,23,22,15,30,31,7,14,6,21,24
403,39,38,47,31,40,23,46,30,15,7
405,25,17,33,9,41,1,49,18,26,19
411,49,41,57,33,50,42,58,53,25,59
415,17,25,9,33,41,1,19,49,28,18
421,25,17,33,41,9,30,22,21,29,1
427,22,23,14,15,21,7,6,30,31,29
447,23,15,31,7,24,16,22,32,8,30
465,52,59,60,53,61,51,44,54,50,62
475,25,33,17,41,9,49,1,57,28,21
480,17,25,9,33,1,41,18,19,26,10
481,54,49,53,41,55,60,59,52,57,61
486,25,17,33,9,41,1,49,18,26,10
531,13,5,14,9,17,6,25,21,12,22
543,23,15,31,7,22,24,30,16,32,8
551,21,29,25,30,28,17,22,33,20,41
554,41,21,17,25,22,33,28,14,49,9
561,17,9,25,1,33,41,10,18,11,19
572,9,17,25,1,33,12,41,4,11,3
584,17,25,9,33,1,41,20,36,21,28
593,17,25,9,33,1,41,28,20,18,19
601,50,59,58,49,60,51,57,52,61,42
612,22,23,31,15,30,14,7,6,21,24
614,22,23,15,14,7,6,31,30,21,24
615,23,22,15,31,30,7,14,39,6,24
623,29,21,30,22,17,25,28,14,9,23
628,30,15,23,14,22,31,7,6,39,16
640,17,9,25,1,33,41,10,18,11,2
641,54,55,63,62,53,61,56,64,41,52
650,25,17,41,33,9,49,21,29,1,30
656,33,25,41,17,9,36,49,35,28,1
664,41,33,25,49,17,63,64,57,9,36
675,41,22,21,14,49,23,33,30,6,15
684,22,23,30,31,15,14,7,6,21,29
691,41,49,57,42,33,63,43,50,35,14
695,25,33,17,41,9,49,1,57,27,26
709,17,9,25,33,1,41,49,13,5,12
716,17,25,9,33,41,1,18,19,28,26
722,17,25,9,33,21,22,41,30,13,14
733,22,14,23,15,30,6,7,31,21,24
748,21,36,22,52,29,28,14,13,37,43
769,30,23,31,22,15,39,7,38,24,32
772,17,25,9,33,41,1,49,18,27,19
779,41,33,49,25,17,57,9,1,35,34
829,25,33,17,41,9,1,49,18,26,30
832,41,25,17,33,30,29,9,28,49,31
842,61,62,54,53,63,60,55,59,64,52
