,"ADMP","AXIN2","BMP4","BMP7A","CHD","CST3","EVE1","FOXB1A","FOXD3","FOXD5"
,"FOXI1","GSC","LHX1A","OSR1","OTX1A","SOX3","SP5L","SZL","TA","WNT11"
5,23,22,15,7,31,24,30,16,32,8
7,22,23,21,15,30,7,31,24,14,16
20,17,9,13,21,5,25,14,1,6,22
35,41,49,33,25,17,57,9,1,50,42
36,25,33,41,17,49,9,57,1,20,28
49,20,49,28,41,57,21,12,36,33,4
53,33,25,41,17,49,9,57,1,18,26
63,63,64,56,50,42,58,34,55,62,43
72,63,49,64,57,50,42,41,58,62,56
89,33,25,17,41,9,49,1,57,18,26
102,63,64,23,22,30,29,62,15,31,7
115,49,41,22,21,57,33,30,23,20,28
120,33,25,17,41,9,49,1,57,18,26
121,23,15,24,7,16,22,8,32,21,31
125,41,49,33,57,25,17,43,60,42,50
128,17,25,41,49,33,9,57,1,27,19
130,41,33,49,25,17,57,9,50,42,1
139,22,23,21,15,30,7,31,29,24,16
145,49,41,57,33,25,17,50,42,35,43
146,9,17,25,1,33,41,49,57,10,2
158,41,49,57,50,42,33,63,58,64,35
159,21,22,30,29,31,23,54,15,7,32
172,49,41,57,33,43,35,36,25,50,42
194,17,9,25,33,1,41,18,10,49,19
226,17,25,33,9,41,19,49,27,20,1
227,23,22,15,7,31,24,30,16,32,8
242,41,17,25,49,33,57,9,1,18,26
258,22,23,30,21,15,7,14,31,6,29
277,41,49,33,57,25,50,42,17,58,34
291,49,60,57,41,51,59,50,42,43,52
301,49,41,17,25,33,57,9,35,27,43
319,54,53,55,61,49,62,57,60,56,51
333,25,33,41,17,49,9,57,1,27,19
337,54,37,38,55,22,63,46,53,30,36
344,22,21,23,30,15,7,31,14,29,6
360,17,25,33,41,9,49,1,57,27,19
366,49,41,57,52,36,50,44,42,51,33
368,49,57,43,35,36,41,50,60,42,52
371,41,33,49,25,17,57,9,42,50,1
372,41,49,33,25,57,17,9,42,50,58
376,17,25,9,33,41,1,49,18,19,27
383,41,33,25,49,17,57,9,1,26,18
394,17,25,9,33,41,1,49,18,57,26
395,33,25,41,17,49,9,57,1,26,34
400,33,41,49,25,17,57,9,1,26,34
409,23,22,15,7,31,30,24,16,14,32
414,23,63,15,22,7,24,64,16,31,8
435,25,33,17,41,49,9,57,1,34,42
438,25,17,41,33,49,9,27,19,57,1
452,49,41,17,25,33,57,9,19,27,18
456,63,64,21,56,29,37,55,36,62,22
459,49,41,33,57,25,17,9,42,50,35
471,22,21,23,30,15,7,14,31,24,6
484,6,14,48,47,54,56,55,7,15,5
495,49,41,57,33,25,17,50,42,9,58
497,41,49,57,33,25,17,50,9,42,58
504,41,33,17,25,9,49,27,35,19,43
506,49,41,33,57,25,17,42,50,9,35
510,22,23,15,30,7,31,24,21,14,16
549,13,5,14,6,21,12,4,22,9,15
594,17,25,33,9,41,49,1,27,18,28
610,22,23,30,15,21,7,31,14,6,24
618,33,25,13,41,17,12,5,9,4,21
627,17,25,33,9,28,41,20,29,49,1
633,23,22,21,15,7,24,30,31,16,8
649,49,41,57,33,43,35,25,50,42,54
667,22,23,30,21,15,14,7,31,6,13
679,17,25,21,9,22,33,20,41,23,19
681,13,14,5,6,9,21,12,17,22,4
683,17,25,9,33,41,1,49,18,19,20
689,22,23,15,30,7,31,21,14,24,6
700,23,63,15,64,24,22,7,54,55,16
715,17,25,9,33,1,18,21,41,22,26
724,49,57,43,41,35,36,52,50,51,42
742,41,49,33,25,17,57,9,1,18,42
744,54,53,45,46,52,61,62,60,38,55
749,17,9,25,1,12,33,4,3,11,10
781,12,13,4,5,41,14,49,33,6,3
793,41,49,33,25,17,57,9,20,28,27
814,41,49,25,33,17,57,9,20,27,28
818,22,21,30,23,15,14,7,6,31,17
823,41,49,33,25,17,57,9,42,50,1
831,17,9,25,1,33,41,18,49,19,20
843,63,64,55,56,54,62,53,61,23,29
849,49,41,57,33,43,35,25,50,42,51
