,"ADMP","AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","EVE1","FGF8A"
,"FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HER1","HES6","ISM1"
,"LHX1A","LFT1","LFT2","NDR1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SEBOX"
,"SNAI1A","SOX3","SP5L","SZL","TBX16","TPH1B","VED","VENT","WNT8A","WNT11"
33,28,20,29,21,41,52,17,25,33,12
54,33,41,25,49,17,57,9,1,27,26
75,30,21,22,41,14,29,28,6,49,23
84,17,25,9,33,41,1,49,18,10,26
86,41,49,33,25,17,28,22,20,57,9
90,22,31,30,23,21,15,14,7,29,6
91,17,25,41,33,9,49,1,57,42,18
95,17,25,9,33,41,1,49,28,19,20
119,49,41,57,33,30,22,14,38,21,37
122,36,22,49,44,42,14,41,6,57,37
133,17,9,25,1,33,41,10,49,18,2
143,17,9,25,1,33,12,28,4,20,21
155,23,15,7,31,24,16,32,8,22,30
162,9,17,25,1,33,12,4,20,10,13
179,41,49,33,25,17,57,9,36,42,1
200,17,9,25,1,33,41,10,18,2,49
206,21,22,17,25,29,30,9,14,13,6
209,41,49,33,25,57,17,9,42,43,35
216,17,25,9,33,41,1,49,28,36,18
236,17,9,25,33,41,1,49,57,10,18
246,17,25,9,33,1,41,18,10,49,26
251,22,21,30,14,23,6,15,13,7,31
254,17,25,9,33,41,1,49,18,10,26
259,17,25,9,33,1,41,19,18,20,11
267,17,25,9,33,1,41,49,28,19,20
284,17,25,9,33,41,49,1,57,43,19
295,33,25,17,9,41,1,28,49,29,20
302,52,59,51,60,50,44,45,58,43,42
310,49,41,33,57,25,17,9,1,42,30
318,49,57,41,33,17,25,9,36,43,44
325,22,14,21,30,6,23,15,13,29,7
346,41,33,25,42,49,17,50,9,34,43
363,51,60,59,52,49,41,35,57,33,43
367,22,52,14,30,6,53,44,21,45,60
377,23,30,22,31,15,7,14,21,24,16
385,23,15,22,7,31,14,30,6,21,24
391,49,57,52,59,41,51,60,43,44,35
392,17,25,9,41,49,33,1,57,18,10
402,17,25,9,41,33,21,28,12,22,4
407,63,62,64,55,56,54,61,53,50,58
412,30,45,44,22,29,38,21,46,37,28
413,49,41,57,33,25,17,50,42,9,34
430,9,17,14,13,41,6,49,5,1,25
461,17,9,25,1,33,41,49,18,19,10
462,49,41,57,17,25,9,33,22,14,43
476,17,25,9,33,1,41,49,18,57,10
477,41,49,33,25,17,57,9,1,43,35
489,17,25,33,41,9,49,1,28,19,27
490,41,33,49,25,17,57,9,43,1,35
496,49,17,9,25,57,41,22,33,1,21
513,41,49,33,57,25,17,9,50,43,42
518,17,9,25,1,33,41,49,3,11,10
533,41,49,33,25,17,57,13,14,9,5
541,17,25,9,33,41,1,19,3,18,11
545,49,57,41,33,25,17,50,61,60,42
546,22,21,14,6,30,29,13,5,23,15
553,49,41,57,33,25,17,9,36,37,44
580,63,55,56,64,62,54,61,53,50,58
587,52,44,49,36,60,51,53,57,43,59
590,41,49,33,57,25,17,9,43,42,35
602,25,33,17,41,9,49,1,57,26,18
617,49,41,25,17,33,57,9,1,42,18
630,17,9,25,33,1,41,3,12,11,4
642,53,54,61,60,52,62,55,63,59,51
646,49,41,33,25,57,17,9,42,43,44
648,17,25,9,30,22,21,33,20,12,28
677,17,25,9,33,41,1,28,21,20,19
692,63,64,62,55,56,61,54,53,50,58
693,52,60,44,53,59,51,45,61,49,43
697,63,55,56,64,54,62,61,53,50,58
698,55,54,63,62,56,53,61,64,52,60
701,49,57,30,41,14,9,6,22,17,29
704,49,53,62,61,54,57,52,63,41,55
710,63,62,61,64,54,55,53,56,60,50
726,41,49,25,33,17,57,9,1,27,26
730,17,25,9,41,33,49,1,57,18,10
734,52,44,43,36,45,37,42,51,50,35
736,23,15,7,22,31,14,24,6,16,32
739,49,41,33,25,57,17,9,43,42,50
741,22,23,14,15,6,7,30,31,21,13
756,33,41,25,17,49,9,57,42,1,34
761,60,61,53,54,62,63,52,59,55,51
770,23,15,24,16,7,32,8,31,22,40
835,25,17,33,9,41,49,1,57,26,18
839,33,25,41,17,49,9,57,1,26,27
