,Ama,Antp,bun,dan,disco,Doc3,fkh,ftz,Ilp4,ImpE2
,ImpL2,oc,trn,twi,D,knrl,h,Cyp310a1,Ance,tsh
,brk,sna,rho,ken,noc,srp,zfh1,cnc,run,Kr
,Dfd,CG8147,Mes2,peb,Blimp-1,odd,E(spl)m5-HLH,edl,nub,CG43394
,CG14427,hkb,toc,Traf4,prd,gt,aay,apt,eve,CG10479
,fj,Doc2,pxb,tkv,rau,htl,lok,croc,Btk29A,danr
15,187,226,225,222,189,224,227,264,266,300
33,2193,2269,291,1245,2229,3009,1928,2227,2232,2308
54,578,229,231,496,153,230,306,346,197,533
59,1644,1916,1646,1648,1649,1987,1527,1873,1645,1607
65,465,436,467,469,319,463,357,430,431,433
82,1155,1156,1009,1153,733,1115,1150,1160,731,1083
98,2939,2636,2597,2637,2638,2639,2678,2557,2594,2677
103,1292,1253,988,1329,1330,1291,1368,1250,1099,3038
127,874,1252,2989,3030,988,873,912,1214,1253,950
133,1353,1050,1315,1352,1013,1049,1051,1082,1164,1313
149,1738,1433,749,1052,2941,675,781,1091,1131,1434
156,988,1634,1292,1748,1785,1786,1558,1668,1671,1672
181,37,38,34,73,74,75,107,114,2937,22
210,2920,2864,2865,2908,2911,2913,2826,2854,2855,2889
214,263,304,303,225,265,379,301,340,227,264
218,1252,1251,1214,1253,3014,1213,2943,2989,1215,1288
219,1053,1092,1055,1054,1093,1015,1052,1321,1282,1245
225,1840,2102,2182,1838,2144,2061,2104,2030,2183,2064
227,896,900,966,927,929,930,970,1205,897,898
236,801,803,839,837,875,876,838,840,763,800
254,1010,973,1244,1277,1278,974,975,1005,1006,1280
257,2567,2606,2485,2523,2524,2607,2648,2561,2525,2560
260,1401,1742,1439,844,1076,1114,1613,1363,1364,1667
267,569,603,682,3016,565,607,567,604,608,643
269,2646,2647,2644,2648,2684,2685,2722,2566,2687,2645
271,2767,2728,2730,2769,2804,2768,2690,2729,2802,2806
276,2131,1903,2130,2168,1978,2960,1902,1940,1941,1943
277,2802,2882,2718,2763,2673,2717,2837,2637,2772,2939
278,366,675,676,363,364,400,404,677,752,362
295,731,2030,2368,1819,728,2965,695,847,2066,2292
314,1134,1136,1063,1096,1102,1442,1098,1480,1026,1133
322,193,117,153,191,155,192,195,232,156,158
325,1230,1229,1190,1226,1153,1155,1149,1188,1189,1194
333,1013,1082,1120,1122,1050,1343,1083,1086,1124,1045
334,713,2423,2385,1776,714,1739,2156,2307,2383,715
339,603,642,646,684,682,3016,607,567,604,608
354,1048,936,937,742,669,671,744,777,1049,935
369,1140,1178,1102,2543,2544,2584,1861,2618,1026,2545
378,162,437,134,158,424,475,153,157,164,206
412,529,570,531,568,490,491,492,493,494,530
420,1112,1114,1113,1073,1080,2625,1075,1110,1111,1116
424,2733,2734,2770,2768,760,1558,414,1519,2695,2730
456,606,798,529,567,570,608,644,494,566,569
473,1153,1196,1115,1150,1151,1160,1155,1079,1385,1113
502,37,38,34,74,75,107,114,2937,32,71
510,2173,1153,1155,1462,773,1423,1643,1692,1693,1694
538,878,875,647,913,914,837,876,838,840,915
544,1114,1179,1181,1080,1141,1112,1119,1152,1157,875
553,752,790,751,789,791,828,3029,754,827,715
556,1093,3025,1056,1094,979,1017,1739,791,981,1778
569,1181,1141,1065,1142,1408,1143,1179,1180,1027,1104
577,891,926,887,1771,1695,1697,892,928,858,894
578,1140,1178,1099,1482,1520,1558,797,1175,1212,1519
581,1279,1316,972,973,1012,1314,1317,1354,1582,1277
594,790,751,789,791,752,754,715,753,756,677
597,2498,2574,2538,2500,2535,2536,790,2496,2532,2534
601,684,682,2996,988,683,950,643,719,1629,1634
637,1367,1140,494,341,414,988,1025,1062,950,1063
641,1024,1064,1026,722,758,986,987,2732,1063,1102
659,84,126,162,46,89,55,49,53,58,91
660,675,712,663,711,2193,2343,1130,2419,2972,665
662,1048,1013,1049,1009,1011,1279,1316,1312,1055,1045
676,1252,3030,1251,1824,1823,2989,1822,988,1557,1596
681,1175,1212,1026,1216,3014,1176,1441,1099,1177,1327
685,2641,2678,2680,2681,2645,2682,2723,2759,2601,2602
690,1823,1558,1861,1862,2201,874,1824,1858,1899,2240
722,1358,1433,675,749,1052,1625,1662,1434,1663,1700
732,2315,1935,1937,1972,1976,2316,2317,2354,1594,1936
733,1032,1033,1031,997,1036,1490,1030,1068,1149,1189
736,2841,2832,2887,2794,2839,2874,2875,2837,2838,2840
740,2648,2609,2607,2565,2605,2684,2091,2567,2606,2608
741,19,94,163,3012,46,98,51,61,62,95
766,1230,1190,1192,1229,1150,1149,1188,1189,1194,1187
774,650,609,192,572,577,610,588,615,652,153
780,1213,1252,1214,1482,1251,1139,1178,3014,1215,1557
788,1026,1100,1099,3038,1063,1097,1102,1330,1405,1406
807,896,1125,1205,934,1012,1202,1203,1204,1238,1128
808,2728,2769,2690,2729,2806,2689,2767,2730,2731,2765
814,2057,2018,2021,2206,2019,2020,2022,1946,1981,1984
818,749,747,748,288,711,750,287,783,2941,327
830,951,1027,1255,1219,1217,1257,1522,1256,952,1179
835,1218,1180,1181,1447,1370,1559,1219,1369,1445,1635
853,2670,2781,2625,2665,2666,2667,2668,2669,2623,2663
854,733,556,589,517,624,553,554,592,656,847
860,2970,1596,869,1594,832,1593,908,1248,1286,2944
864,1292,988,1329,1330,1291,1367,1140,1368,1099,1253
868,1071,1075,1108,2936,1106,1146,1078,1349,1104,1145
879,445,520,446,483,407,484,558,481,482,556
885,1140,1175,1212,1250,1139,1178,3014,1213,1252,1099
889,588,517,656,657,661,662,2961,481,555,556
924,2919,2845,2881,2917,2885,2968,2847,2849,2883,2884
939,1706,1669,1710,2996,1668,1671,1672,2956,1631,1634
943,1330,1292,1368,3038,988,1329,1405,1406,1444,1291
944,2333,2372,2257,2295,2972,2291,2292,2294,2334,960
945,1608,1190,1606,1609,1077,1192,1150,1075,1119,1149
956,1011,1356,1014,1050,1390,1392,1357,1352,1317,1354
1009,997,1685,959,995,1771,1534,1765,2149,2150,2219
1015,1668,1671,1783,1670,1706,2011,2048,2052,1708,2089
1017,3029,1622,1849,1245,2307,827,2193,1586,1928,941
1028,1128,1127,1129,1013,1049,1051,1391,935,2967,1015
1030,303,264,266,302,304,262,263,301,225,265
1032,340,263,303,342,2935,378,265,380,336,339
1033,529,341,490,491,492,493,494,530,379,454
1036,341,414,494,379,415,416,454,340,417,451
1039,2166,2950,2127,2161,2165,2164,2930,2725,2768,2125
1041,2543,2544,2584,2579,2618,2540,2541,1026,2580,2459
1045,1055,1245,1093,1091,1092,1700,1130,1054,1701,1738
1050,1057,790,1019,1436,676,716,753,1095,3025,714
1087,1683,1155,1735,1695,1697,1733,1734,1772,2952,1691
1097,1150,1228,1230,1190,1193,1226,1229,958,1266,1153
1099,34,74,30,37,32,38,35,68,107,114
1104,1153,1115,1150,1185,1190,1196,1155,1151,1232,1075
1109,1112,1113,1077,1114,1151,1071,1075,1110,1111,1116
1114,647,609,3026,648,649,686,688,3023,651,952
1120,950,2691,2730,682,2540,2938,2731,2690,2729,2692
1121,1054,1093,2081,1053,1017,2382,749,790,1130,2421
1125,227,300,304,225,265,187,226,262,263,379
1134,764,728,762,761,763,765,799,723,725,724
1163,1250,1254,2943,1175,1212,1253,1289,1328,1478,1176
1169,1367,1026,1023,1292,1402,985,1022,1060,1099,1363
1178,797,835,798,836,757,832,1174,834,794,1140
1187,2809,2812,2847,2772,2846,2850,2848,2770,2844,2318
1189,874,873,912,988,910,1253,950,567,608,644
1190,341,379,2619,1102,380,2620,1026,836,874,2659
1201,2512,2511,2513,2433,2471,2588,2472,2510,2395,2439
1205,789,751,3029,792,752,790,406,824,2941,783
1219,2619,1820,2620,1895,1249,1288,1858,2659,2660,1819
1241,2644,2645,2682,2643,2647,2680,2681,2565,2605,2684
1251,1098,1367,1025,1062,1063,1102,796,1099,760,1064
1270,2560,2684,2686,2724,2647,2645,2682,2687,2726,2601
