,MIXL1,SOX3,CHD,VED,BAMBIA,NOTO,GATA5,EVE1,APLNRB,WNT8A
,GSC,ADMP,CST3,OTX1A,OSR1,GATA2A,WNT11,FOXI1,SP5L,LFT2
,HES6,FOXD5,OTX1B,SNAI1A,TA,LFT1,FOXB1A,ID3,ISM1,NOG1
,FOXD3,CDX4,NDR1,SEBOX,VENT,NDR2,FGF8A,BMP7A,VOX,LHX1A
2,11,19,25,26,27,3,4,12,33,1
8,1,2,9,10,17,18,3,4,12,11
31,28,33,34,35,1,2,9,10,17,18
32,28,1,2,9,10,17,18,20,36,25
43,28,33,34,35,36,1,2,9,10,17
48,42,43,36,34,35,44,41,45,37,28
74,5,13,6,14,22,36,21,7,15,23
76,49,57,50,58,36,44,60,51,42,59
78,7,15,23,31,8,16,24,32,48,47
88,49,57,50,58,51,42,59,43,52,34
98,52,60,63,20,35,36,59,54,64,11
112,34,35,50,58,42,33,43,41,36,25
117,51,59,49,57,50,58,60,43,52,35
118,36,21,44,28,29,3,4,12,1,2
124,49,57,50,58,41,51,42,59,33,43
127,41,28,33,1,2,9,10,17,18,20
150,36,44,42,43,52,28,50,58,1,2
153,59,50,58,51,61,49,57,53,52,60
181,8,16,24,32,7,15,23,40,31,48
198,36,34,35,21,30,42,6,14,22,41
208,5,13,21,29,7,15,23,6,14,22
215,61,60,53,51,59,45,62,52,54,46
218,51,49,57,59,50,58,43,35,41,27
224,33,1,2,9,10,17,18,20,34,35
276,31,6,14,22,54,53,7,15,23,30
280,49,57,60,59,50,58,52,61,51,53
290,3,4,12,41,28,33,21,1,2,9
296,49,57,50,58,60,41,51,59,42,28
313,1,2,9,10,17,18,25,26,11,19
327,28,1,2,9,10,17,18,20,36,11
328,33,1,2,9,10,17,18,20,11,19
354,28,33,41,1,2,9,10,17,18,20
369,33,28,5,13,34,35,36,1,2,9
374,49,57,34,35,51,50,58,42,59,43
378,50,58,59,60,52,49,57,51,42,61
381,51,59,52,60,50,58,44,49,57,43
386,62,54,61,59,55,51,50,58,63,53
416,60,49,57,51,59,50,58,61,52,53
423,21,29,5,13,37,36,28,3,4,12
425,62,61,54,53,55,59,60,63,52,64
437,28,1,2,9,10,17,18,20,36,11
440,33,52,49,57,1,2,9,10,17,18
442,41,42,59,52,28,33,43,1,2,9
443,33,28,34,35,36,1,2,9,10,17
453,33,34,1,2,9,10,17,18,11,19
470,7,15,23,8,16,24,31,32,40,39
494,51,59,61,53,49,57,62,54,50,58
507,59,52,50,58,51,60,61,49,57,53
509,41,42,28,33,43,1,2,9,10,17
514,45,37,5,13,6,14,22,21,7,15
524,52,28,20,35,36,51,11,19,27,44
526,34,35,36,42,37,29,41,28,33,43
544,7,15,23,8,16,24,31,32,6,14
559,59,51,49,57,60,52,50,58,61,53
565,41,49,57,42,59,50,58,33,43,52
570,28,1,2,9,10,17,18,20,41,11
571,7,15,23,8,16,24,31,32,39,40
573,21,5,13,37,45,29,53,52,41,54
574,28,33,1,2,9,10,17,18,20,34
577,1,2,9,10,17,18,20,11,19,25
578,34,35,36,42,28,33,43,41,1,2
582,6,14,22,5,13,21,30,29,37,28
595,8,16,24,32,40,48,7,15,23,47
620,28,33,52,34,35,36,1,2,9,10
624,50,58,51,42,59,43,52,49,57,34
625,49,57,34,35,50,58,42,59,43,52
629,21,29,7,15,23,5,13,31,8,16
637,43,35,36,49,57,51,44,59,42,3
643,3,4,12,11,19,1,2,9,10,17
644,8,16,24,32,40,48,7,15,23,47
651,63,64,62,56,54,55,61,46,38,53
652,36,21,28,29,3,4,12,5,13,37
660,3,4,12,5,13,20,36,21,11,19
668,8,16,24,32,7,15,23,31,40,48
713,49,57,50,58,41,61,51,53,59,42
743,37,50,58,36,34,35,21,42,45,5
767,7,15,23,8,16,24,31,32,39,40
771,49,57,51,59,50,58,43,35,41,47
780,28,1,2,9,10,17,18,20,36,11
789,5,13,21,27,6,14,22,28,3,4
790,7,15,23,8,16,24,31,32,39,40
791,60,59,52,61,51,53,49,57,62,54
811,49,57,50,58,25,26,27,41,51,42
824,52,60,59,51,61,44,53,62,50,58
838,21,30,7,15,23,6,14,22,29,8
