,SOX3,MIXL1,CHD,VED,BAMBIA,NOTO,GATA5,GATA2A,OSR1,CST3
,EVE1,WNT8A,WNT11,FOXD5,SNAI1A,OTX1A,ADMP,BMP7A,TA,FOXI1
10,46,47,48,54,41,63,61,64,55,56
30,33,41,34,25,26,17,35,9,1,27
37,35,34,33,27,18,10,1,9,2,28
40,57,49,60,58,50,59,51,42,34,35
41,28,17,9,1,20,18,27,10,2,21
47,35,34,49,57,3,33,52,4,12,36
50,48,47,40,39,56,55,32,31,64,63
79,3,33,41,4,12,34,17,9,1,25
97,33,17,9,1,18,10,2,25,3,19
123,60,35,59,36,52,51,58,34,50,57
137,61,62,53,54,63,64,55,56,58,51
156,57,58,49,50,51,59,41,42,43,60
160,60,61,59,53,62,52,54,63,64,55
167,44,45,21,36,5,3,13,4,12,37
173,31,32,24,23,16,15,39,40,8,7
183,21,22,30,29,14,6,13,5,24,23
184,33,17,25,9,1,26,18,27,2,34
199,63,64,62,55,56,61,54,47,48,53
202,57,49,50,58,51,59,42,43,60,44
203,31,32,24,23,16,15,39,40,8,7
210,34,35,58,50,51,59,33,57,49,60
225,59,52,51,58,50,43,41,53,42,60
229,27,17,9,1,18,10,2,28,25,26
230,17,9,1,18,2,10,25,19,11,26
233,21,40,32,29,39,31,37,24,23,30
248,29,19,11,10,2,18,21,1,9,17
262,33,41,49,57,25,26,27,34,50,58
263,37,36,35,34,29,39,40,30,21,38
271,41,49,57,50,58,59,51,33,42,60
289,25,26,27,17,9,1,18,10,2,33
308,63,64,62,55,56,54,53,61,49,57
320,36,35,44,58,50,34,51,42,57,43
321,33,34,18,10,2,1,9,17,19,11
326,28,36,29,44,37,21,45,20,27,52
334,32,31,40,39,24,23,16,15,8,7
347,57,49,50,58,51,42,59,43,60,34
361,48,56,47,55,64,63,62,40,39,32
388,36,37,34,12,4,3,18,10,19,11
406,49,50,58,57,35,34,42,51,59,60
410,35,34,36,49,57,42,43,52,44,9
417,57,49,58,50,51,59,42,43,61,44
422,53,36,35,37,51,52,61,43,60,59
444,31,32,24,23,39,40,16,15,8,7
445,17,34,25,9,1,26,33,18,10,2
446,32,31,39,40,24,23,16,15,8,7
458,49,57,34,35,25,33,17,9,1,26
460,51,58,50,57,49,59,43,42,60,35
469,27,1,9,18,10,17,2,26,25,19
498,51,58,50,59,57,49,60,27,41,26
501,17,25,9,1,26,34,18,33,10,2
508,41,49,57,33,25,26,34,50,27,58
515,41,17,9,1,27,18,10,2,25,28
520,18,10,2,27,1,9,19,17,11,26
522,36,37,38,35,44,34,30,22,14,6
538,31,32,24,23,16,15,8,7,39,40
540,50,58,51,57,59,49,43,42,35,60
555,61,51,59,56,55,64,63,62,58,50
556,60,59,52,62,61,53,56,55,64,51
576,49,57,50,58,51,42,41,43,59,44
605,31,32,24,23,16,15,39,40,8,48
616,32,31,24,23,16,15,8,40,39,7
619,60,62,53,61,59,54,52,56,55,45
622,64,63,56,47,48,55,40,39,32,31
626,21,31,32,24,23,16,15,8,7,39
639,19,11,10,2,18,1,9,17,26,25
657,36,28,37,20,21,29,12,22,14,30
658,50,58,51,59,42,43,57,49,60,52
662,41,43,42,33,35,34,50,58,51,57
666,28,17,9,1,27,18,10,2,25,26
686,48,47,31,32,23,24,16,15,8,39
699,32,31,40,39,24,23,16,15,8,7
706,61,62,64,63,56,55,53,54,60,59
711,32,40,39,31,24,23,16,15,8,7
717,33,34,25,41,57,26,49,50,58,42
762,51,60,58,50,59,43,44,57,42,49
773,62,54,53,61,63,59,64,55,56,58
775,30,22,32,31,24,23,14,16,15,40
776,41,42,43,49,57,33,53,50,58,51
786,6,14,22,30,7,8,15,16,23,24
787,28,36,20,29,37,44,27,11,35,19
792,51,58,50,59,61,57,49,53,43,62
794,41,50,51,58,57,49,35,43,33,42
810,21,5,13,29,37,7,8,15,16,23
816,33,19,10,11,18,2,26,1,9,17
825,32,31,40,39,24,23,16,15,8,48
830,21,28,5,29,13,3,4,12,20,37
