,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
,Blimp-1,brk,toc,CG14427,prd,CG43394,CG10479,srp,tkv,pxb
,Mdr49,nub,apt,aay,E(spl)m5-HLH,Doc3,dpn,Ama,fj,htl
,noc,Btk29A,lok,danr,Ance,Traf4,MESR3,eve,disco,kni
,numb,Doc2,ImpE2,CG11208,gt,NetA,cnc,oc,peb,fkh
8,114,76,73,37,110,71,2933,74,75,72
11,1040,1002,1078,1041,1039,1003,1001,963,965,964
17,988,1026,950,987,949,912,1025,1064,911,1063
34,2257,2295,2258,2296,2334,2256,2219,2294,2259,2372
35,414,452,377,453,413,375,415,490,416,450
48,1125,1163,1087,1164,1124,1126,1162,1201,1202,1200
50,1155,1117,1193,1194,1156,1192,1154,1118,1232,1079
63,252,177,214,213,215,251,216,139,175,212
67,2256,2219,2255,2218,2295,2294,2181,2257,2180,2258
72,1402,1440,1364,1363,1365,1403,1401,1478,1441,1326
74,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
76,2555,2556,2554,2594,2593,2517,2592,2557,2518,2553
93,1255,1293,1217,1256,1294,1332,1331,1179,1218,1219
136,1251,1213,1289,1250,1288,1290,1326,1175,1252,1212
137,1402,1440,1364,1363,1365,1403,1401,1478,1441,1326
140,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
141,603,641,642,565,680,604,640,643,679,718
160,709,671,747,2941,708,746,710,670,748,785
191,1291,1253,1329,1328,1366,1367,1292,2943,1290,1330
204,1292,1330,3038,1368,2943,1291,1329,1253,1254,1406
205,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
221,1099,1061,1137,1138,1098,1100,1136,1176,1060,1023
234,1919,1958,1881,1957,1918,1920,1996,1956,1995,1882
235,979,941,1017,1018,1016,978,980,940,942,903
241,1412,1374,1450,1373,1413,1337,1375,1411,1336,1451
249,2210,2172,2173,2985,2211,2248,2135,2134,2209,2212
256,1250,1212,1288,1251,1249,1211,1213,1173,1174,1175
272,988,1026,950,987,949,912,1025,1064,911,1063
290,875,913,837,914,876,952,877,951,799,838
291,1155,1117,1193,1194,1156,1192,1154,1118,1232,1079
294,951,989,913,990,952,1028,1027,875,914,915
320,988,1026,950,987,949,912,1025,1064,911,1063
336,1115,1153,1077,1152,1116,1114,1154,1190,1191,1192
337,988,1026,950,987,949,912,1025,1064,911,1063
338,2252,2214,2213,2251,2253,2290,2175,2176,2250,2177
341,1028,990,1066,991,989,1027,1029,951,953,952
345,84,124,122,123,2966,121,83,162,85,125
347,1049,1087,1011,1048,1050,1086,1088,1126,1124,1010
349,334,333,335,373,295,372,296,332,374,370
352,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
389,263,302,339,2935,301,225,340,303,378,338
423,341,379,380,340,2935,416,418,378,342,417
426,805,767,804,843,842,806,766,844,729,2987
428,962,924,1000,925,963,961,923,886,887,885
433,1405,1367,1443,1442,1329,1481,1406,1404,1444,1480
449,1115,1153,1077,1152,1116,1114,1154,1190,1191,1192
451,1065,1103,1027,1066,1104,1142,1141,1028,989,1067
468,1028,990,1066,991,989,1027,1029,951,953,952
479,1093,1055,1131,1132,1130,1092,1056,1170,1094,1017
489,1515,1553,1477,1514,1554,1552,1516,1439,1592,1590
490,572,610,535,573,533,534,611,495,609,574
491,1025,987,1063,1024,1026,1064,1062,1101,949,986
499,1343,1305,1381,1382,2949,1344,1342,1380,1267,1420
503,238,239,237,199,200,277,236,240,276,274
506,988,1026,950,987,949,912,1025,1064,911,1063
