,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
14,1206,2994,1169,1168,1207,1167,1244,1131,1245,1130
37,414,452,377,453,413,375,415,490,416,450
39,798,797,760,836,759,874,721,835,722,796
64,1003,965,1041,1004,1042,1040,1002,966,927,1080
78,935,897,973,936,972,934,974,898,1011,896
89,970,1008,932,931,969,971,933,1046,895,1007
92,263,302,339,2935,301,225,340,303,378,338
99,1839,1801,1877,1878,1840,1838,1876,1763,1802,1916
101,2383,2382,2384,2421,2344,2345,2343,2422,2420,2458
107,521,520,560,522,559,445,523,483,482,598
116,1150,1188,1111,1113,1112,1151,1189,1149,1226,1075
126,408,369,371,407,446,409,406,370,483,372
129,1321,1283,3004,1359,1360,1322,1284,1245,1282,1397
134,3016,646,569,607,644,608,570,645,684,606
138,2167,2206,2205,2129,2244,2168,2243,2282,2207,2169
139,3016,646,569,607,644,608,570,645,684,606
144,900,862,938,863,899,901,861,937,825,939
163,760,721,798,722,759,683,797,720,645,796
165,1558,1520,1596,3030,1519,1482,1557,1634,1595,1481
176,745,707,746,784,783,782,2941,744,822,821
177,597,634,598,636,635,674,672,559,596,673
194,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
196,1229,1228,1266,1191,1267,1268,1304,1190,1153,1230
199,593,630,631,632,592,555,706,669,668,591
206,446,483,484,409,408,407,522,447,371,445
208,225,302,300,226,301,264,263,262,265,299
215,364,2995,363,326,325,362,402,365,440,400
223,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
240,263,302,339,2935,301,225,340,303,378,338
242,2987,766,727,765,804,728,803,726,729,805
245,831,793,869,870,830,868,832,908,794,907
252,567,529,605,604,606,642,568,644,566,491
262,1075,1113,1037,1114,1074,1112,1076,1152,1151,1150
270,2154,2192,2153,2116,2115,2191,2077,2152,2117,2230
274,61,60,100,99,59,58,98,62,64,25
279,824,786,823,862,785,825,861,747,787,822
285,1822,1784,1860,1785,1823,1746,1821,1861,1783,1747
302,1150,1188,1111,1113,1112,1151,1189,1149,1226,1075
305,606,568,644,569,567,531,605,530,529,3016
326,1814,2947,1852,1815,1776,1777,1775,1813,1890,2945
348,2010,3027,2048,2047,1971,2009,1972,2086,2011,1973
373,2112,2074,2075,2113,2111,2150,2035,2037,2114,1999
383,933,971,895,934,970,932,972,1009,896,1008
384,1173,1135,1211,1212,1174,1172,1210,1136,1250,1249
411,1193,1231,1155,1192,1194,1230,1232,3035,1270,1154
414,1634,1672,1596,1633,1595,3030,1710,1671,1558,2996
418,1232,1270,1194,1195,1233,1231,1193,1271,1269,1155
455,403,440,442,441,404,478,479,365,402,405
462,521,520,560,522,559,445,523,483,482,598
494,1119,1081,1157,1158,1156,1120,1118,1043,1082,1195
496,559,596,598,560,520,521,558,597,634,561
515,2167,2206,2205,2129,2244,2168,2243,2282,2207,2169
542,1773,1811,1772,1735,1812,1774,1810,2980,1849,1848
546,559,596,598,560,520,521,558,597,634,561
547,2670,2671,2669,2631,2708,2632,2633,2668,2709,2707
