,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
8,75,2933,150,152,76,112,110,114,113,149
11,1137,1099,1175,1176,1174,1136,1138,1098,1061,1212
17,569,3016,531,570,606,644,608,532,493,646
34,1017,1055,979,1018,1016,1054,1056,1092,1093,941
35,414,452,377,453,413,375,415,490,416,450
48,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
50,709,671,747,2941,708,746,710,670,748,785
63,446,483,484,409,408,407,522,447,371,445
67,2180,2181,2141,2218,2142,2143,2179,2256,2219,2105
72,2125,2163,2202,2087,2164,2126,2201,2162,2127,2124
74,1815,1777,1853,1814,1854,1852,1816,1890,2947,1776
76,1985,1947,1984,2023,2022,1946,2024,1909,1986,2060
93,1471,1433,1509,1470,1472,1508,1510,1395,1432,1548
136,1596,1634,1558,3030,1595,1672,1633,1520,1557,1519
137,380,341,342,340,379,418,303,2935,417,304
140,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
141,950,912,988,949,911,874,987,1026,873,836
160,709,671,747,2941,708,746,710,670,748,785
191,1518,1556,1480,1479,1481,2970,1442,1519,1555,1557
204,2996,2956,1594,1632,1633,1670,1595,1671,1708,2989
205,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
221,1061,1099,1023,1060,1062,1100,1098,1138,1137,985
234,1109,1110,1148,1147,1146,1071,3007,1185,1108,2936
235,1846,1808,1884,1847,1809,1807,1845,1770,1885,1771
241,878,839,840,916,2986,879,841,877,801,802
249,1890,1852,1928,1891,1853,1851,1929,1814,1815,1966
256,1254,1216,3038,2943,1178,1177,1292,1215,1140,1253
272,2393,3006,2355,2432,2470,2354,2394,2469,2930,2392
290,2079,2118,2041,2117,2078,2080,2116,2042,2156,2081
291,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
294,1031,993,1069,1070,1030,1068,1032,992,955,1106
320,1439,1477,1401,1440,1438,1478,1476,1515,1516,1363
336,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
337,1822,1784,1860,1785,1823,1746,1821,1861,1783,1747
338,2343,2381,2382,2991,2344,2380,2305,2420,2383,2342
341,1890,1852,1928,1891,1853,1851,1929,1814,1815,1966
345,288,289,287,249,290,250,3009,251,286,326
347,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
349,263,302,339,2935,301,225,340,303,378,338
352,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
389,148,149,224,186,151,2957,113,111,188,146
423,263,302,339,2935,301,225,340,303,378,338
426,707,744,745,746,706,669,782,705,783,708
428,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
433,796,759,834,758,795,720,797,835,757,721
449,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
451,865,827,903,866,902,904,864,789,826,940
468,989,951,1027,1028,990,1066,913,952,1065,991
479,1737,2945,1699,1736,1738,2980,1698,1774,1661,1775
489,569,3016,531,570,606,644,608,532,493,646
490,2029,2067,2028,2104,2066,2105,2030,1991,2106,2068
491,759,796,797,760,721,720,798,834,835,758
499,1009,1047,971,1010,1048,1008,1046,933,1086,1084
503,900,862,938,863,899,901,861,937,825,939
506,1706,1668,1744,1705,1667,1669,1743,1782,1707,1630
507,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
512,707,744,745,746,706,669,782,705,783,708
514,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
517,364,2995,363,326,325,362,402,365,440,400
560,148,149,224,186,151,2957,113,111,188,146
585,474,473,437,512,511,435,436,475,472,548
595,900,862,938,863,899,901,861,937,825,939
613,2804,2842,2766,2806,2765,2805,2844,2803,2767,2880
615,341,379,380,340,2935,416,418,378,342,417
616,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
617,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
618,1682,1644,1720,1681,1683,1643,1605,1645,1606,1719
621,936,974,898,899,935,937,897,973,861,975
623,1815,1777,1853,1814,1854,1852,1816,1890,2947,1776
633,1016,1054,978,979,1017,977,1015,1092,940,941
639,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
713,263,302,339,2935,301,225,340,303,378,338
715,9,2974,4,12,6,10,11,2,13,14
723,559,596,598,560,520,521,558,597,634,561
743,263,302,339,2935,301,225,340,303,378,338
747,2079,2118,2041,2117,2078,2080,2116,2042,2156,2081
754,1715,1753,1677,1754,1714,1716,1752,1792,1678,1639
778,1985,1947,1984,2023,2022,1946,2024,1909,1986,2060
786,2112,2074,2075,2113,2111,2150,2035,2037,2114,1999
787,1049,1087,1011,1048,1050,1086,1088,1126,1124,1010
793,992,1030,954,955,953,993,1031,991,917,1068
817,1472,1510,1434,1435,1471,1433,1548,1473,1511,1396
822,684,646,683,722,608,3016,645,570,721,760
844,249,250,248,286,288,287,211,247,251,209
850,405,444,442,404,367,406,403,366,443,3017
852,598,559,597,636,560,561,596,599,634,521
893,992,1030,954,955,953,993,1031,991,917,1068
898,825,787,863,862,824,786,864,826,900,788
932,968,930,1006,969,967,931,929,1007,892,1005
933,2670,2671,2669,2631,2708,2632,2633,2668,2709,2707
940,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
960,2167,2206,2205,2129,2244,2168,2243,2282,2207,2169
971,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
972,2541,2540,2580,2578,2503,2934,2579,2539,2618,2502
976,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
990,408,369,371,407,446,409,406,370,483,372
993,49,86,90,89,50,48,2928,46,88,45
996,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
997,369,408,406,368,370,331,407,371,367,446
998,1719,1681,1757,1756,1718,1720,1758,1680,1643,1794
1000,342,380,303,304,340,341,418,379,2935,265
1001,647,648,3026,685,686,724,609,649,611,687
1007,526,525,489,487,527,488,564,524,563,566
1008,2193,2155,2232,2194,2230,2192,2231,2156,2195,2117
1024,2154,2192,2153,2116,2115,2191,2077,2152,2117,2230
1031,478,479,439,441,403,515,440,401,516,477
1061,298,259,261,260,297,223,296,258,299,257
