,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
15,225,302,300,226,301,264,263,262,265,299
33,1206,2994,1169,1168,1207,1167,1244,1131,1245,1130
54,120,157,122,118,197,119,121,159,158,84
59,1928,1890,1927,1966,1929,1851,1889,1852,1891,2998
65,935,897,973,936,972,934,974,898,1011,896
82,629,666,591,668,630,628,590,667,704,705
98,629,666,591,668,630,628,590,667,704,705
103,1138,1100,1176,1099,1139,3014,1137,1061,1062,1101
127,567,529,605,604,606,642,568,644,566,491
133,207,244,171,208,245,206,172,246,243,205
149,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
156,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
181,75,2933,150,152,76,112,110,114,113,149
210,1836,1874,1798,1797,1837,1799,2971,1835,1759,1760
214,263,302,339,2935,301,225,340,303,378,338
218,909,947,871,908,946,910,948,984,985,870
219,1009,1047,971,1010,1048,1008,1046,933,1086,1084
225,559,596,598,560,520,521,558,597,634,561
227,283,322,282,320,246,284,245,281,321,285
236,801,839,763,802,838,800,840,878,764,876
254,970,1008,932,931,969,971,933,1046,895,1007
257,2344,2305,2307,2343,2345,2383,2382,2306,2991,2384
260,1013,1051,975,1012,1014,1052,1050,974,1090,1088
267,567,529,605,604,606,642,568,644,566,491
269,1978,2016,1940,1939,1979,1941,1903,2931,2017,1980
271,3016,646,569,607,644,608,570,645,684,606
276,1834,1796,1872,1835,1833,1795,1797,1757,1759,1873
277,414,452,377,453,413,375,415,490,416,450
278,367,366,368,406,405,404,369,329,328,444
295,1819,1781,1857,1820,1856,1858,1782,1896,1743,1780
314,1026,1064,988,1025,987,1102,1063,950,949,1101
322,78,77,41,80,39,43,79,44,116,40
325,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
333,1013,1051,975,1012,1014,1052,1050,974,1090,1088
334,2307,2345,2306,2344,2308,2269,2305,2231,2268,2346
339,684,646,683,722,608,3016,645,570,721,760
354,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
369,2584,2622,2545,2583,2546,2507,2660,2621,2544,2508
378,648,647,611,649,609,686,3026,610,650,724
412,225,302,300,226,301,264,263,262,265,299
420,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
424,1519,1557,1481,1520,3030,1443,1482,1518,1558,2970
456,798,797,760,836,759,874,721,835,722,796
473,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
502,451,489,488,452,450,528,490,449,566,526
510,131,132,169,168,130,170,134,93,95,167
538,878,839,840,916,2986,879,841,877,801,802
544,1091,1053,1129,1128,1092,1130,1168,1015,1090,1054
553,133,170,173,135,172,134,174,208,210,132
556,1816,1778,1854,1817,1777,1815,1779,1739,1855,1740
569,1017,1055,979,1018,1016,1054,1056,1092,1093,941
577,478,479,439,441,403,515,440,401,516,477
578,1558,1520,1596,3030,1519,1482,1557,1634,1595,1481
581,901,939,863,902,940,900,938,978,864,976
594,371,408,372,409,370,333,369,446,410,331
597,561,560,562,523,600,598,599,636,559,521
601,2355,2394,2393,2356,2317,2354,2432,3006,2318,2392
637,1558,1520,1596,3030,1519,1482,1557,1634,1595,1481
641,758,757,720,719,796,795,681,2938,756,759
659,298,259,261,260,297,223,296,258,299,257
660,2343,2381,2382,2991,2344,2380,2305,2420,2383,2342
662,1003,965,1041,1004,1042,1040,1002,966,927,1080
676,1824,1786,1862,1823,1785,1900,1748,1861,1747,1938
681,1173,1135,1211,1212,1174,1172,1210,1136,1250,1249
685,439,478,401,477,476,479,402,515,440,403
690,263,302,339,2935,301,225,340,303,378,338
722,675,637,713,714,712,674,752,750,638,676
732,1821,1783,1859,1858,1860,1820,1745,1822,1897,1784
733,559,596,598,560,520,521,558,597,634,561
736,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
740,2307,2345,2306,2344,2308,2269,2305,2231,2268,2346
741,550,588,549,511,513,512,551,586,587,548
766,1230,1268,1192,1191,3035,1231,1193,1267,1154,1153
774,521,520,560,522,559,445,523,483,482,598
780,1555,1517,2989,2944,1556,2970,1593,1479,1554,1518
788,1026,1064,988,1025,987,1102,1063,950,949,1101
807,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
808,760,721,798,722,759,683,797,720,645,796
814,2018,2057,1980,1981,2017,2056,1979,2019,1943,2094
818,900,862,938,863,899,901,861,937,825,939
830,1849,1887,1811,1888,1848,1886,1812,1850,1924,1926
835,1472,1510,1434,1435,1471,1433,1548,1473,1511,1396
853,2670,2671,2669,2631,2708,2632,2633,2668,2709,2707
854,442,405,403,441,443,444,404,479,480,440
860,1821,1783,1859,1858,1860,1820,1745,1822,1897,1784
864,2996,2956,1594,1632,1633,1670,1595,1671,1708,2989
868,1065,1103,1027,1066,1104,1142,1141,1028,989,1067
879,442,405,403,441,443,444,404,479,480,440
885,835,873,797,834,872,874,836,796,759,911
889,442,405,403,441,443,444,404,479,480,440
924,2354,2392,2317,2355,3006,2316,2393,2315,2391,2279
939,1706,1668,1744,1705,1667,1669,1743,1782,1707,1630
943,1061,1099,1023,1060,1062,1100,1098,1138,1137,985
944,478,479,439,441,403,515,440,401,516,477
945,1149,1187,3007,1111,1188,1186,1150,2936,1148,1225
956,1009,1047,971,1010,1048,1008,1046,933,1086,1084
1009,1459,1497,1421,1458,1498,1460,1496,1536,1383,1535
1015,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
1017,2307,2345,2306,2344,2308,2269,2305,2231,2268,2346
1028,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
1030,225,302,300,226,301,264,263,262,265,299
1032,263,302,339,2935,301,225,340,303,378,338
1033,414,452,377,453,413,375,415,490,416,450
1036,380,341,342,340,379,418,303,2935,417,304
1039,2127,2128,2164,2165,2202,2203,2089,2166,2125,2126
1041,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
1045,367,366,368,406,405,404,369,329,328,444
1050,367,366,368,406,405,404,369,329,328,444
1087,1150,1188,1111,1113,1112,1151,1189,1149,1226,1075
1097,1015,977,1053,1054,1052,1014,1016,1091,976,1092
1099,34,72,68,74,69,35,73,32,71,29
1104,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
1109,1013,1051,975,1012,1014,1052,1050,974,1090,1088
1114,446,483,484,409,408,407,522,447,371,445
1120,684,646,683,722,608,3016,645,570,721,760
1121,1130,1092,1168,1131,1093,1091,1129,1055,1054,1167
1125,148,149,224,186,151,2957,113,111,188,146
1134,633,670,595,672,671,594,632,710,708,631
1163,1254,1216,3038,2943,1178,1177,1292,1215,1140,1253
1169,1061,1099,1023,1060,1062,1100,1098,1138,1137,985
1178,1558,1520,1596,3030,1519,1482,1557,1634,1595,1481
1187,1555,1517,2989,2944,1556,2970,1593,1479,1554,1518
1189,871,909,833,872,910,908,870,947,832,795
1190,798,797,760,836,759,874,721,835,722,796
1201,2206,2167,2168,2244,2169,2131,2207,2129,2205,2208
1205,405,444,442,404,367,406,403,366,443,3017
1219,2619,2657,2620,2694,2581,2656,2658,2655,2696,2582
1241,1834,1796,1872,1835,1833,1795,1797,1757,1759,1873
1251,2583,2544,2622,2582,2621,2545,2507,2584,2929,2505
1270,1911,1949,1873,1912,1948,1910,1950,1986,1987,1872
