,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
,Blimp-1,brk,toc,CG14427,prd,CG43394,CG10479,srp,tkv,pxb
,Mdr49,nub,apt,aay,E(spl)m5-HLH,Doc3,dpn,Ama,fj,htl
1,133,170,173,135,172,134,174,208,210,132
2,783,821,820,745,782,784,822,707,858,859
9,1146,1108,1147,1109,1184,1107,1145,1071,1070,1185
12,972,1010,934,935,973,971,933,1011,897,1009
27,327,328,289,326,2995,291,3009,366,365,329
30,1149,1187,3007,1111,1188,1186,1150,2936,1148,1225
36,762,723,761,800,724,725,763,685,799,838
41,719,681,2938,758,643,682,720,757,680,756
51,2807,2882,2846,2847,2805,2848,2844,2884,2843,2809
56,363,364,400,402,362,361,401,440,325,2995
58,1251,1213,1289,1250,1288,1290,1326,1175,1252,1212
69,1292,1330,3038,1368,2943,1291,1329,1253,1254,1406
81,2260,2298,2221,2259,2223,2222,2296,2297,2336,2261
90,1250,1212,1288,1251,1249,1211,1213,1173,1174,1175
95,1706,1668,1744,1705,1667,1669,1743,1782,1707,1630
115,1625,1587,1663,1624,1662,1664,1626,1586,1588,1702
130,1043,1081,1005,1042,1044,1082,1080,1119,1006,1118
131,1155,1117,1193,1194,1156,1192,1154,1118,1232,1079
143,499,537,500,461,498,536,538,574,497,462
157,1292,1330,3038,1368,2943,1291,1329,1253,1254,1406
167,1329,1367,1291,1366,1405,1253,1330,1328,1292,1368
180,76,114,2933,110,75,73,71,37,112,150
209,1191,1153,1230,1229,1268,1192,1228,1190,1115,1154
212,225,302,300,226,301,264,263,262,265,299
228,341,379,380,340,2935,416,418,378,342,417
264,32,28,35,68,36,38,66,26,34,74
275,2131,2132,2169,2168,2093,2206,2170,2055,2130,2208
304,225,302,300,226,301,264,263,262,265,299
308,380,341,342,340,379,418,303,2935,417,304
315,646,3016,684,608,683,645,607,570,569,722
328,1181,1143,1219,1220,1182,1180,1218,1257,1105,1144
331,1213,1175,1251,1214,1252,1290,1250,1212,1176,1289
344,1671,1709,1633,1710,1672,2956,1747,1748,2996,1634
357,1252,1290,1214,1213,1215,1253,1251,1328,1176,1291
360,1078,1040,1116,1039,1077,1079,1041,1001,1154,1002
366,3008,1398,1437,1399,1474,1436,1361,1475,1360,1438
372,1065,1103,1027,1066,1104,1142,1141,1028,989,1067
374,670,633,708,631,671,632,709,669,594,746
379,1120,1082,1158,1121,1083,1119,1081,1159,1044,1196
394,608,570,646,3016,684,569,532,683,531,645
404,2845,2884,2883,2918,2881,2885,2882,2879,2847,2886
409,405,444,442,404,367,406,403,366,443,3017
410,1810,1848,1772,1771,1809,1811,1773,1733,1886,1847
416,158,157,194,156,195,197,196,120,155,118
435,359,397,358,396,321,360,434,398,357,435
439,986,1024,948,987,985,949,947,911,1062,1025
450,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
457,520,521,482,559,558,445,596,481,560,522
470,1028,990,1066,991,989,1027,1029,951,953,952
487,910,948,872,871,911,909,873,947,986,834
492,263,302,339,2935,301,225,340,303,378,338
497,1030,992,1068,1031,991,1029,953,993,954,1069
504,1292,1330,3038,1368,2943,1291,1329,1253,1254,1406
528,187,226,224,185,262,188,189,2957,264,300
531,1043,1081,1005,1042,1044,1082,1080,1119,1006,1118
545,299,261,301,297,338,300,336,298,339,225
558,1494,1456,1532,1495,1493,1457,1455,1533,1570,1418
574,1304,1266,1342,1267,1305,1229,1265,2949,1303,2992
587,2597,2939,2596,2634,2559,2635,2636,2560,2598,2599
596,1142,1104,1180,1143,1141,1105,1103,1065,1218,1067
