,twi,ftz,trn,Cyp310a1,sna,Antp,ImpL2,Ilp4,D,h
,Mes2,tsh,zfh1,rho,knrl,Kr,run,edl,CG8147,odd
1,369,408,406,368,370,331,407,371,367,446
2,786,824,787,747,748,749,825,785,823,788
9,1849,1887,1811,1888,1848,1886,1812,1850,1924,1926
12,207,244,171,208,245,206,172,246,243,205
27,364,2995,363,326,325,362,402,365,440,400
30,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
36,367,366,368,406,405,404,369,329,328,444
41,2654,2617,2653,2692,2655,2615,2693,2694,2691,3002
51,1898,1936,1860,1861,1899,1859,1897,1935,1974,1822
56,38,36,35,32,30,74,28,37,2937,34
58,2583,2544,2622,2582,2621,2545,2507,2584,2929,2505
69,1439,1477,1401,1440,1438,1478,1476,1515,1516,1363
81,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
90,835,873,797,834,872,874,836,796,759,911
95,1671,1709,1633,1710,1672,2956,1747,1748,2996,1634
115,367,366,368,406,405,404,369,329,328,444
130,1013,1051,975,1012,1014,1052,1050,974,1090,1088
131,925,887,963,964,962,924,926,886,1000,1002
143,707,744,745,746,706,669,782,705,783,708
157,2996,2956,1594,1632,1633,1670,1595,1671,1708,2989
167,38,36,35,32,30,74,28,37,2937,34
180,37,74,73,114,35,34,76,72,71,38
209,1230,1268,1192,1191,3035,1231,1193,1267,1154,1153
212,225,302,300,226,301,264,263,262,265,299
228,798,797,760,836,759,874,721,835,722,796
264,1439,1477,1401,1440,1438,1478,1476,1515,1516,1363
275,2156,2118,2194,2119,2155,2081,2157,2193,2079,2117
304,3016,646,569,607,644,608,570,645,684,606
308,225,302,300,226,301,264,263,262,265,299
315,684,646,683,722,608,3016,645,570,721,760
328,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
331,873,911,835,874,910,872,912,949,797,834
344,2583,2544,2622,2582,2621,2545,2507,2584,2929,2505
357,1173,1135,1211,1212,1174,1172,1210,1136,1250,1249
360,1282,1320,1244,1283,1281,3004,1245,2994,1243,1319
366,1137,1099,1175,1176,1174,1136,1138,1098,1061,1212
372,1016,1054,978,979,1017,977,1015,1092,940,941
374,597,634,598,636,635,674,672,559,596,673
379,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
394,684,646,683,722,608,3016,645,570,721,760
404,2623,2942,2624,2662,2661,2586,2625,2700,2663,2585
409,367,366,368,406,405,404,369,329,328,444
410,1167,1205,1168,1129,1166,2994,1206,1243,1130,1242
416,421,383,3011,460,422,420,458,459,419,381
435,283,322,282,320,246,284,245,281,321,285
439,909,947,871,908,946,910,948,984,985,870
450,3004,1321,1359,1358,1320,1396,1283,1397,1282,1319
457,369,408,406,368,370,331,407,371,367,446
470,1890,1852,1928,1891,1853,1851,1929,1814,1815,1966
487,871,909,833,872,910,908,870,947,832,795
492,263,302,339,2935,301,225,340,303,378,338
497,992,1030,954,955,953,993,1031,991,917,1068
504,1819,1781,1857,1820,1856,1858,1782,1896,1743,1780
528,148,149,224,186,151,2957,113,111,188,146
531,1013,1051,975,1012,1014,1052,1050,974,1090,1088
545,2351,2350,2352,2388,2313,2389,2390,2349,2312,2275
558,1265,1303,2992,1302,1266,1304,1342,1341,1227,1340
574,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
587,707,744,745,746,706,669,782,705,783,708
596,1321,1283,3004,1359,1360,1322,1284,1245,1282,1397
600,288,289,287,249,290,250,3009,251,286,326
611,832,794,833,870,793,757,795,756,831,871
625,249,250,248,286,288,287,211,247,251,209
643,3004,1321,1359,1358,1320,1396,1283,1397,1282,1319
645,1783,1821,1745,1784,1820,1859,1782,1746,1707,1858
646,1072,1034,1110,1033,1073,2936,1035,1071,996,995
650,1013,1051,975,1012,1014,1052,1050,974,1090,1088
663,1439,1477,1401,1440,1438,1478,1476,1515,1516,1363
673,992,1030,954,955,953,993,1031,991,917,1068
674,133,170,173,135,172,134,174,208,210,132
683,1128,1090,2977,1129,1166,1091,1089,1053,1052,1127
706,474,473,437,512,511,435,436,475,472,548
729,559,596,598,560,520,521,558,597,634,561
742,961,923,999,1000,962,960,998,1038,885,924
759,1135,1097,1173,1134,1172,1136,1174,1096,1059,1210
760,415,416,453,454,492,414,377,379,417,378
769,851,813,889,850,890,888,852,814,928,926
771,1596,1634,1558,3030,1595,1672,1633,1520,1557,1519
781,1846,1808,1884,1847,1809,1807,1845,1770,1885,1771
789,75,2933,150,152,76,112,110,114,113,149
831,2183,2145,2182,2220,2144,2222,2107,2221,2106,2184
841,2670,2671,2669,2631,2708,2632,2633,2668,2709,2707
846,847,885,848,809,884,846,886,922,810,924
856,1322,1360,1284,1285,1323,1321,1361,1398,1247,1246
859,1052,1014,1090,1053,1015,1051,1013,1128,976,1091
863,2670,2671,2669,2631,2708,2632,2633,2668,2709,2707
869,364,2995,363,326,325,362,402,365,440,400
871,3038,1292,1254,2943,1330,1216,1253,1291,1368,1215
872,3016,646,569,607,644,608,570,645,684,606
874,835,873,797,834,872,874,836,796,759,911
901,478,479,439,441,403,515,440,401,516,477
929,1061,1099,1023,1060,1062,1100,1098,1138,1137,985
949,1125,1163,1087,1164,1124,1126,1162,1201,1202,1200
950,1013,1051,975,1012,1014,1052,1050,974,1090,1088
962,364,2995,363,326,325,362,402,365,440,400
968,1186,1224,1148,1187,3007,1149,1185,1262,1225,1223
973,1860,1822,1898,1859,1861,1821,1784,1823,1936,1899
984,1767,1805,1729,1806,1768,1766,1844,1804,1843,1728
991,798,797,760,836,759,874,721,835,722,796
1022,684,646,683,722,608,3016,645,570,721,760
1027,1519,1557,1481,1520,3030,1443,1482,1518,1558,2970
1034,2917,2919,2916,2914,2921,2915,2911,2879,2922,2924
1043,2998,1965,1966,2042,2004,1927,2003,2041,2080,1928
1062,38,36,35,32,30,74,28,37,2937,34
1063,824,786,823,862,785,825,861,747,787,822
1066,950,912,988,949,911,874,987,1026,873,836
1067,761,799,762,800,723,838,837,763,724,725
1081,569,3016,531,570,606,644,608,532,493,646
1092,2623,2942,2624,2662,2661,2586,2625,2700,2663,2585
1127,2112,2074,2075,2113,2111,2150,2035,2037,2114,1999
1138,176,101,2973,137,175,63,136,102,174,97
1141,683,645,722,684,721,646,760,607,2938,3016
1144,2180,2181,2141,2218,2142,2143,2179,2256,2219,2105
1146,1406,1368,1444,1330,1405,1367,1482,1443,1329,1292
1147,1211,1249,1173,1210,1248,1250,1212,1172,1287,1288
1151,871,909,833,872,910,908,870,947,832,795
1153,1064,1102,1026,1063,1025,1140,1101,988,987,1178
1154,1026,1064,988,1025,987,1102,1063,950,949,1101
1156,2029,2067,2028,2104,2066,2105,2030,1991,2106,2068
1164,1302,1264,1340,1301,1265,2992,1303,1263,1226,1378
1186,421,383,3011,460,422,420,458,459,419,381
1196,684,646,683,722,608,3016,645,570,721,760
1246,1558,1520,1596,3030,1519,1482,1557,1634,1595,1481
1247,298,259,261,260,297,223,296,258,299,257
1262,561,560,562,523,600,598,599,636,559,521
1276,1846,1808,1884,1847,1809,1807,1845,1770,1885,1771
1279,1205,1167,1242,1243,1166,2994,1204,1129,1281,1244
1282,1722,1685,1760,1723,2952,1761,1684,1798,1647,1721
1286,2583,2544,2622,2582,2621,2545,2507,2584,2929,2505
