,EVE1,VED,TA,CHD,ADMP,SOX3,LHX1A,VOX,CDX4,OSR1
,SZL,BAMBIA,BMP7A,NOTO,NDR2,BMP4,WNT11,FOXI1,GATA5,OTX1A
10,52,53,54,55,56,63,64,41,59,42
30,1,2,9,10,11,20,28,33,35,36
37,20,28,17,18,19,27,1,2,9,10
40,60,20,28,33,35,36,17,18,19,27
41,39,40,47,48,21,7,8,15,16,23
47,21,30,41,52,20,28,29,33,35,36
50,7,8,15,16,23,24,31,32,39,40
79,20,28,3,4,5,12,13,17,18,19
97,3,4,12,1,2,9,10,11,17,18
123,20,28,36,44,17,18,19,27,41,52
137,20,28,29,33,35,36,37,17,18,19
156,41,3,4,12,42,43,44,60,49,57
160,60,52,59,44,50,51,58,36,61,62
167,5,13,21,22,6,14,20,28,29,3
173,6,14,5,13,7,8,15,16,23,24
183,21,5,13,22,29,6,14,30,7,8
184,20,28,33,35,36,41,17,18,19,27
199,54,53,39,40,55,56,61,62,30,47
202,49,57,50,51,58,41,52,59,42,43
203,39,40,7,8,15,16,23,24,31,32
210,20,28,29,33,35,36,37,17,18,19
225,52,59,50,51,58,46,42,43,44,45
229,1,2,9,10,11,20,28,3,4,12
230,20,28,17,18,19,27,1,2,9,10
233,22,21,5,13,6,14,29,30,7,8
248,29,37,39,40,47,48,45,17,18,19
262,33,35,41,49,57,59,27,34,25,26
263,3,4,5,12,13,21,1,2,9,10
271,52,59,60,49,57,50,51,58,41,42
289,38,30,27,22,6,14,25,26,39,40
308,55,56,47,48,54,45,46,53,39,40
320,36,44,20,28,35,37,42,43,45,3
321,17,18,19,1,2,9,10,11,25,26
326,21,20,28,29,17,18,19,27,3,4
334,7,8,15,16,23,24,31,32,21,5
347,41,42,43,44,60,20,28,33,35,36
361,55,56,47,48,54,53,7,8,15,16
388,3,4,12,17,18,19,21,1,2,9
406,60,35,36,52,59,34,42,43,44,53
410,20,28,36,17,18,19,27,44,1,2
417,27,49,57,25,26,46,38,30,47,48
422,20,28,29,33,35,36,37,17,18,19
444,21,29,30,5,13,22,7,8,15,16
445,17,18,19,1,2,9,10,11,25,26
446,7,8,15,16,23,24,31,32,39,40
458,20,28,17,18,19,27,1,2,9,10
460,20,28,33,35,36,17,18,19,27,34
469,38,20,28,29,36,37,30,17,18,19
498,20,28,36,17,18,19,27,44,60,1
501,3,4,12,1,2,9,10,11,17,18
508,49,57,33,35,50,51,58,27,34,25
515,20,28,17,18,19,27,1,2,9,10
520,20,28,17,18,19,27,1,2,9,10
522,20,28,29,36,37,17,18,19,21,27
538,5,13,21,6,14,29,22,30,7,8
540,20,28,33,35,36,49,57,17,18,19
555,63,64,62,55,56,59,50,51,58,61
556,60,52,59,61,49,57,53,50,51,58
576,27,49,57,25,26,20,28,50,51,58
605,39,40,7,8,15,16,23,24,31,32
616,7,8,15,16,23,24,31,32,5,13
619,54,60,53,61,62,55,56,41,52,59
622,7,8,15,16,23,24,31,32,22,30
626,5,13,21,29,37,6,14,7,8,15
639,17,18,19,1,2,9,10,11,25,26
657,20,28,17,18,19,21,27,3,4,12
658,42,43,44,60,50,51,58,20,28,35
662,20,28,33,35,36,41,17,18,19,27
666,20,28,17,18,19,27,1,2,9,10
686,47,48,7,8,15,16,23,24,31,32
699,39,40,7,8,15,16,23,24,31,32
706,55,56,63,64,61,62,54,53,60,47
711,7,8,15,16,23,24,31,32,6,14
717,33,34,25,26,35,49,57,41,17,18
762,50,51,58,49,57,59,61,42,43,44
773,62,54,46,61,59,38,55,56,63,64
775,39,40,7,8,15,16,23,24,31,32
776,41,42,43,44,45,20,28,29,33,35
786,21,30,22,20,28,29,3,4,5,12
787,20,28,17,18,19,27,1,2,9,10
792,59,61,50,51,58,60,62,49,57,52
794,33,35,41,49,57,27,34,25,26,42
810,5,13,37,45,21,29,36,6,14,44
816,1,2,9,10,11,3,4,12,17,18
825,39,40,30,7,8,15,16,23,24,31
830,5,13,21,3,4,12,20,28,29,1
