,BAMBIA,VED,SZL,CHD,VOX,BMP4,ADMP,WNT11,FOXB1A,SEBOX
,EVE1,SOX3,FOXI1,BMP7A,TA,LHX1A,NOTO,FOXD5,GATA2A,GATA5
5,22,30,38,56,6,7,8,14,15,16
7,21,29,22,30,6,7,8,14,15,16
20,21,29,28,5,13,20,27,22,30,41
35,20,27,29,28,33,41,17,18,19,21
36,20,27,3,4,12,17,18,19,25,26
49,28,20,27,17,18,19,25,26,1,2
53,34,28,33,35,17,18,19,25,26,41
63,56,62,63,64,54,55,61,38,7,8
72,59,56,62,63,64,36,44,60,54,55
89,33,34,41,17,18,19,25,26,1,2
102,7,8,15,16,23,24,31,32,47,48
115,21,28,35,22,30,37,20,27,29,34
120,33,34,41,17,18,19,25,26,1,2
121,7,8,15,16,23,24,31,32,22,30
125,35,50,51,58,34,36,60,59,42,43
128,28,35,49,57,3,4,12,20,27,34
130,62,63,64,56,54,55,46,50,51,58
139,22,30,6,7,8,14,15,16,23,24
145,22,30,56,35,6,7,8,14,15,16
146,1,2,9,10,11,34,36,3,4,12
158,56,62,63,64,54,55,46,47,48,60
159,21,29,22,30,56,62,63,64,6,7
172,59,60,50,51,58,52,49,57,36,44
194,28,17,18,19,25,26,1,2,9,10
226,28,20,27,3,4,12,17,18,19,21
227,7,8,15,16,23,24,31,32,39,40
242,61,53,59,29,60,56,62,63,64,49
258,22,30,6,7,8,14,15,16,21,23
277,35,50,51,58,34,36,60,59,42,43
291,59,50,51,58,60,49,57,62,63,64
301,20,27,29,22,30,38,28,17,18,19
319,56,62,63,64,61,54,55,53,46,47
333,28,20,27,41,17,18,19,25,26,1
337,46,38,56,63,64,45,54,55,37,47
344,21,22,30,29,6,7,8,14,15,16
360,20,27,17,18,19,25,26,28,33,1
366,42,43,50,51,58,35,52,49,57,59
368,56,54,55,59,53,60,42,43,62,63
371,50,51,58,60,59,42,43,35,52,49
372,59,36,44,60,42,43,41,50,51,58
376,28,20,27,17,18,19,25,26,1,2
383,41,42,43,28,33,35,49,57,20,27
394,20,27,17,18,19,25,26,28,1,2
395,17,18,19,25,26,28,33,1,2,9
400,49,57,59,34,42,43,41,50,51,58
409,22,30,21,6,7,8,14,15,16,23
414,7,8,15,16,23,24,31,32,22,30
435,34,36,35,42,43,44,59,28,33,52
438,28,20,27,36,41,17,18,19,25,26
452,38,37,34,36,44,60,39,40,54,55
456,38,62,46,47,48,7,8,15,16,23
459,36,49,57,28,35,50,51,58,20,27
471,22,30,21,6,7,8,14,15,16,23
484,54,55,46,47,48,53,45,38,56,37
495,49,57,42,43,35,41,50,51,58,34
497,3,4,12,28,33,35,49,57,20,27
504,59,36,44,60,42,43,41,50,51,58
506,59,60,50,51,58,52,49,57,42,43
510,22,30,6,7,8,14,15,16,23,24
549,21,5,13,29,6,14,22,30,28,7
594,20,27,28,17,18,19,25,26,1,2
610,22,30,6,7,8,14,15,16,23,24
618,28,41,21,3,4,5,12,13,20,27
627,28,20,27,41,17,18,19,25,26,1
633,7,8,15,16,23,24,31,32,22,30
649,49,57,50,51,58,60,59,61,42,43
667,22,30,21,6,7,8,14,15,16,23
679,28,20,27,3,4,12,17,18,19,21
681,28,21,3,4,5,12,13,6,14,20
683,28,17,18,19,25,26,1,2,9,10
689,22,30,21,6,7,8,14,15,16,23
700,62,63,64,7,8,15,16,23,24,31
715,21,29,22,30,6,7,8,14,15,16
724,49,57,42,43,41,50,51,58,35,34
742,21,28,3,4,5,12,13,20,27,29
744,61,62,54,55,53,56,63,64,60,46
749,3,4,12,1,2,9,10,11,28,33
781,33,41,34,3,4,5,12,13,35,1
793,49,57,28,35,50,51,58,20,27,34
814,28,20,27,36,35,3,4,12,17,18
818,22,30,6,7,8,14,15,16,21,23
823,28,41,20,27,36,3,4,12,17,18
831,28,17,18,19,25,26,20,27,34,36
843,47,48,56,7,8,15,16,23,24,31
849,35,34,36,42,43,28,33,41,50,51
