,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
1,7,8,15,16,23,24,32,31,40,48
9,33,34,35,17,18,28,36,1,2,9
24,61,59,60,50,58,54,62,53,52,56
25,59,60,52,49,57,51,36,44,50,58
28,21,22,5,13,29,6,14,30,28,36
55,51,49,57,60,59,43,50,58,52,35
58,17,18,1,2,9,10,19,25,26,33
69,36,40,7,8,15,16,23,24,32,39
83,51,60,59,52,44,61,53,49,57,43
87,59,60,51,52,50,58,44,43,61,53
92,11,3,4,12,1,2,9,10,19,17
94,48,47,40,7,8,15,16,23,24,32
104,11,3,1,2,9,10,19,20,27,4
106,21,29,5,13,30,22,6,14,7,8
110,49,57,25,26,27,50,58,41,17,18
113,29,33,41,21,34,35,37,17,18,28
149,35,28,36,19,20,27,11,3,29,4
152,7,8,15,16,23,24,32,31,40,48
157,17,18,1,2,9,10,19,25,26,11
161,17,18,1,2,9,10,19,25,26,11
187,4,12,3,1,2,9,10,11,17,18
217,44,52,51,45,36,59,50,58,46,37
255,43,35,36,44,42,45,37,34,41,28
261,48,63,64,7,8,15,16,23,24,32
269,33,41,34,35,17,18,28,36,1,2
283,35,51,49,57,59,27,43,50,58,33
298,41,28,44,52,20,4,12,21,42,43
305,25,26,27,33,34,35,17,18,28,36
306,17,18,28,1,2,9,10,19,20,25
336,61,53,54,62,60,52,59,55,51,45
340,50,58,42,43,49,57,51,34,35,53
352,6,14,7,8,15,16,23,24,32,5
358,1,2,9,10,11,17,18,3,19,25
375,30,22,38,29,6,14,21,17,18,28
390,48,7,8,15,16,23,24,32,47,31
396,1,2,9,10,11,3,4,12,17,18
397,53,54,56,61,55,41,62,29,21,45
401,51,44,60,59,61,43,52,45,35,46
419,35,36,44,43,51,52,34,42,59,28
424,56,54,55,61,62,63,64,53,46,50
429,33,34,17,18,41,1,2,9,10,19
450,29,21,30,17,18,28,22,1,2,9
454,55,56,63,64,48,47,62,40,39,54
467,27,28,19,20,25,26,11,35,3,17
474,37,34,35,42,29,36,21,45,41,43
478,41,49,57,42,43,50,58,33,52,34
483,49,57,50,58,41,51,42,59,43,33
488,34,17,18,36,33,1,2,9,10,19
493,6,14,5,13,22,7,8,15,16,23
528,59,61,52,53,51,60,50,58,43,54
534,21,30,29,37,5,13,22,45,40,6
552,20,4,12,21,5,13,28,3,29,19
560,54,62,61,53,59,56,63,64,49,57
562,21,5,13,37,22,36,29,6,14,45
563,21,45,30,22,37,40,43,6,14,7
586,41,25,26,27,33,49,57,42,17,18
598,43,42,59,35,41,28,36,44,60,49
599,51,35,59,28,36,19,20,27,11,33
600,3,1,2,9,10,4,12,11,17,18
604,19,11,3,17,18,4,12,1,2,9
607,28,20,4,12,21,17,18,36,3,29
621,3,4,12,11,1,2,9,10,19,20
663,7,8,15,16,23,24,32,40,31,21
665,48,47,40,7,8,15,16,23,24,32
673,31,7,8,15,16,23,24,32,39,40
680,5,13,17,18,21,1,2,9,10,19
694,21,6,14,30,5,13,3,29,22,40
707,11,3,4,12,1,2,9,10,19,25
712,7,8,15,16,23,24,32,31,40,39
723,27,29,5,13,33,21,19,20,25,26
754,21,5,13,6,14,30,29,22,37,40
760,56,54,30,53,6,14,61,22,38,63
766,62,61,63,64,54,50,58,59,60,53
795,61,54,62,56,63,64,30,46,55,22
797,5,13,6,14,4,12,21,28,22,3
799,17,18,1,2,9,10,19,25,26,33
801,36,44,20,43,4,12,5,13,28,52
809,45,46,37,22,38,43,35,6,14,21
813,60,52,59,61,53,49,57,51,44,50
834,42,17,18,28,36,44,41,43,1,2
837,28,36,44,43,19,20,27,41,11,3
845,28,3,19,20,27,4,12,21,11,17
846,28,1,2,9,10,20,4,12,11,6
851,41,42,43,33,49,57,34,35,30,46
